ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strncpy (LI-PaRAD)|64|4.455|4.458|4.488|4.461|0.212|13.361|0.028
strncpy (GNU libc 2.39)|64|6.845|6.873|6.893|6.872|0.154|8.673|0.013
strncpy (LI-PaRAD)|128|6.93|6.935|6.938|6.934|0.029|17.191|0.005
strncpy (GNU libc 2.39)|128|9.87|10.092|10.344|10.089|1.001|11.817|0.118
strncpy (LI-PaRAD)|256|13.863|13.869|13.875|13.868|0.014|17.191|0.002
strncpy (GNU libc 2.39)|256|17.238|17.244|17.258|17.245|0.02|13.826|0.003
strncpy (LI-PaRAD)|512|25.842|26.163|26.79|26.133|0.777|18.247|0.14
strncpy (GNU libc 2.39)|512|33.875|34.2|34.831|34.235|0.468|13.929|0.065
strncpy (LI-PaRAD)|1024|52.356|52.394|52.743|52.396|0.078|18.201|0.014
strncpy (GNU libc 2.39)|1024|66.448|68.058|68.816|67.962|0.637|14.033|0.09
strncpy (LI-PaRAD)|2048|103.056|103.084|103.274|103.09|0.028|18.502|0.005
strncpy (GNU libc 2.39)|2048|133.335|134.657|135.376|134.616|0.296|14.169|0.042
strncpy (LI-PaRAD)|4096|204.82|204.921|205.393|204.947|0.065|18.613|0.012
strncpy (GNU libc 2.39)|4096|266.326|267.388|268.664|267.388|0.172|14.267|0.025
strncpy (LI-PaRAD)|8192|406.851|406.995|407.581|407.016|0.038|18.745|0.007
strncpy (GNU libc 2.39)|8192|531.132|533.302|534.213|533.21|0.104|14.308|0.015
strncpy (LI-PaRAD)|16384|809.592|809.8|810.479|809.804|0.018|18.843|0.003
strncpy (GNU libc 2.39)|16384|1062.056|1066.558|1069.864|1066.441|0.158|14.308|0.023
strncpy (LI-PaRAD)|32768|1610.415|1612.74|1616.848|1613.103|0.097|18.919|0.018
strncpy (GNU libc 2.39)|32768|2088.643|2126.868|2135.454|2121.72|0.548|14.384|0.079
strncpy (LI-PaRAD)|65536|3239.437|3244.049|3250.993|3244.129|0.074|18.814|0.014
strncpy (GNU libc 2.39)|65536|4268.512|4271.46|4304.797|4271.827|0.093|14.288|0.013
strncpy (LI-PaRAD)|131072|6442.533|6446.584|6454.337|6446.738|0.037|18.935|0.007
strncpy (GNU libc 2.39)|131072|8564.089|8569.314|8577.388|8569.52|0.033|14.245|0.005
strncpy (LI-PaRAD)|262144|12854.58|12890.38|13050.0|12888.954|0.223|18.942|0.042
strncpy (GNU libc 2.39)|262144|17058.91|17100.81|17143.32|17100.287|0.11|14.277|0.016
strncpy (LI-PaRAD)|524288|26647.67|27967.07|28591.69|27944.797|0.839|17.474|0.149
strncpy (GNU libc 2.39)|524288|34656.63|34820.22|34964.5|34817.343|0.197|14.024|0.028
strncpy (LI-PaRAD)|1048576|52270.87|52620.67|53786.29|52649.02|0.377|18.549|0.069
strncpy (GNU libc 2.39)|1048576|69101.28|69450.94|72960.33|69827.355|1.333|13.988|0.181
strncpy (LI-PaRAD)|2097152|104392.8|105380.4|107102.4|105396.667|0.461|18.532|0.085
strncpy (GNU libc 2.39)|2097152|142178.4|143251.1|149289.2|143460.574|0.669|13.615|0.089
strncpy (LI-PaRAD)|4194304|209112.0|210084.9|215394.0|210609.623|0.688|18.548|0.126
strncpy (GNU libc 2.39)|4194304|294265.2|296097.5|300880.6|296200.244|0.323|13.188|0.042
strncpy (LI-PaRAD)|8388608|420452.1|421332.1|428474.8|422271.313|0.513|18.502|0.094
strncpy (GNU libc 2.39)|8388608|596314.8|599101.9|602891.1|599134.45|0.223|13.04|0.029
strncpy (LI-PaRAD)|16777216|843585.0|849171.5|852827.5|848764.649|0.247|18.409|0.046
strncpy (GNU libc 2.39)|16777216|1210916.0|1232328.5|1244489.5|1231717.005|0.39|12.686|0.05
strncpy (LI-PaRAD)|33554432|1717405.0|1726623.0|1739485.5|1726374.356|0.24|18.102|0.044
strncpy (GNU libc 2.39)|33554432|2601391.0|2759658.0|2777147.5|2754404.564|0.996|11.347|0.118
strncpy (LI-PaRAD)|67108864|3460319.0|3472316.0|3482776.0|3472620.218|0.119|17.998|0.021
strncpy (GNU libc 2.39)|67108864|5460961.0|5649444.0|5666243.5|5626492.05|0.8|11.109|0.09
strncpy (LI-PaRAD)|134217728|6928740.5|6948800.0|6960491.5|6948564.837|0.065|17.989|0.012
strncpy (GNU libc 2.39)|134217728|11054383.0|11415125.5|11491413.5|11406652.381|0.578|10.959|0.065
strncpy (LI-PaRAD)|268435456|13872520.5|13907199.0|13934482.0|13906996.995|0.051|17.977|0.009
strncpy (GNU libc 2.39)|268435456|22280068.5|22840466.0|23088846.0|22858049.792|0.563|10.937|0.062
strncpy (LI-PaRAD)|536870912|27803170.5|27866141.5|27902372.0|27864685.871|0.045|17.944|0.008
strncpy (GNU libc 2.39)|536870912|44738177.5|45889684.0|46243749.0|45862546.094|0.562|10.902|0.062
