        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          64 |          6.933 |          7.323 |          8.240 |          7.374 |          4.101 |          8.096 |          0.325 |
            strnlen (LI-PaRAD) |          64 |          4.331 |          4.333 |          4.338 |          4.334 |          0.037 |         13.754 |          0.005 |     +70.16%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |         128 |         15.019 |         15.024 |         15.043 |         15.024 |          0.023 |          7.934 |          0.002 |
            strnlen (LI-PaRAD) |         128 |          7.508 |          7.512 |          7.516 |          7.512 |          0.024 |         15.869 |          0.004 |    +100.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |         256 |         27.730 |         27.736 |         27.769 |         27.737 |          0.015 |          8.596 |          0.001 |
            strnlen (LI-PaRAD) |         256 |         13.741 |         14.144 |         14.258 |         14.110 |          0.897 |         16.898 |          0.153 |     +96.58%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |         512 |         53.513 |         53.551 |         53.607 |         53.547 |          0.039 |          8.905 |          0.003 |
            strnlen (LI-PaRAD) |         512 |         26.755 |         26.797 |         26.977 |         26.824 |          0.251 |         17.777 |          0.045 |     +99.62%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |        1024 |        104.754 |        104.782 |        105.068 |        104.786 |          0.032 |          9.101 |          0.003 |
            strnlen (LI-PaRAD) |        1024 |         52.027 |         52.171 |         52.295 |         52.157 |          0.101 |         18.285 |          0.018 |    +100.90%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |        2048 |        207.595 |        207.644 |        207.732 |        207.645 |          0.012 |          9.186 |          0.001 |
            strnlen (LI-PaRAD) |        2048 |        101.270 |        101.312 |        101.583 |        101.317 |          0.035 |         18.825 |          0.007 |    +104.95%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |        4096 |        412.798 |        412.967 |        413.474 |        412.990 |          0.039 |          9.237 |          0.004 |
            strnlen (LI-PaRAD) |        4096 |        202.598 |        202.876 |        203.434 |        202.920 |          0.080 |         18.799 |          0.015 |    +103.52%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |        8192 |        823.837 |        824.010 |        824.754 |        824.022 |          0.021 |          9.259 |          0.002 |
            strnlen (LI-PaRAD) |        8192 |        406.385 |        406.702 |        407.053 |        406.684 |          0.037 |         18.760 |          0.007 |    +102.62%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |       16384 |       1611.111 |       1618.637 |       1629.569 |       1618.566 |          0.201 |          9.427 |          0.019 |
            strnlen (LI-PaRAD) |       16384 |        809.255 |        809.818 |        810.223 |        809.802 |          0.026 |         18.843 |          0.005 |     +99.87%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |       32768 |       3182.936 |       3228.271 |       3258.819 |       3226.276 |          0.425 |          9.459 |          0.040 |
            strnlen (LI-PaRAD) |       32768 |       1607.312 |       1610.504 |       1613.616 |       1610.319 |          0.093 |         18.951 |          0.018 |    +100.35%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |       65536 |       6565.674 |       6576.277 |       6583.527 |       6576.286 |          0.054 |          9.281 |          0.005 |
            strnlen (LI-PaRAD) |       65536 |       3210.136 |       3213.360 |       3216.727 |       3212.938 |          0.056 |         18.997 |          0.011 |    +104.68%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |      131072 |      13095.840 |      13116.239 |      13127.919 |      13116.428 |          0.053 |          9.307 |          0.005 |
            strnlen (LI-PaRAD) |      131072 |       6422.326 |       6424.935 |       6437.902 |       6425.448 |          0.035 |         18.998 |          0.007 |    +104.13%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |      262144 |      25520.260 |      25835.690 |      26203.790 |      25828.343 |          0.516 |          9.453 |          0.049 |
            strnlen (LI-PaRAD) |      262144 |      12818.630 |      12845.850 |      12882.460 |      12841.420 |          0.131 |         19.012 |          0.025 |    +101.13%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |      524288 |      51257.820 |      51620.240 |      52010.300 |      51615.811 |          0.339 |          9.460 |          0.032 |
            strnlen (LI-PaRAD) |      524288 |      25654.470 |      25669.550 |      25741.420 |      25676.642 |          0.080 |         19.017 |          0.015 |    +101.02%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |     1048576 |     103655.040 |     104002.300 |     104391.170 |     103996.828 |          0.147 |          9.390 |          0.014 |
            strnlen (LI-PaRAD) |     1048576 |      51419.340 |      51478.350 |      51519.000 |      51470.581 |          0.055 |         18.973 |          0.010 |    +102.05%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |     2097152 |     202598.400 |     206278.600 |     210630.600 |     206419.202 |          1.098 |          9.463 |          0.104 |
            strnlen (LI-PaRAD) |     2097152 |     102406.800 |     102808.300 |     103385.500 |     102913.622 |          0.223 |         18.978 |          0.042 |    +100.58%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |     4194304 |     404588.000 |     414781.300 |     420679.500 |     414099.089 |          0.873 |          9.434 |          0.083 |
            strnlen (LI-PaRAD) |     4194304 |     205046.500 |     205837.300 |     206450.800 |     205680.858 |          0.166 |         18.992 |          0.032 |    +101.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |     8388608 |     809929.000 |     829850.200 |     840364.500 |     829665.792 |          0.678 |          9.417 |          0.064 |
            strnlen (LI-PaRAD) |     8388608 |     410150.600 |     411712.000 |     413098.600 |     411478.427 |          0.148 |         18.986 |          0.028 |    +101.63%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |    16777216 |    1632268.000 |    1663946.500 |    1684142.500 |    1664397.708 |          0.794 |          9.388 |          0.075 |
            strnlen (LI-PaRAD) |    16777216 |     814976.000 |     822868.500 |     827972.000 |     822395.792 |          0.300 |         19.000 |          0.057 |    +102.38%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |    33554432 |    3291411.500 |    3320823.000 |    3346368.000 |    3319710.540 |          0.374 |          9.414 |          0.035 |
            strnlen (LI-PaRAD) |    33554432 |    1651703.000 |    1657761.500 |    1662630.500 |    1657567.708 |          0.134 |         18.853 |          0.025 |    +100.28%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |    67108864 |    6603870.500 |    6654631.000 |    6695049.000 |    6650862.886 |          0.287 |          9.397 |          0.027 |
            strnlen (LI-PaRAD) |    67108864 |    3338525.500 |    3342217.000 |    3352100.000 |    3342336.861 |          0.072 |         18.700 |          0.013 |     +98.99%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |   134217728 |   13285065.500 |   13321473.000 |   13380301.000 |   13323647.203 |          0.159 |          9.382 |          0.015 |
            strnlen (LI-PaRAD) |   134217728 |    6715780.000 |    6720004.500 |    6725413.500 |    6719841.297 |          0.030 |         18.602 |          0.006 |     +98.27%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |   268435456 |   26499125.000 |   26644504.500 |   26745216.000 |   26644218.450 |          0.150 |          9.383 |          0.014 |
            strnlen (LI-PaRAD) |   268435456 |   13461231.000 |   13468053.500 |   13487415.000 |   13468244.723 |          0.030 |         18.562 |          0.005 |     +97.83%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |   536870912 |   53153364.000 |   53288473.000 |   53406074.000 |   53286521.386 |          0.112 |          9.383 |          0.011 |
            strnlen (LI-PaRAD) |   536870912 |   26951232.500 |   26959969.500 |   26975247.500 |   26960493.356 |          0.016 |         18.546 |          0.003 |     +97.65%
