        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |          64 |          4.317 |          4.324 |          4.333 |          4.324 |          0.058 |         13.784 |          0.008 |
            strnlen (LI-PaRAD) |          64 |          4.332 |          4.333 |          4.338 |          4.334 |          0.034 |         13.754 |          0.005 |      -0.22%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |         128 |          6.603 |          6.608 |          6.613 |          6.608 |          0.032 |         18.039 |          0.006 |
            strnlen (LI-PaRAD) |         128 |          7.508 |          7.512 |          7.516 |          7.512 |          0.023 |         15.869 |          0.004 |     -12.03%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |         256 |         11.726 |         11.734 |         11.750 |         11.734 |          0.023 |         20.319 |          0.005 |
            strnlen (LI-PaRAD) |         256 |         13.844 |         14.162 |         14.257 |         14.143 |          0.682 |         16.859 |          0.116 |     -17.03%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |         512 |         20.998 |         22.100 |         22.231 |         22.072 |          0.689 |         21.605 |          0.154 |
            strnlen (LI-PaRAD) |         512 |         26.612 |         26.811 |         26.993 |         26.823 |          0.281 |         17.778 |          0.050 |     -17.71%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |        1024 |         42.467 |         42.640 |         42.902 |         42.668 |          0.280 |         22.351 |          0.062 |
            strnlen (LI-PaRAD) |        1024 |         52.030 |         52.181 |         52.227 |         52.171 |          0.077 |         18.280 |          0.014 |     -18.22%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |        2048 |         82.461 |         83.254 |         83.554 |         83.167 |          0.312 |         22.934 |          0.072 |
            strnlen (LI-PaRAD) |        2048 |        101.270 |        101.313 |        101.843 |        101.328 |          0.074 |         18.823 |          0.014 |     -17.92%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |        4096 |        165.279 |        166.268 |        167.477 |        166.338 |          0.356 |         22.934 |          0.082 |
            strnlen (LI-PaRAD) |        4096 |        202.599 |        202.887 |        203.480 |        202.934 |          0.099 |         18.798 |          0.019 |     -18.03%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |        8192 |        329.002 |        331.605 |        337.274 |        331.701 |          0.446 |         23.001 |          0.102 |
            strnlen (LI-PaRAD) |        8192 |        406.492 |        406.618 |        407.092 |        406.653 |          0.032 |         18.761 |          0.006 |     -18.43%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |       16384 |        654.652 |        669.101 |        671.643 |        668.194 |          0.451 |         22.836 |          0.104 |
            strnlen (LI-PaRAD) |       16384 |        809.400 |        809.840 |        810.305 |        809.824 |          0.025 |         18.842 |          0.005 |     -17.49%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |       32768 |       1321.437 |       1326.883 |       1345.245 |       1329.148 |          0.471 |         22.961 |          0.108 |
            strnlen (LI-PaRAD) |       32768 |       1607.310 |       1610.496 |       1625.589 |       1610.459 |          0.131 |         18.950 |          0.025 |     -17.47%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |       65536 |       2625.449 |       2661.601 |       2669.011 |       2646.953 |          0.690 |         23.060 |          0.159 |
            strnlen (LI-PaRAD) |       65536 |       3210.264 |       3213.508 |       3216.753 |       3213.203 |          0.061 |         18.995 |          0.012 |     -17.62%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |      131072 |       5286.833 |       5290.563 |       5294.527 |       5290.517 |          0.033 |         23.073 |          0.008 |
