ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strnlen (LI-PaRAD)|64|4.295|4.334|4.338|4.334|0.098|13.754|0.014
strnlen (GNU libc 2.39)|64|4.067|4.128|4.238|4.127|1.152|14.444|0.165
strnlen (Arm OR 23.01)|64|7.337|7.807|8.3|7.805|1.897|7.64|0.145
strnlen (LI-PaRAD)|128|7.508|7.513|7.519|7.512|0.023|15.868|0.004
strnlen (GNU libc 2.39)|128|6.271|6.308|6.431|6.312|0.576|18.885|0.108
strnlen (Arm OR 23.01)|128|15.019|15.024|15.056|15.024|0.026|7.935|0.002
strnlen (LI-PaRAD)|256|13.672|13.767|13.958|13.784|0.505|17.298|0.087
strnlen (GNU libc 2.39)|256|11.306|11.38|11.509|11.379|0.377|20.952|0.079
strnlen (Arm OR 23.01)|256|27.573|27.8|27.995|27.788|0.308|8.58|0.026
strnlen (LI-PaRAD)|512|25.969|26.761|26.816|26.709|0.698|17.854|0.127
strnlen (GNU libc 2.39)|512|21.907|21.985|22.157|21.999|0.361|21.676|0.078
strnlen (Arm OR 23.01)|512|52.936|53.173|53.565|53.198|0.29|8.963|0.026
strnlen (LI-PaRAD)|1024|52.004|52.077|55.602|52.121|0.678|18.298|0.116
strnlen (GNU libc 2.39)|1024|42.44|42.49|42.635|42.493|0.086|22.443|0.019
strnlen (Arm OR 23.01)|1024|104.597|104.993|107.019|104.998|0.222|9.083|0.02
strnlen (LI-PaRAD)|2048|100.696|100.736|100.879|100.74|0.023|18.933|0.004
strnlen (GNU libc 2.39)|2048|83.734|83.845|84.02|83.859|0.068|22.745|0.015
strnlen (Arm OR 23.01)|2048|207.141|207.314|207.721|207.322|0.053|9.2|0.005
strnlen (LI-PaRAD)|4096|200.019|200.094|200.382|200.135|0.055|19.061|0.011
strnlen (GNU libc 2.39)|4096|165.583|166.101|167.144|166.105|0.148|22.966|0.034
strnlen (Arm OR 23.01)|4096|412.43|413.019|413.676|413.027|0.069|9.236|0.006
strnlen (LI-PaRAD)|8192|402.087|406.689|407.119|406.416|0.242|18.772|0.046
strnlen (GNU libc 2.39)|8192|324.348|330.603|333.556|329.614|0.601|23.147|0.139
strnlen (Arm OR 23.01)|8192|823.281|823.678|824.323|823.678|0.024|9.263|0.002
strnlen (LI-PaRAD)|16384|809.892|810.21|813.266|810.255|0.041|18.832|0.008
strnlen (GNU libc 2.39)|16384|665.708|672.957|674.164|672.655|0.209|22.685|0.048
strnlen (Arm OR 23.01)|16384|1651.524|1651.955|1652.901|1651.962|0.015|9.237|0.001
strnlen (LI-PaRAD)|32768|1607.341|1610.616|1619.8|1610.653|0.116|18.947|0.022
strnlen (GNU libc 2.39)|32768|1333.606|1338.1|1341.693|1337.866|0.134|22.811|0.031
strnlen (Arm OR 23.01)|32768|3293.071|3296.321|3300.994|3296.358|0.058|9.258|0.005
strnlen (LI-PaRAD)|65536|3210.953|3214.311|3217.604|3213.974|0.065|18.991|0.012
strnlen (GNU libc 2.39)|65536|2598.923|2671.305|2675.934|2666.559|0.634|22.89|0.148
strnlen (Arm OR 23.01)|65536|6536.338|6576.355|6611.621|6573.845|0.18|9.285|0.017
strnlen (LI-PaRAD)|131072|6423.645|6426.954|6436.029|6427.056|0.031|18.993|0.006
strnlen (GNU libc 2.39)|131072|5297.116|5301.678|5307.298|5301.225|0.041|23.027|0.009
strnlen (Arm OR 23.01)|131072|13114.419|13141.734|13160.076|13141.163|0.08|9.289|0.007
strnlen (LI-PaRAD)|262144|12824.28|12849.75|12886.98|12846.13|0.15|19.005|0.029
strnlen (GNU libc 2.39)|262144|10433.86|10467.88|10639.19|10487.084|0.576|23.281|0.133
strnlen (Arm OR 23.01)|262144|25940.91|26300.25|26365.48|26292.569|0.194|9.286|0.018
strnlen (LI-PaRAD)|524288|25674.11|25692.25|25746.66|25695.383|0.076|19.003|0.014
strnlen (GNU libc 2.39)|524288|21156.98|21243.62|21567.3|21256.822|0.323|22.971|0.074
