        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |          64 |         13.439 |         13.822 |         13.889 |         13.793 |          0.673 |          4.321 |          0.029 |
            strrchr (LI-PaRAD) |          64 |          7.999 |          8.321 |          8.351 |          8.290 |          1.094 |          7.191 |          0.081 |     +66.38%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |         128 |         20.035 |         20.261 |         20.465 |         20.254 |          0.421 |          5.886 |          0.025 |
            strrchr (LI-PaRAD) |         128 |         10.398 |         10.401 |         10.406 |         10.401 |          0.019 |         11.461 |          0.002 |     +94.73%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |         256 |         33.535 |         33.710 |         33.899 |         33.704 |          0.202 |          7.074 |          0.014 |
            strrchr (LI-PaRAD) |         256 |         16.755 |         17.001 |         18.195 |         17.060 |          1.742 |         13.979 |          0.239 |     +97.56%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |         512 |         61.034 |         61.460 |         61.660 |         61.436 |          0.267 |          7.762 |          0.021 |
            strrchr (LI-PaRAD) |         512 |         29.062 |         29.093 |         31.347 |         29.336 |          1.831 |         16.260 |          0.286 |    +109.43%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |        1024 |        116.300 |        116.791 |        119.092 |        116.772 |          0.285 |          8.167 |          0.023 |
            strrchr (LI-PaRAD) |        1024 |         53.445 |         53.761 |         55.154 |         53.987 |          0.719 |         17.666 |          0.126 |    +116.30%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |        2048 |        227.473 |        227.819 |        228.074 |        227.798 |          0.049 |          8.373 |          0.004 |
            strrchr (LI-PaRAD) |        2048 |        103.020 |        103.047 |        103.647 |        103.087 |          0.122 |         18.502 |          0.022 |    +120.98%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |        4096 |        448.982 |        449.280 |        450.063 |        449.310 |          0.060 |          8.490 |          0.005 |
            strrchr (LI-PaRAD) |        4096 |        201.349 |        201.658 |        204.791 |        202.076 |          0.419 |         18.878 |          0.078 |    +122.35%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |        8192 |        892.723 |        893.072 |        893.804 |        893.100 |          0.026 |          8.543 |          0.002 |
            strrchr (LI-PaRAD) |        8192 |        398.806 |        399.092 |        401.703 |        399.484 |          0.205 |         19.098 |          0.039 |    +123.56%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |       16384 |       1785.816 |       1786.264 |       1787.036 |       1786.293 |          0.012 |          8.542 |          0.001 |
            strrchr (LI-PaRAD) |       16384 |        801.475 |        801.697 |        802.486 |        801.688 |          0.016 |         19.033 |          0.003 |    +122.82%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |       32768 |       3557.916 |       3561.306 |       3565.810 |       3561.482 |          0.052 |          8.569 |          0.004 |
            strrchr (LI-PaRAD) |       32768 |       1588.104 |       1590.534 |       1598.566 |       1590.800 |          0.119 |         19.184 |          0.023 |    +123.88%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |       65536 |       7106.764 |       7110.783 |       7116.300 |       7110.360 |          0.028 |          8.584 |          0.002 |
            strrchr (LI-PaRAD) |       65536 |       3168.775 |       3172.126 |       3184.325 |       3171.934 |          0.076 |         19.242 |          0.015 |    +124.16%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |      131072 |      14205.464 |      14209.953 |      14214.210 |      14209.926 |          0.013 |          8.590 |          0.001 |
            strrchr (LI-PaRAD) |      131072 |       6322.278 |       6327.339 |       6334.808 |       6327.355 |          0.033 |         19.292 |          0.006 |    +124.58%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |      262144 |      28382.750 |      28407.870 |      28458.130 |      28411.397 |          0.069 |          8.593 |          0.006 |
            strrchr (LI-PaRAD) |      262144 |      12618.400 |      12643.800 |      12694.800 |      12640.716 |          0.152 |         19.314 |          0.029 |    +124.76%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |      524288 |      56758.880 |      56809.490 |      56839.910 |      56807.060 |          0.032 |          8.595 |          0.003 |
            strrchr (LI-PaRAD) |      524288 |      25250.920 |      25277.100 |      25331.950 |      25275.566 |          0.084 |         19.318 |          0.016 |    +124.75%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |     1048576 |     113649.990 |     113721.010 |     114743.290 |     113734.272 |          0.102 |          8.586 |          0.009 |
            strrchr (LI-PaRAD) |     1048576 |      50513.500 |      50592.920 |      51040.090 |      50594.520 |          0.124 |         19.302 |          0.024 |    +124.80%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |     2097152 |     226879.100 |     227225.300 |     227834.800 |     227320.103 |          0.085 |          8.592 |          0.007 |
            strrchr (LI-PaRAD) |     2097152 |     100873.200 |     101184.100 |     102444.100 |     101176.492 |          0.399 |         19.304 |          0.076 |    +124.68%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |     4194304 |     454336.800 |     454603.800 |     455297.100 |     454629.203 |          0.049 |          8.592 |          0.004 |
            strrchr (LI-PaRAD) |     4194304 |     201687.000 |     202135.400 |     204565.300 |     202468.746 |          0.358 |         19.293 |          0.069 |    +124.54%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |     8388608 |     909020.100 |     909455.900 |     911471.100 |     909479.108 |          0.045 |          8.590 |          0.004 |
            strrchr (LI-PaRAD) |     8388608 |     404077.800 |     405551.700 |     413487.500 |     406201.240 |          0.546 |         19.234 |          0.104 |    +123.90%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |    16777216 |    1816569.500 |    1819693.500 |    1822920.000 |    1819615.851 |          0.075 |          8.587 |          0.006 |
            strrchr (LI-PaRAD) |    16777216 |     806787.500 |     809428.500 |     827761.000 |     810425.218 |          0.470 |         19.280 |          0.090 |    +124.53%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |    33554432 |    3636698.500 |    3640447.500 |    3649538.000 |    3640230.020 |          0.053 |          8.585 |          0.005 |
            strrchr (LI-PaRAD) |    33554432 |    1624435.500 |    1640412.500 |    1683254.000 |    1643829.114 |          0.836 |         19.012 |          0.158 |    +121.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |    67108864 |    7277182.500 |    7279597.000 |    7287513.000 |    7279925.193 |          0.028 |          8.585 |          0.002 |
            strrchr (LI-PaRAD) |    67108864 |    3298499.500 |    3352779.500 |    3406542.500 |    3350287.728 |          0.766 |         18.656 |          0.143 |    +117.29%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |   134217728 |   14555796.000 |   14559751.000 |   14574841.000 |   14559940.139 |          0.019 |          8.585 |          0.002 |
            strrchr (LI-PaRAD) |   134217728 |    6679309.500 |    6755909.500 |    6821836.000 |    6755435.525 |          0.452 |         18.504 |          0.084 |    +115.53%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |   268435456 |   29108699.500 |   29112784.500 |   29128868.000 |   29113828.985 |          0.014 |          8.587 |          0.001 |
            strrchr (LI-PaRAD) |   268435456 |   13494783.000 |   13581816.000 |   13679947.000 |   13580263.955 |          0.275 |         18.409 |          0.051 |    +114.38%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |   536870912 |   58217155.000 |   58225106.000 |   58246856.500 |   58225480.490 |          0.008 |          8.587 |          0.001 |
            strrchr (LI-PaRAD) |   536870912 |   27131305.500 |   27245815.000 |   27354025.000 |   27241038.381 |          0.167 |         18.355 |          0.031 |    +113.74%
