        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |          64 |          4.719 |          4.723 |          4.737 |          4.723 |          0.071 |         12.619 |          0.009 |
            strrchr (LI-PaRAD) |          64 |          7.992 |          8.320 |          8.336 |          8.308 |          0.659 |          7.174 |          0.049 |     -43.15%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |         128 |          7.520 |          7.529 |          7.539 |          7.529 |          0.056 |         15.834 |          0.009 |
            strrchr (LI-PaRAD) |         128 |         10.399 |         10.401 |         10.411 |         10.402 |          0.021 |         11.461 |          0.002 |     -27.62%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |         256 |         12.625 |         12.646 |         12.713 |         12.649 |          0.119 |         18.849 |          0.022 |
            strrchr (LI-PaRAD) |         256 |         16.754 |         17.150 |         18.404 |         17.239 |          2.343 |         13.838 |          0.318 |     -26.62%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |         512 |         23.349 |         23.684 |         23.870 |         23.646 |          0.594 |         20.166 |          0.120 |
            strrchr (LI-PaRAD) |         512 |         29.063 |         29.093 |         31.945 |         29.419 |          2.296 |         16.217 |          0.356 |     -19.62%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |        1024 |         45.456 |         46.831 |         48.015 |         46.818 |          1.249 |         20.373 |          0.255 |
            strrchr (LI-PaRAD) |        1024 |         53.707 |         53.758 |         55.731 |         54.058 |          0.897 |         17.643 |          0.156 |     -13.39%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |        2048 |         91.742 |         92.047 |         93.659 |         92.397 |          0.693 |         20.644 |          0.142 |
            strrchr (LI-PaRAD) |        2048 |        103.026 |        103.053 |        106.480 |        103.176 |          0.383 |         18.487 |          0.069 |     -10.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |        4096 |        177.381 |        181.238 |        188.324 |        181.498 |          1.968 |         21.026 |          0.411 |
            strrchr (LI-PaRAD) |        4096 |        201.350 |        201.660 |        205.674 |        201.925 |          0.352 |         18.892 |          0.066 |     -10.12%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |        8192 |        366.564 |        366.994 |        392.420 |        368.593 |          1.368 |         20.702 |          0.273 |
            strrchr (LI-PaRAD) |        8192 |        398.816 |        399.789 |        401.849 |        399.852 |          0.222 |         19.081 |          0.042 |      -7.82%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |       16384 |        745.787 |        770.996 |        798.965 |        771.804 |          1.624 |         19.775 |          0.321 |
            strrchr (LI-PaRAD) |       16384 |        801.563 |        801.676 |        802.393 |        801.672 |          0.014 |         19.034 |          0.003 |      -3.73%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |       32768 |       1275.029 |       1291.820 |       1458.204 |       1328.043 |          5.007 |         23.034 |          1.105 |
            strrchr (LI-PaRAD) |       32768 |       1588.105 |       1590.642 |       1614.771 |       1591.065 |          0.189 |         19.181 |          0.036 |     -16.53%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |       65536 |       2994.658 |       3055.860 |       3120.509 |       3059.236 |          0.990 |         19.953 |          0.197 |
            strrchr (LI-PaRAD) |       65536 |       3168.266 |       3171.405 |       3174.877 |       3170.992 |          0.060 |         19.248 |          0.012 |      -3.52%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |      131072 |       5914.135 |       6073.506 |       6160.992 |       6062.480 |          0.862 |         20.137 |          0.174 |
            strrchr (LI-PaRAD) |      131072 |       6322.292 |       6327.156 |       6332.685 |       6327.383 |          0.030 |         19.292 |          0.006 |      -4.19%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |      262144 |      11833.020 |      12232.710 |      12604.370 |      12224.234 |          1.217 |         19.975 |          0.244 |
            strrchr (LI-PaRAD) |      262144 |      12618.410 |      12643.410 |      12687.670 |      12640.504 |          0.149 |         19.314 |          0.029 |      -3.29%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |      524288 |      24603.610 |      24997.270 |      25203.950 |      24981.339 |          0.449 |         19.546 |          0.088 |
            strrchr (LI-PaRAD) |      524288 |      25246.240 |      25268.220 |      25329.380 |      25274.983 |          0.084 |         19.319 |          0.016 |      -1.16%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |     1048576 |      49761.910 |      49912.930 |      50165.940 |      49910.759 |          0.129 |         19.566 |          0.025 |
            strrchr (LI-PaRAD) |     1048576 |      50539.220 |      50630.110 |      50726.050 |      50628.487 |          0.075 |         19.289 |          0.015 |      -1.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |     2097152 |     100350.800 |     101150.800 |     102047.600 |     101062.656 |          0.241 |         19.326 |          0.047 |
            strrchr (LI-PaRAD) |     2097152 |     100864.400 |     101180.700 |     102458.300 |     101209.390 |          0.433 |         19.298 |          0.083 |      -0.14%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |     4194304 |     201219.000 |     202065.600 |     206084.700 |     202156.366 |          0.282 |         19.323 |          0.054 |
            strrchr (LI-PaRAD) |     4194304 |     201692.400 |     202215.400 |     206153.900 |     202619.669 |          0.477 |         19.279 |          0.091 |      -0.23%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |     8388608 |     402716.100 |     404299.700 |     419376.300 |     404691.867 |          0.519 |         19.305 |          0.098 |
            strrchr (LI-PaRAD) |     8388608 |     404088.000 |     405483.400 |     412834.500 |     406121.378 |          0.533 |         19.237 |          0.102 |      -0.35%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |    16777216 |     804906.000 |     809754.500 |     842427.000 |     813829.243 |          1.111 |         19.202 |          0.209 |
            strrchr (LI-PaRAD) |    16777216 |     807170.500 |     810178.500 |     837931.500 |     812199.832 |          0.789 |         19.239 |          0.149 |      +0.20%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |    33554432 |    1607855.000 |    1616185.000 |    1629586.500 |    1615765.767 |          0.200 |         19.341 |          0.039 |
            strrchr (LI-PaRAD) |    33554432 |    1625301.500 |    1645505.500 |    1690777.500 |    1647290.411 |          0.937 |         18.972 |          0.177 |      -1.91%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |    67108864 |    3257509.500 |    3264253.500 |    3275684.500 |    3264374.723 |          0.105 |         19.146 |          0.020 |
            strrchr (LI-PaRAD) |    67108864 |    3296603.000 |    3343492.500 |    3401107.500 |    3345367.054 |          0.735 |         18.684 |          0.137 |      -2.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |   134217728 |    6567176.000 |    6577934.000 |    6585715.000 |    6577665.569 |          0.061 |         19.004 |          0.012 |
            strrchr (LI-PaRAD) |   134217728 |    6714186.000 |    6771090.500 |    6846436.500 |    6771261.921 |          0.433 |         18.461 |          0.080 |      -2.86%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |   268435456 |   13177489.000 |   13190347.000 |   13209337.500 |   13190817.084 |          0.047 |         18.953 |          0.009 |
            strrchr (LI-PaRAD) |   268435456 |   13512120.000 |   13605857.500 |   13721789.000 |   13609566.257 |          0.313 |         18.370 |          0.057 |      -3.08%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |   536870912 |   26388891.000 |   26405922.000 |   26422645.000 |   26406137.416 |          0.028 |         18.935 |          0.005 |
            strrchr (LI-PaRAD) |   536870912 |   27132199.000 |   27262991.000 |   27403233.500 |   27262330.262 |          0.201 |         18.340 |          0.037 |      -3.14%
