ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strrchr (LI-PaRAD)|64|7.874|8.09|8.095|8.081|0.513|7.376|0.039
strrchr (GNU libc 2.39)|64|4.847|4.851|4.89|4.852|0.097|12.285|0.012
strrchr (Arm OR 23.01)|64|13.863|13.868|13.899|13.868|0.028|4.298|0.001
strrchr (LI-PaRAD)|128|10.711|10.786|10.792|10.784|0.142|11.055|0.016
strrchr (GNU libc 2.39)|128|7.48|7.485|7.49|7.484|0.025|15.928|0.004
strrchr (Arm OR 23.01)|128|20.607|20.67|20.858|20.681|0.283|5.764|0.016
strrchr (LI-PaRAD)|256|19.643|19.648|19.681|19.648|0.02|12.135|0.002
strrchr (GNU libc 2.39)|256|12.418|12.427|12.431|12.427|0.018|19.186|0.003
strrchr (Arm OR 23.01)|256|33.126|33.19|33.458|33.201|0.224|7.181|0.016
strrchr (LI-PaRAD)|512|28.101|31.965|32.054|31.392|3.408|15.208|0.55
strrchr (GNU libc 2.39)|512|23.687|23.722|23.784|23.73|0.087|20.094|0.017
strrchr (Arm OR 23.01)|512|60.84|60.881|62.101|61.07|0.509|7.808|0.039
strrchr (LI-PaRAD)|1024|53.153|56.616|56.668|56.174|1.398|16.981|0.243
strrchr (GNU libc 2.39)|1024|45.547|45.846|46.586|45.851|0.241|20.8|0.05
strrchr (Arm OR 23.01)|1024|116.289|116.662|119.158|116.697|0.338|8.172|0.027
strrchr (LI-PaRAD)|2048|104.376|105.916|105.999|105.629|0.394|18.057|0.071
strrchr (GNU libc 2.39)|2048|92.079|92.344|95.171|92.982|1.167|20.516|0.236
strrchr (Arm OR 23.01)|2048|227.283|227.703|228.339|227.726|0.112|8.376|0.009
strrchr (LI-PaRAD)|4096|200.388|204.48|205.057|203.94|0.586|18.706|0.111
strrchr (GNU libc 2.39)|4096|180.165|192.118|195.722|190.214|2.15|20.064|0.434
strrchr (Arm OR 23.01)|4096|448.967|449.675|451.56|449.754|0.108|8.482|0.009
strrchr (LI-PaRAD)|8192|399.853|401.698|402.126|401.209|0.187|19.016|0.036
strrchr (GNU libc 2.39)|8192|335.063|335.502|365.757|337.833|1.922|22.591|0.412
strrchr (Arm OR 23.01)|8192|892.729|893.362|894.29|893.406|0.037|8.54|0.003
strrchr (LI-PaRAD)|16384|801.057|801.4|804.612|801.443|0.044|19.039|0.008
strrchr (GNU libc 2.39)|16384|721.168|741.316|781.624|744.236|1.545|20.507|0.314
strrchr (Arm OR 23.01)|16384|1785.981|1786.594|1787.07|1786.567|0.012|8.541|0.001
strrchr (LI-PaRAD)|32768|1587.725|1590.393|1594.569|1590.481|0.112|19.188|0.021
strrchr (GNU libc 2.39)|32768|1299.846|1304.082|1332.535|1307.816|0.668|23.336|0.155
strrchr (Arm OR 23.01)|32768|3558.426|3561.855|3564.858|3561.8|0.049|8.568|0.004
strrchr (LI-PaRAD)|65536|3172.591|3176.688|3180.45|3176.397|0.072|19.215|0.014
strrchr (GNU libc 2.39)|65536|2981.633|3031.75|3056.029|3021.445|0.786|20.202|0.159
strrchr (Arm OR 23.01)|65536|7111.441|7117.042|7124.26|7116.774|0.031|8.576|0.003
strrchr (LI-PaRAD)|131072|6326.255|6329.876|6333.707|6329.843|0.032|19.285|0.006
strrchr (GNU libc 2.39)|131072|6221.052|6290.843|6317.464|6285.27|0.314|19.422|0.061
strrchr (Arm OR 23.01)|131072|14206.265|14209.856|14218.982|14210.341|0.024|8.59|0.002
strrchr (LI-PaRAD)|262144|12623.54|12649.41|12699.16|12648.314|0.176|19.302|0.034
strrchr (GNU libc 2.39)|262144|11954.8|12188.42|12453.67|12193.942|0.786|20.023|0.157
strrchr (Arm OR 23.01)|262144|28394.52|28424.56|28469.98|28419.853|0.076|8.591|0.007
strrchr (LI-PaRAD)|524288|25255.35|25272.7|25351.28|25280.033|0.089|19.315|0.017
strrchr (GNU libc 2.39)|524288|23536.89|23974.39|24538.0|23997.125|0.994|20.349|0.202
strrchr (Arm OR 23.01)|524288|56781.14|56829.4|56858.7|56824.507|0.034|8.593|0.003
strrchr (LI-PaRAD)|1048576|50518.2|50592.58|50757.71|50593.46|0.085|19.302|0.016
strrchr (GNU libc 2.39)|1048576|50199.67|50354.61|50525.0|50353.66|0.115|19.394|0.022
strrchr (Arm OR 23.01)|1048576|113725.14|113819.01|113880.87|113809.858|0.033|8.581|0.003
strrchr (LI-PaRAD)|2097152|100851.8|101162.0|102303.3|101140.404|0.37|19.311|0.071
strrchr (GNU libc 2.39)|2097152|100266.9|101022.2|102177.5|101051.566|0.285|19.328|0.055
strrchr (Arm OR 23.01)|2097152|227225.4|227354.9|228421.0|227473.728|0.117|8.586|0.01
strrchr (LI-PaRAD)|4194304|201698.5|202038.5|205489.9|202485.592|0.39|19.292|0.075
strrchr (GNU libc 2.39)|4194304|201537.4|202038.2|211374.6|202315.267|0.663|19.309|0.124
strrchr (Arm OR 23.01)|4194304|454348.3|455172.1|458529.2|455256.498|0.123|8.58|0.011
strrchr (LI-PaRAD)|8388608|404085.3|405778.4|414131.6|406267.196|0.554|19.231|0.106
strrchr (GNU libc 2.39)|8388608|403670.9|404298.0|425774.3|404783.751|0.697|19.301|0.129
strrchr (Arm OR 23.01)|8388608|909184.5|909638.4|913124.9|909800.335|0.084|8.587|0.007
strrchr (LI-PaRAD)|16777216|808442.5|811555.5|820372.5|811885.386|0.306|19.246|0.059
strrchr (GNU libc 2.39)|16777216|804217.5|810374.5|834399.5|812453.46|0.781|19.233|0.149
strrchr (Arm OR 23.01)|16777216|1817131.0|1820027.5|1827845.5|1820107.198|0.095|8.585|0.008
strrchr (LI-PaRAD)|33554432|1625121.5|1648077.5|1697924.5|1648996.188|1.044|18.953|0.196
strrchr (GNU libc 2.39)|33554432|1609261.0|1616421.0|1626555.0|1616354.708|0.219|19.334|0.042
strrchr (Arm OR 23.01)|33554432|3639437.5|3643520.5|3650428.0|3643147.297|0.054|8.578|0.005
