ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
memcmp (LI-PaRAD)|64|4.943|5.006|5.035|4.995|0.356|11.932|0.043
memcmp (Arm OR 23.01)|64|5.235|5.314|5.464|5.313|0.612|11.219|0.068
memcmp (GNU libc 2.39)|64|3.304|3.31|3.325|3.311|0.104|18.004|0.019
memcmp (LI-PaRAD)|128|7.511|7.616|7.705|7.618|0.578|15.65|0.09
memcmp (Arm OR 23.01)|128|9.818|9.823|9.834|9.823|0.022|12.135|0.003
memcmp (GNU libc 2.39)|128|6.158|6.163|6.185|6.164|0.05|19.34|0.01
memcmp (LI-PaRAD)|256|13.675|13.962|14.235|13.959|0.886|17.081|0.151
memcmp (Arm OR 23.01)|256|17.717|17.915|18.428|17.914|0.679|13.31|0.09
memcmp (GNU libc 2.39)|256|7.121|7.126|7.134|7.126|0.031|33.459|0.011
memcmp (LI-PaRAD)|512|26.047|26.674|26.887|26.598|0.885|17.929|0.159
memcmp (Arm OR 23.01)|512|36.37|36.405|36.502|36.406|0.056|13.098|0.007
memcmp (GNU libc 2.39)|512|14.212|14.85|14.913|14.758|1.387|32.317|0.459
memcmp (LI-PaRAD)|1024|51.691|51.748|52.161|51.803|0.226|18.41|0.042
memcmp (Arm OR 23.01)|1024|70.845|70.904|74.486|71.102|0.6|13.413|0.078
memcmp (GNU libc 2.39)|1024|28.401|28.437|28.487|28.438|0.061|33.536|0.021
memcmp (LI-PaRAD)|2048|102.143|102.491|102.957|102.505|0.159|18.607|0.03
memcmp (Arm OR 23.01)|2048|142.668|142.721|142.995|142.724|0.025|13.364|0.003
memcmp (GNU libc 2.39)|2048|55.048|55.502|65.895|55.591|1.883|34.321|0.548
memcmp (LI-PaRAD)|4096|202.311|202.899|203.78|202.872|0.123|18.803|0.023
memcmp (Arm OR 23.01)|4096|284.243|284.441|285.188|284.476|0.065|13.41|0.009
memcmp (GNU libc 2.39)|4096|106.932|107.238|107.651|107.224|0.176|35.577|0.063
memcmp (LI-PaRAD)|8192|403.969|405.582|406.113|405.572|0.075|18.811|0.014
memcmp (Arm OR 23.01)|8192|567.646|568.029|568.394|568.007|0.031|13.432|0.004
memcmp (GNU libc 2.39)|8192|211.31|211.968|212.637|211.986|0.13|35.99|0.047
memcmp (LI-PaRAD)|16384|811.181|811.448|812.161|811.471|0.021|18.804|0.004
memcmp (Arm OR 23.01)|16384|1188.746|1189.116|1189.903|1189.13|0.015|12.832|0.002
memcmp (GNU libc 2.39)|16384|411.65|412.328|414.824|412.437|0.138|36.997|0.051
memcmp (LI-PaRAD)|32768|1620.365|1623.436|1626.616|1623.294|0.094|18.8|0.018
memcmp (Arm OR 23.01)|32768|2370.757|2372.085|2394.097|2372.793|0.115|12.861|0.015
memcmp (GNU libc 2.39)|32768|853.845|855.462|862.014|856.427|0.229|35.634|0.082
