        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |          64 |          2.116 |          2.427 |          2.479 |          2.425 |          1.330 |         24.585 |          0.371 |
             memcpy (LI-PaRAD) |          64 |          2.695 |          2.696 |          2.701 |          2.697 |          0.070 |         22.104 |          0.015 |     -10.07%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |         128 |          2.695 |          2.857 |          3.298 |          2.872 |          4.877 |         41.599 |          1.973 |
             memcpy (LI-PaRAD) |         128 |          3.849 |          3.852 |          3.856 |          3.852 |          0.038 |         30.944 |          0.012 |     -25.44%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |         256 |          3.849 |          3.969 |          4.150 |          3.966 |          2.157 |         60.147 |          1.291 |
             memcpy (LI-PaRAD) |         256 |          7.318 |          7.323 |          7.335 |          7.322 |          0.032 |         32.561 |          0.011 |     -45.84%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |         512 |          6.539 |          6.707 |          6.775 |          6.677 |          1.158 |         71.422 |          0.837 |
             memcpy (LI-PaRAD) |         512 |         13.847 |         13.871 |         13.906 |         13.869 |          0.127 |         34.382 |          0.044 |     -51.85%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |        1024 |         13.039 |         13.407 |         13.721 |         13.401 |          0.569 |         71.168 |          0.406 |
             memcpy (LI-PaRAD) |        1024 |         26.177 |         26.192 |         32.750 |         26.336 |          3.504 |         36.247 |          1.029 |     -49.12%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |        2048 |         25.781 |         26.905 |         29.545 |         27.068 |          2.074 |         70.493 |          1.407 |
             memcpy (LI-PaRAD) |        2048 |         50.823 |         50.849 |         50.882 |         50.850 |          0.034 |         37.509 |          0.013 |     -46.77%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |        4096 |         51.214 |         53.513 |         56.960 |         53.412 |          1.382 |         71.433 |          0.966 |
             memcpy (LI-PaRAD) |        4096 |        100.003 |        100.238 |        101.013 |        100.171 |          0.200 |         38.082 |          0.076 |     -46.68%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |        8192 |        100.870 |        106.800 |        108.217 |        106.059 |          1.608 |         71.954 |          1.182 |
             memcpy (LI-PaRAD) |        8192 |        198.469 |        198.750 |        199.283 |        198.789 |          0.097 |         38.379 |          0.037 |     -46.65%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |       16384 |        201.922 |        209.135 |        211.561 |        207.802 |          1.332 |         73.442 |          0.988 |
             memcpy (LI-PaRAD) |       16384 |        402.474 |        402.586 |        403.008 |        402.606 |          0.030 |         37.900 |          0.011 |     -48.39%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |       32768 |        406.358 |        423.714 |        436.517 |        424.822 |          1.287 |         71.848 |          0.920 |
             memcpy (LI-PaRAD) |       32768 |        795.880 |        795.882 |        801.753 |        797.153 |          0.219 |         38.283 |          0.084 |     -46.71%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |       65536 |        874.734 |        879.884 |        885.097 |        880.093 |          0.262 |         69.351 |          0.182 |
             memcpy (LI-PaRAD) |       65536 |       1583.659 |       1586.177 |       1589.094 |       1586.168 |          0.095 |         38.480 |          0.036 |     -44.51%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |      131072 |       2226.858 |       2232.359 |       2237.075 |       2232.355 |          0.096 |         54.682 |          0.053 |
             memcpy (LI-PaRAD) |      131072 |       3162.055 |       3165.298 |       3169.702 |       3164.805 |          0.059 |         38.571 |          0.023 |     -29.46%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |      262144 |       4424.900 |       4429.770 |       4491.680 |       4436.441 |          0.341 |         55.031 |          0.187 |
             memcpy (LI-PaRAD) |      262144 |       6310.830 |       6311.580 |       6363.670 |       6321.644 |          0.249 |         38.620 |          0.096 |     -29.82%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |      524288 |      11815.680 |      12440.200 |      12854.270 |      12417.469 |          1.762 |         39.334 |          0.700 |
             memcpy (LI-PaRAD) |      524288 |      15454.630 |      15647.500 |      15993.620 |      15671.967 |          0.835 |         31.158 |          0.259 |     -20.77%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |     1048576 |      21410.470 |      21853.320 |      22917.250 |      21863.663 |          1.144 |         44.672 |          0.505 |
             memcpy (LI-PaRAD) |     1048576 |      25407.690 |      25491.270 |      26069.680 |      25514.548 |          0.396 |         38.275 |          0.150 |     -14.31%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |     2097152 |      52523.000 |      53105.400 |      55617.800 |      53165.468 |          0.994 |         36.740 |          0.359 |
             memcpy (LI-PaRAD) |     2097152 |      55223.700 |      56089.600 |      57201.800 |      56135.256 |          0.739 |         34.795 |          0.257 |      -5.29%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |     4194304 |     115794.100 |     116692.600 |     120421.900 |     116660.258 |          0.499 |         33.485 |          0.165 |
             memcpy (LI-PaRAD) |     4194304 |     118709.900 |     119711.000 |     121303.400 |     119754.270 |          0.466 |         32.620 |          0.152 |      -2.58%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |     8388608 |     242445.100 |     243112.100 |     246509.800 |     243254.511 |          0.238 |         32.117 |          0.076 |
             memcpy (LI-PaRAD) |     8388608 |     244538.900 |     245718.200 |     246977.600 |     245747.864 |          0.220 |         31.791 |          0.070 |      -1.01%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |    16777216 |     492808.000 |     496211.500 |     523470.500 |     496263.406 |          0.801 |         31.487 |          0.245 |
             memcpy (LI-PaRAD) |    16777216 |     494826.500 |     498163.500 |     505026.000 |     498162.540 |          0.448 |         31.366 |          0.140 |      -0.38%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |    33554432 |    1005265.500 |    1012516.000 |    1108454.000 |    1015050.129 |          1.297 |         30.791 |          0.376 |
             memcpy (LI-PaRAD) |    33554432 |    1037466.000 |    1047049.500 |    1056165.500 |    1047144.411 |          0.353 |         29.843 |          0.105 |      -3.06%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |    67108864 |    2267389.500 |    2273923.000 |    2372915.500 |    2275070.723 |          0.467 |         27.472 |          0.124 |
             memcpy (LI-PaRAD) |    67108864 |    2404499.500 |    2415861.500 |    2426362.500 |    2415697.614 |          0.186 |         25.873 |          0.048 |      -5.82%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |   134217728 |    4771059.000 |    4779449.000 |    4877631.500 |    4781058.515 |          0.244 |         26.145 |          0.063 |
             memcpy (LI-PaRAD) |   134217728 |    4998545.000 |    5009455.000 |    5034015.000 |    5009822.698 |          0.108 |         24.951 |          0.027 |      -4.57%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |   268435456 |    9788797.000 |    9802385.000 |    9938201.500 |    9804494.723 |          0.165 |         25.499 |          0.042 |
             memcpy (LI-PaRAD) |   268435456 |   10194089.000 |   10205059.500 |   10221686.500 |   10205388.525 |          0.051 |         24.497 |          0.013 |      -3.93%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |   536870912 |   19807058.000 |   19839351.500 |   20009404.000 |   19842341.921 |          0.117 |         25.199 |          0.029 |
             memcpy (LI-PaRAD) |   536870912 |   20639049.500 |   20656174.500 |   20680564.000 |   20656248.653 |          0.034 |         24.206 |          0.008 |      -3.94%
