        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        memcpy (GNU libc 2.39) |          64 |          2.590 |          2.592 |          2.620 |          2.593 |          0.140 |         22.990 |          0.032 |
             memcpy (LI-PaRAD) |          64 |          2.695 |          2.697 |          2.701 |          2.697 |          0.069 |         22.102 |          0.015 |      -3.86%
        memcpy (GNU libc 2.39) |         128 |          3.379 |          3.396 |          3.418 |          3.397 |          0.291 |         35.096 |          0.102 |
             memcpy (LI-PaRAD) |         128 |          3.849 |          3.855 |          3.863 |          3.855 |          0.064 |         30.922 |          0.020 |     -11.89%
        memcpy (GNU libc 2.39) |         256 |          5.420 |          5.433 |          5.598 |          5.456 |          0.695 |         43.704 |          0.301 |
             memcpy (LI-PaRAD) |         256 |          7.700 |          7.705 |          7.706 |          7.705 |          0.017 |         30.944 |          0.005 |     -29.19%
        memcpy (GNU libc 2.39) |         512 |          8.935 |          9.042 |          9.410 |          9.063 |          0.819 |         52.618 |          0.424 |
             memcpy (LI-PaRAD) |         512 |         13.846 |         13.871 |         13.909 |         13.869 |          0.129 |         34.380 |          0.044 |     -34.66%
        memcpy (GNU libc 2.39) |        1024 |         15.324 |         15.993 |         16.162 |         15.959 |          0.889 |         59.763 |          0.539 |
             memcpy (LI-PaRAD) |        1024 |         26.175 |         26.187 |         26.236 |         26.198 |          0.073 |         36.403 |          0.027 |     -39.08%
        memcpy (GNU libc 2.39) |        2048 |         28.548 |         29.073 |         30.014 |         29.074 |          0.408 |         65.603 |          0.263 |
             memcpy (LI-PaRAD) |        2048 |         50.822 |         50.851 |         50.883 |         50.853 |          0.039 |         37.507 |          0.015 |     -42.83%
        memcpy (GNU libc 2.39) |        4096 |         54.155 |         56.366 |         61.176 |         56.545 |          1.545 |         67.478 |          0.982 |
             memcpy (LI-PaRAD) |        4096 |        100.003 |        100.234 |        100.603 |        100.172 |          0.190 |         38.082 |          0.072 |     -43.55%
        memcpy (GNU libc 2.39) |        8192 |        104.615 |        110.483 |        111.419 |        109.925 |          1.333 |         69.418 |          0.951 |
             memcpy (LI-PaRAD) |        8192 |        198.465 |        198.749 |        199.114 |        198.789 |          0.060 |         38.379 |          0.023 |     -44.70%
        memcpy (GNU libc 2.39) |       16384 |        205.304 |        213.369 |        215.464 |        212.233 |          1.272 |         71.908 |          0.926 |
             memcpy (LI-PaRAD) |       16384 |        402.504 |        402.647 |        403.053 |        402.635 |          0.029 |         37.897 |          0.011 |     -47.29%
        memcpy (GNU libc 2.39) |       32768 |        422.732 |        428.593 |        438.063 |        429.707 |          1.118 |         71.028 |          0.792 |
             memcpy (LI-PaRAD) |       32768 |        795.884 |        795.886 |        802.275 |        797.201 |          0.226 |         38.281 |          0.086 |     -46.10%
        memcpy (GNU libc 2.39) |       65536 |        882.869 |        887.620 |        892.802 |        887.039 |          0.291 |         68.808 |          0.200 |
             memcpy (LI-PaRAD) |       65536 |       1586.209 |       1588.913 |       1593.204 |       1588.942 |          0.105 |         38.412 |          0.040 |     -44.17%
        memcpy (GNU libc 2.39) |      131072 |       2231.467 |       2238.999 |       2244.791 |       2239.298 |          0.114 |         54.513 |          0.062 |
             memcpy (LI-PaRAD) |      131072 |       3171.603 |       3175.362 |       3179.744 |       3175.034 |          0.069 |         38.447 |          0.027 |     -29.47%
        memcpy (GNU libc 2.39) |      262144 |       4427.870 |       4452.840 |       4517.070 |       4460.206 |          0.424 |         54.738 |          0.231 |
             memcpy (LI-PaRAD) |      262144 |       6319.110 |       6319.980 |       6382.940 |       6330.534 |          0.269 |         38.566 |          0.103 |     -29.54%
        memcpy (GNU libc 2.39) |      524288 |      11516.440 |      11950.430 |      12933.560 |      12065.671 |          2.795 |         40.499 |          1.116 |
             memcpy (LI-PaRAD) |      524288 |      14796.380 |      15251.970 |      15642.830 |      15258.203 |          1.073 |         32.005 |          0.343 |     -20.92%
        memcpy (GNU libc 2.39) |     1048576 |      22393.840 |      23259.870 |      24882.920 |      23251.761 |          1.768 |         42.012 |          0.734 |
             memcpy (LI-PaRAD) |     1048576 |      25655.810 |      26243.330 |      27661.160 |      26282.312 |          1.324 |         37.163 |          0.486 |     -11.53%
        memcpy (GNU libc 2.39) |     2097152 |      53346.000 |      54024.800 |      62430.800 |      54319.423 |          1.944 |         35.969 |          0.643 |
             memcpy (LI-PaRAD) |     2097152 |      57362.800 |      60040.400 |      62661.000 |      60085.950 |          1.478 |         32.513 |          0.482 |      -9.60%
        memcpy (GNU libc 2.39) |     4194304 |     116317.600 |     122931.300 |     127059.300 |     120977.328 |          3.009 |         32.318 |          0.974 |
             memcpy (LI-PaRAD) |     4194304 |     125726.100 |     128367.300 |     131419.000 |     128500.097 |          0.961 |         30.402 |          0.292 |      -5.85%
        memcpy (GNU libc 2.39) |     8388608 |     243775.900 |     257156.800 |     260710.400 |     254725.235 |          2.217 |         30.686 |          0.699 |
             memcpy (LI-PaRAD) |     8388608 |     259417.300 |     262652.900 |     265090.200 |     262460.034 |          0.449 |         29.767 |          0.134 |      -2.95%
        memcpy (GNU libc 2.39) |    16777216 |     495438.500 |     500578.000 |     574849.500 |     523343.480 |          6.056 |         29.961 |          1.754 |
             memcpy (LI-PaRAD) |    16777216 |     568490.500 |     586663.000 |     597915.000 |     583966.718 |          1.496 |         26.763 |          0.402 |     -10.38%
        memcpy (GNU libc 2.39) |    33554432 |    1001753.000 |    1215111.500 |    1240807.500 |    1171157.668 |          6.951 |         26.822 |          2.021 |
             memcpy (LI-PaRAD) |    33554432 |    1290529.500 |    1298214.500 |    1320542.000 |    1300657.317 |          0.625 |         24.027 |          0.149 |      -9.96%
        memcpy (GNU libc 2.39) |    67108864 |    2307301.500 |    2535222.000 |    2571288.000 |    2517902.084 |          1.974 |         24.832 |          0.512 |
             memcpy (LI-PaRAD) |    67108864 |    2671760.000 |    2680532.500 |    2696092.500 |    2680970.510 |          0.180 |         23.313 |          0.042 |      -6.08%
        memcpy (GNU libc 2.39) |   134217728 |    5245072.500 |    5298490.000 |    5796163.500 |    5320105.163 |          1.468 |         23.501 |          0.330 |
             memcpy (LI-PaRAD) |   134217728 |    5026389.500 |    5463280.000 |    5730122.500 |    5458498.153 |          1.867 |         22.908 |          0.452 |      -2.54%
        memcpy (GNU libc 2.39) |   268435456 |   10618510.000 |   10701205.500 |   10801935.500 |   10703172.584 |          0.285 |         23.358 |          0.067 |
             memcpy (LI-PaRAD) |   268435456 |   10167365.000 |   11000952.000 |   11092849.500 |   10915341.832 |          2.299 |         22.916 |          0.558 |      -1.94%
        memcpy (GNU libc 2.39) |   536870912 |   21301135.000 |   21379921.000 |   21582340.000 |   21382041.832 |          0.197 |         23.384 |          0.046 |
             memcpy (LI-PaRAD) |   536870912 |   20489526.000 |   22026098.500 |   22049023.000 |   21829078.663 |          2.301 |         22.918 |          0.555 |      -2.05%
