ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
memcpy (LI-PaRAD)|64|2.695|2.697|2.701|2.697|0.069|22.102|0.015
memcpy (GNU libc 2.39)|64|2.59|2.592|2.62|2.593|0.14|22.99|0.032
memcpy (Arm OR 23.01)|64|2.56|2.567|2.596|2.567|0.167|23.216|0.039
memcpy (LI-PaRAD)|128|3.849|3.855|3.863|3.855|0.064|30.922|0.02
memcpy (GNU libc 2.39)|128|3.379|3.396|3.418|3.397|0.291|35.096|0.102
memcpy (Arm OR 23.01)|128|3.441|3.446|3.655|3.448|0.607|34.577|0.198
memcpy (LI-PaRAD)|256|7.7|7.705|7.706|7.705|0.017|30.944|0.005
memcpy (GNU libc 2.39)|256|5.42|5.433|5.598|5.456|0.695|43.704|0.301
memcpy (Arm OR 23.01)|256|5.548|5.554|5.756|5.556|0.365|42.915|0.151
memcpy (LI-PaRAD)|512|13.846|13.871|13.909|13.869|0.129|34.38|0.044
memcpy (GNU libc 2.39)|512|8.935|9.042|9.41|9.063|0.819|52.618|0.424
memcpy (Arm OR 23.01)|512|9.031|9.123|9.214|9.113|0.534|52.326|0.28
memcpy (LI-PaRAD)|1024|26.175|26.187|26.236|26.198|0.073|36.403|0.027
memcpy (GNU libc 2.39)|1024|15.324|15.993|16.162|15.959|0.889|59.763|0.539
memcpy (Arm OR 23.01)|1024|15.713|15.911|16.061|15.909|0.395|59.946|0.237
memcpy (LI-PaRAD)|2048|50.822|50.851|50.883|50.853|0.039|37.507|0.015
memcpy (GNU libc 2.39)|2048|28.548|29.073|30.014|29.074|0.408|65.603|0.263
memcpy (Arm OR 23.01)|2048|28.806|28.936|30.252|29.018|0.971|65.735|0.619
memcpy (LI-PaRAD)|4096|100.003|100.234|100.603|100.172|0.19|38.082|0.072
memcpy (GNU libc 2.39)|4096|54.155|56.366|61.176|56.545|1.545|67.478|0.982
memcpy (Arm OR 23.01)|4096|53.65|56.272|56.98|56.109|1.116|67.996|0.775
memcpy (LI-PaRAD)|8192|198.465|198.749|199.114|198.789|0.06|38.379|0.023
