        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |          64 |         14.634 |         14.638 |         14.650 |         14.638 |          0.019 |          4.072 |          0.001 |
             strchr (LI-PaRAD) |          64 |          8.946 |          9.156 |          9.396 |          9.162 |          1.026 |          6.506 |          0.067 |     +59.78%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |         128 |         22.820 |         22.825 |         22.854 |         22.825 |          0.018 |          5.223 |          0.001 |
             strchr (LI-PaRAD) |         128 |         13.479 |         13.483 |         13.486 |         13.483 |          0.014 |          8.841 |          0.001 |     +69.29%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |         256 |         39.286 |         39.293 |         39.334 |         39.293 |          0.013 |          6.068 |          0.001 |
             strchr (LI-PaRAD) |         256 |         22.915 |         22.922 |         22.944 |         22.921 |          0.015 |         10.402 |          0.002 |     +71.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |         512 |         73.633 |         73.678 |         73.709 |         73.675 |          0.022 |          6.472 |          0.001 |
             strchr (LI-PaRAD) |         512 |         41.206 |         41.219 |         41.274 |         41.219 |          0.033 |         11.568 |          0.004 |     +78.74%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |        1024 |        141.361 |        141.469 |        141.693 |        141.467 |          0.035 |          6.741 |          0.002 |
             strchr (LI-PaRAD) |        1024 |         78.346 |         78.400 |         83.865 |         78.453 |          0.694 |         12.157 |          0.079 |     +80.32%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |        2048 |        277.024 |        277.081 |        277.118 |        277.077 |          0.007 |          6.884 |          0.000 |
             strchr (LI-PaRAD) |        2048 |        152.120 |        152.172 |        152.287 |        152.169 |          0.016 |         12.534 |          0.002 |     +82.09%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |        4096 |        547.914 |        548.288 |        551.198 |        548.307 |          0.065 |          6.957 |          0.005 |
             strchr (LI-PaRAD) |        4096 |        299.844 |        300.156 |        300.407 |        300.089 |          0.054 |         12.712 |          0.007 |     +82.72%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |        8192 |       1090.312 |       1090.656 |       1091.352 |       1090.668 |          0.020 |          6.995 |          0.001 |
             strchr (LI-PaRAD) |        8192 |        595.523 |        595.967 |        597.341 |        595.967 |          0.038 |         12.802 |          0.005 |     +83.01%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |       16384 |       2181.216 |       2181.794 |       2182.328 |       2181.764 |          0.011 |          6.994 |          0.001 |
             strchr (LI-PaRAD) |       16384 |       1196.634 |       1196.878 |       1197.178 |       1196.887 |          0.010 |         12.749 |          0.001 |     +82.29%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |       32768 |       4349.409 |       4351.553 |       4355.761 |       4351.544 |          0.038 |          7.013 |          0.003 |
             strchr (LI-PaRAD) |       32768 |       2376.569 |       2379.716 |       2384.559 |       2380.483 |          0.072 |         12.820 |          0.009 |     +82.80%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
