ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strchr (LI-PaRAD)|64|9.03|9.214|9.391|9.205|1.005|6.476|0.065
strchr (Arm OR 23.01)|64|14.635|14.639|14.74|14.641|0.073|4.071|0.003
strchr (GNU libc 2.39)|64|4.521|4.527|4.641|4.529|0.303|13.161|0.039
strchr (LI-PaRAD)|128|13.478|13.483|13.517|13.483|0.031|8.841|0.003
strchr (Arm OR 23.01)|128|22.82|22.825|22.837|22.825|0.012|5.223|0.001
strchr (GNU libc 2.39)|128|6.926|6.937|6.945|6.936|0.073|17.187|0.013
strchr (LI-PaRAD)|256|22.916|22.921|22.931|22.921|0.012|10.402|0.001
strchr (Arm OR 23.01)|256|39.286|39.294|39.304|39.294|0.008|6.068|0.001
strchr (GNU libc 2.39)|256|12.05|12.055|12.09|12.056|0.038|19.776|0.008
strchr (LI-PaRAD)|512|41.196|41.22|41.276|41.222|0.038|11.568|0.004
strchr (Arm OR 23.01)|512|73.634|73.676|73.962|73.676|0.047|6.472|0.003
strchr (GNU libc 2.39)|512|22.43|22.484|22.561|22.481|0.112|21.211|0.024
strchr (LI-PaRAD)|1024|78.335|78.398|84.531|78.456|0.778|12.156|0.088
strchr (Arm OR 23.01)|1024|141.359|141.481|141.582|141.477|0.031|6.741|0.002
strchr (GNU libc 2.39)|1024|43.664|43.725|43.812|43.724|0.066|21.811|0.014
strchr (LI-PaRAD)|2048|152.116|152.172|152.304|152.168|0.017|12.534|0.002
strchr (Arm OR 23.01)|2048|277.015|277.081|277.183|277.081|0.011|6.884|0.001
strchr (GNU libc 2.39)|2048|87.049|87.181|87.432|87.177|0.072|21.879|0.016
strchr (LI-PaRAD)|4096|299.852|300.144|300.481|300.106|0.068|12.711|0.009
strchr (Arm OR 23.01)|4096|547.929|548.344|548.683|548.297|0.034|6.957|0.002
strchr (GNU libc 2.39)|4096|173.506|174.958|176.198|174.881|0.433|21.814|0.094
strchr (LI-PaRAD)|8192|595.55|595.961|597.95|595.994|0.057|12.801|0.007
strchr (Arm OR 23.01)|8192|1090.342|1090.677|1093.677|1090.716|0.035|6.995|0.002
strchr (GNU libc 2.39)|8192|373.93|376.317|378.453|376.19|0.275|20.281|0.056
strchr (LI-PaRAD)|16384|1196.572|1196.927|1197.981|1196.954|0.015|12.748|0.002
strchr (Arm OR 23.01)|16384|2182.116|2182.683|2183.64|2182.692|0.011|6.991|0.001
strchr (GNU libc 2.39)|16384|738.049|742.447|748.416|742.66|0.279|20.546|0.057
strchr (LI-PaRAD)|32768|2378.815|2379.739|2386.674|2380.497|0.075|12.82|0.01
strchr (Arm OR 23.01)|32768|4350.548|4351.863|4359.59|4352.408|0.044|7.012|0.003
strchr (GNU libc 2.39)|32768|1471.403|1485.61|1500.22|1485.551|0.405|20.543|0.083
strchr (LI-PaRAD)|65536|4746.662|4749.996|4758.948|4749.9|0.049|12.85|0.006
strchr (Arm OR 23.01)|65536|8685.64|8687.877|8692.611|8688.282|0.019|7.025|0.001
strchr (GNU libc 2.39)|65536|3059.993|3077.756|3094.456|3076.677|0.223|19.838|0.044
strchr (LI-PaRAD)|131072|9480.279|9485.765|9491.937|9485.463|0.024|12.869|0.003
strchr (Arm OR 23.01)|131072|17353.378|17360.317|17384.124|17360.444|0.021|7.032|0.001
strchr (GNU libc 2.39)|131072|6308.056|6314.807|6321.835|6314.728|0.044|19.331|0.009
strchr (LI-PaRAD)|262144|18923.44|18959.73|19015.42|18960.58|0.111|12.876|0.014
strchr (Arm OR 23.01)|262144|34682.72|34714.89|34747.31|34716.008|0.052|7.033|0.004
strchr (GNU libc 2.39)|262144|12530.39|12580.46|12626.81|12578.265|0.174|19.41|0.034
strchr (LI-PaRAD)|524288|37859.04|37927.34|38009.94|37924.3|0.065|12.875|0.008
strchr (Arm OR 23.01)|524288|69404.19|69444.61|69573.86|69440.759|0.038|7.032|0.003
