        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |          64 |         14.163 |         14.201 |         14.344 |         14.208 |          0.244 |          4.195 |          0.010 |
             strcmp (LI-PaRAD) |          64 |          7.958 |          7.962 |          7.990 |          7.962 |          0.040 |          7.486 |          0.003 |     +78.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |         128 |         22.237 |         22.522 |         22.839 |         22.531 |          0.551 |          5.291 |          0.029 |
             strcmp (LI-PaRAD) |         128 |         13.094 |         13.098 |         13.115 |         13.098 |          0.022 |          9.101 |          0.002 |     +72.02%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |         256 |         38.966 |         39.212 |         39.476 |         39.214 |          0.241 |          6.080 |          0.015 |
             strcmp (LI-PaRAD) |         256 |         21.825 |         21.830 |         21.835 |         21.830 |          0.010 |         10.922 |          0.001 |     +79.64%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |         512 |         72.629 |         73.001 |         76.361 |         73.028 |          0.496 |          6.530 |          0.031 |
             strcmp (LI-PaRAD) |         512 |         40.309 |         40.325 |         40.360 |         40.322 |          0.029 |         11.826 |          0.003 |     +81.11%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |        1024 |        140.517 |        140.883 |        141.182 |        140.875 |          0.111 |          6.770 |          0.008 |
             strcmp (LI-PaRAD) |        1024 |         77.256 |         77.308 |         79.423 |         77.328 |          0.274 |         12.333 |          0.033 |     +82.18%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |        2048 |        276.218 |        276.381 |        276.742 |        276.382 |          0.027 |          6.901 |          0.002 |
             strcmp (LI-PaRAD) |        2048 |        151.217 |        151.265 |        151.303 |        151.263 |          0.012 |         12.609 |          0.002 |     +82.72%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
