        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strcmp (Arm OR 23.01) |          64 |         13.867 |         14.090 |         14.315 |         14.093 |          0.760 |          4.230 |          0.032 |
             strcmp (LI-PaRAD) |          64 |          7.959 |          7.962 |          7.968 |          7.962 |          0.013 |          7.486 |          0.001 |     +77.02%
         strcmp (Arm OR 23.01) |         128 |         22.561 |         22.618 |         22.726 |         22.620 |          0.130 |          5.270 |          0.007 |
             strcmp (LI-PaRAD) |         128 |         13.093 |         13.098 |         13.105 |         13.098 |          0.019 |          9.101 |          0.002 |     +72.70%
         strcmp (Arm OR 23.01) |         256 |         39.215 |         39.296 |         39.408 |         39.295 |          0.108 |          6.067 |          0.007 |
             strcmp (LI-PaRAD) |         256 |         21.825 |         21.830 |         21.837 |         21.830 |          0.010 |         10.922 |          0.001 |     +80.01%
         strcmp (Arm OR 23.01) |         512 |         72.621 |         72.678 |         72.863 |         72.692 |          0.069 |          6.560 |          0.005 |
             strcmp (LI-PaRAD) |         512 |         40.299 |         40.321 |         40.400 |         40.322 |          0.037 |         11.826 |          0.004 |     +80.28%
         strcmp (Arm OR 23.01) |        1024 |        140.968 |        141.021 |        142.567 |        141.033 |          0.110 |          6.762 |          0.007 |
             strcmp (LI-PaRAD) |        1024 |         77.253 |         77.312 |         80.168 |         77.336 |          0.369 |         12.332 |          0.044 |     +82.36%
         strcmp (Arm OR 23.01) |        2048 |        276.023 |        276.075 |        276.334 |        276.083 |          0.014 |          6.909 |          0.001 |
             strcmp (LI-PaRAD) |        2048 |        151.220 |        151.274 |        151.361 |        151.273 |          0.016 |         12.609 |          0.002 |     +82.51%
         strcmp (Arm OR 23.01) |        4096 |        546.905 |        547.332 |        547.843 |        547.293 |          0.037 |          6.970 |          0.003 |
             strcmp (LI-PaRAD) |        4096 |        298.935 |        299.247 |        299.645 |        299.205 |          0.069 |         12.749 |          0.009 |     +82.92%
         strcmp (Arm OR 23.01) |        8192 |       1089.308 |       1089.758 |       1090.699 |       1089.720 |          0.023 |          7.001 |          0.002 |
