        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          64 |         10.399 |         10.457 |         10.637 |         10.459 |          0.452 |          5.699 |          0.026 |
             strcpy (LI-PaRAD) |          64 |          3.464 |          3.585 |          3.852 |          3.580 |          3.137 |         16.664 |          0.513 |    +192.13%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |         128 |         14.635 |         14.639 |         14.648 |         14.639 |          0.015 |          8.143 |          0.001 |
             strcpy (LI-PaRAD) |         128 |          4.622 |          4.626 |          4.725 |          4.628 |          0.305 |         25.756 |          0.077 |    +216.30%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |         256 |         25.420 |         25.426 |         25.456 |         25.426 |          0.015 |          9.377 |          0.001 |
             strcpy (LI-PaRAD) |         256 |          8.195 |          8.960 |          9.035 |          8.885 |          1.950 |         26.845 |          0.549 |    +186.18%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |         512 |         44.669 |         44.684 |         44.731 |         44.687 |          0.038 |         10.671 |          0.004 |
             strcpy (LI-PaRAD) |         512 |         13.846 |         14.084 |         16.678 |         14.097 |          2.941 |         33.851 |          0.872 |    +217.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |        1024 |         85.885 |         85.901 |         90.855 |         85.955 |          0.573 |         11.095 |          0.060 |
             strcpy (LI-PaRAD) |        1024 |         29.208 |         31.020 |         31.645 |         30.953 |          1.179 |         30.815 |          0.375 |    +177.70%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |        2048 |        166.774 |        166.799 |        166.855 |        166.804 |          0.011 |         11.435 |          0.001 |
             strcpy (LI-PaRAD) |        2048 |         50.823 |         52.875 |         62.816 |         53.954 |          6.116 |         35.474 |          2.035 |    +209.16%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |        4096 |        329.084 |        329.395 |        330.513 |        329.383 |          0.068 |         11.581 |          0.008 |
             strcpy (LI-PaRAD) |        4096 |        100.665 |        103.930 |        124.231 |        107.775 |          7.156 |         35.561 |          2.345 |    +205.62%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |        8192 |        654.607 |        654.922 |        655.724 |        654.922 |          0.031 |         11.649 |          0.004 |
             strcpy (LI-PaRAD) |        8192 |        206.223 |        216.690 |        223.143 |        216.533 |          1.222 |         35.240 |          0.435 |    +202.46%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |       16384 |       1313.134 |       1313.667 |       1316.069 |       1313.701 |          0.027 |         11.615 |          0.003 |
             strcpy (LI-PaRAD) |       16384 |        420.087 |        426.663 |        440.148 |        427.335 |          1.183 |         35.712 |          0.419 |    +207.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |       32768 |       2612.587 |       2614.092 |       2618.921 |       2614.793 |          0.071 |         11.671 |          0.008 |
             strcpy (LI-PaRAD) |       32768 |        800.031 |        826.087 |        855.169 |        826.431 |          2.175 |         36.944 |          0.805 |    +216.40%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |       65536 |       5213.985 |       5217.783 |       5234.126 |       5218.275 |          0.052 |         11.696 |          0.006 |
             strcpy (LI-PaRAD) |       65536 |       1616.566 |       1623.768 |       1630.091 |       1623.643 |          0.176 |         37.592 |          0.066 |    +221.39%
