        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strcpy (Arm OR 23.01) |          64 |         10.016 |         10.541 |         11.166 |         10.574 |          2.256 |          5.640 |          0.127 |
             strcpy (LI-PaRAD) |          64 |          3.465 |          3.716 |          3.999 |          3.717 |          1.788 |         16.041 |          0.281 |    +184.48%
         strcpy (Arm OR 23.01) |         128 |         14.635 |         14.639 |         14.646 |         14.639 |          0.015 |          8.143 |          0.001 |
             strcpy (LI-PaRAD) |         128 |          5.032 |          5.244 |          5.645 |          5.242 |          1.412 |         22.748 |          0.316 |    +179.29%
         strcpy (Arm OR 23.01) |         256 |         25.424 |         25.429 |         25.436 |         25.429 |          0.009 |          9.376 |          0.001 |
             strcpy (LI-PaRAD) |         256 |          8.784 |          8.860 |          9.088 |          8.875 |          0.824 |         26.865 |          0.220 |    +186.52%
         strcpy (Arm OR 23.01) |         512 |         44.659 |         44.689 |         44.737 |         44.690 |          0.039 |         10.670 |          0.004 |
             strcpy (LI-PaRAD) |         512 |         13.884 |         14.000 |         16.824 |         14.158 |          4.187 |         33.732 |          1.234 |    +215.66%
         strcpy (Arm OR 23.01) |        1024 |         85.889 |         85.907 |         85.977 |         85.913 |          0.022 |         11.100 |          0.002 |
             strcpy (LI-PaRAD) |        1024 |         27.480 |         27.641 |         38.612 |         28.275 |          6.493 |         33.841 |          1.771 |    +203.85%
         strcpy (Arm OR 23.01) |        2048 |        167.165 |        167.197 |        167.272 |        167.202 |          0.013 |         11.407 |          0.001 |
             strcpy (LI-PaRAD) |        2048 |         51.859 |         53.672 |         59.570 |         54.032 |          2.422 |         35.320 |          0.829 |    +209.45%
         strcpy (Arm OR 23.01) |        4096 |        337.542 |        337.876 |        338.288 |        337.893 |          0.058 |         11.290 |          0.006 |
             strcpy (LI-PaRAD) |        4096 |        100.004 |        112.347 |        114.160 |        110.843 |          3.301 |         34.455 |          1.224 |    +204.84%
         strcpy (Arm OR 23.01) |        8192 |        654.621 |        654.960 |        656.545 |        655.002 |          0.041 |         11.648 |          0.005 |
             strcpy (LI-PaRAD) |        8192 |        198.465 |        203.399 |        207.206 |        202.963 |          0.771 |         37.592 |          0.291 |    +222.72%
         strcpy (Arm OR 23.01) |       16384 |       1315.659 |       1316.091 |       1316.536 |       1316.080 |          0.017 |         11.594 |          0.002 |
             strcpy (LI-PaRAD) |       16384 |        425.868 |        427.638 |        431.871 |        428.045 |          0.331 |         35.648 |          0.117 |    +207.46%
         strcpy (Arm OR 23.01) |       32768 |       2614.653 |       2616.879 |       2629.555 |       2617.365 |          0.085 |         11.660 |          0.010 |
             strcpy (LI-PaRAD) |       32768 |        827.555 |        847.145 |        853.294 |        845.664 |          0.659 |         36.089 |          0.240 |    +209.50%
         strcpy (Arm OR 23.01) |       65536 |       5217.788 |       5222.080 |       5250.828 |       5222.146 |          0.069 |         11.688 |          0.008 |
             strcpy (LI-PaRAD) |       65536 |       1612.149 |       1618.575 |       1623.411 |       1618.310 |          0.138 |         37.715 |          0.052 |    +222.69%
         strcpy (Arm OR 23.01) |      131072 |      10356.035 |      10362.057 |      10371.165 |      10362.230 |          0.028 |         11.780 |          0.003 |
             strcpy (LI-PaRAD) |      131072 |       3201.804 |       3207.872 |       3218.307 |       3207.710 |          0.097 |         38.055 |          0.037 |    +223.04%
         strcpy (Arm OR 23.01) |      262144 |      20661.430 |      20711.590 |      20788.020 |      20716.691 |          0.099 |         11.785 |          0.012 |
             strcpy (LI-PaRAD) |      262144 |       6344.300 |       6352.390 |       6419.270 |       6364.898 |          0.353 |         38.358 |          0.135 |    +225.48%
         strcpy (Arm OR 23.01) |      524288 |      41618.360 |      41766.070 |      42018.020 |      41774.799 |          0.182 |         11.688 |          0.021 |
             strcpy (LI-PaRAD) |      524288 |      14468.990 |      14873.190 |      15365.330 |      14891.260 |          1.254 |         32.795 |          0.410 |    +180.53%
         strcpy (Arm OR 23.01) |     1048576 |      82951.910 |      84849.810 |      86079.650 |      84470.067 |          1.009 |         11.562 |          0.117 |
             strcpy (LI-PaRAD) |     1048576 |      28674.130 |      29431.630 |      30154.470 |      29459.181 |          1.120 |         33.154 |          0.371 |    +186.74%
         strcpy (Arm OR 23.01) |     2097152 |     166012.000 |     167099.500 |     168502.500 |     167050.174 |          0.318 |         11.692 |          0.037 |
             strcpy (LI-PaRAD) |     2097152 |      56219.000 |      58876.400 |      60748.800 |      58805.120 |          1.231 |         33.219 |          0.410 |    +184.07%
         strcpy (Arm OR 23.01) |     4194304 |     331047.600 |     334213.800 |     340021.800 |     334406.450 |          0.622 |         11.682 |          0.072 |
             strcpy (LI-PaRAD) |     4194304 |     120682.200 |     122940.800 |     124665.200 |     122848.932 |          0.684 |         31.799 |          0.218 |    +172.21%
         strcpy (Arm OR 23.01) |     8388608 |     661616.700 |     667607.900 |     679182.200 |     668276.651 |          0.528 |         11.691 |          0.061 |
             strcpy (LI-PaRAD) |     8388608 |     248060.300 |     249704.600 |     253025.100 |     249840.984 |          0.469 |         31.271 |          0.146 |    +167.48%
         strcpy (Arm OR 23.01) |    16777216 |    1319466.500 |    1345040.500 |    1385763.000 |    1345937.173 |          1.158 |         11.611 |          0.134 |
             strcpy (LI-PaRAD) |    16777216 |     513314.000 |     520759.000 |     529548.500 |     520657.792 |          0.895 |         30.012 |          0.268 |    +158.51%
