ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strcpy (LI-PaRAD)|64|3.464|3.52|3.851|3.554|2.755|16.783|0.452
strcpy (Arm OR 23.01)|64|10.399|10.45|10.615|10.45|0.459|5.704|0.026
strcpy (GNU libc 2.39)|64|4.501|4.504|4.685|4.506|0.405|13.227|0.052
strcpy (LI-PaRAD)|128|4.621|4.671|5.061|4.689|1.854|25.434|0.446
strcpy (Arm OR 23.01)|128|14.636|14.64|14.652|14.64|0.017|8.143|0.001
strcpy (GNU libc 2.39)|128|7.175|7.182|7.194|7.182|0.045|16.598|0.007
strcpy (LI-PaRAD)|256|7.987|8.038|8.088|8.036|0.321|29.669|0.095
strcpy (Arm OR 23.01)|256|25.42|25.425|25.436|25.425|0.011|9.377|0.001
strcpy (GNU libc 2.39)|256|12.461|12.466|12.472|12.466|0.018|19.125|0.003
strcpy (LI-PaRAD)|512|13.847|14.061|16.678|14.08|2.791|33.888|0.835
strcpy (Arm OR 23.01)|512|44.665|44.682|44.78|44.688|0.046|10.67|0.005
strcpy (GNU libc 2.39)|512|22.913|22.947|23.027|22.953|0.089|20.774|0.018
strcpy (LI-PaRAD)|1024|29.321|31.057|31.772|31.048|0.936|30.719|0.292
strcpy (Arm OR 23.01)|1024|85.886|85.904|85.968|85.909|0.024|11.101|0.003
strcpy (GNU libc 2.39)|1024|43.93|44.09|44.438|44.114|0.188|21.618|0.041
strcpy (LI-PaRAD)|2048|52.786|56.435|60.983|56.499|3.041|33.79|1.024
strcpy (Arm OR 23.01)|2048|166.762|166.805|167.099|166.811|0.023|11.434|0.003
strcpy (GNU libc 2.39)|2048|86.805|87.642|89.19|87.771|0.497|21.731|0.108
strcpy (LI-PaRAD)|4096|105.583|109.311|128.797|109.387|3.055|34.903|0.979
strcpy (Arm OR 23.01)|4096|329.084|329.395|331.132|329.403|0.083|11.581|0.01
strcpy (GNU libc 2.39)|4096|171.364|174.539|177.828|174.667|0.768|21.841|0.167
strcpy (LI-PaRAD)|8192|202.045|205.163|212.118|205.217|1.054|37.181|0.39
strcpy (Arm OR 23.01)|8192|654.602|654.906|655.646|654.911|0.031|11.65|0.004
strcpy (GNU libc 2.39)|8192|343.885|363.786|390.37|363.912|2.194|20.975|0.458
strcpy (LI-PaRAD)|16384|422.743|425.474|439.461|425.601|0.522|35.853|0.183
strcpy (Arm OR 23.01)|16384|1312.58|1313.272|1314.406|1313.261|0.027|11.619|0.003
strcpy (GNU libc 2.39)|16384|750.275|766.539|775.08|766.186|0.667|19.916|0.133
strcpy (LI-PaRAD)|32768|800.034|838.268|855.764|828.256|2.231|36.864|0.833
strcpy (Arm OR 23.01)|32768|2612.225|2614.562|2620.763|2614.787|0.074|11.671|0.009
strcpy (GNU libc 2.39)|32768|1537.882|1550.558|1566.348|1550.62|0.397|19.681|0.078
strcpy (LI-PaRAD)|65536|1609.043|1628.481|1646.647|1628.081|0.294|37.489|0.111
strcpy (Arm OR 23.01)|65536|5215.735|5219.755|5224.418|5219.416|0.041|11.694|0.005
strcpy (GNU libc 2.39)|65536|3126.98|3135.709|3149.577|3135.725|0.104|19.464|0.02
strcpy (LI-PaRAD)|131072|3185.383|3199.136|3233.888|3199.944|0.188|38.148|0.071
strcpy (Arm OR 23.01)|131072|10356.044|10403.628|10435.076|10402.562|0.225|11.735|0.026
strcpy (GNU libc 2.39)|131072|6289.85|6293.966|6298.526|6293.998|0.028|19.395|0.005
strcpy (LI-PaRAD)|262144|6339.36|6383.36|6462.62|6384.186|0.43|38.242|0.164
strcpy (Arm OR 23.01)|262144|20624.95|20788.07|20885.22|20770.206|0.339|11.755|0.04
strcpy (GNU libc 2.39)|262144|12581.03|12613.05|12698.66|12609.759|0.151|19.361|0.029
strcpy (LI-PaRAD)|524288|17089.06|17519.46|17976.65|17506.174|1.063|27.895|0.297
strcpy (Arm OR 23.01)|524288|41398.23|41744.32|42022.63|41758.513|0.34|11.693|0.04
strcpy (GNU libc 2.39)|524288|25379.26|25629.31|26138.05|25645.73|0.517|19.04|0.098
strcpy (LI-PaRAD)|1048576|26077.41|26686.27|28000.27|26815.68|1.766|36.429|0.636
strcpy (Arm OR 23.01)|1048576|82561.46|83173.0|83480.98|83135.022|0.241|11.747|0.028
strcpy (GNU libc 2.39)|1048576|50553.28|50713.22|51006.91|50709.466|0.172|19.258|0.033
strcpy (LI-PaRAD)|2097152|55402.2|56489.2|58292.2|56659.487|1.082|34.475|0.37
strcpy (Arm OR 23.01)|2097152|163581.7|166275.7|167977.8|165979.069|0.632|11.768|0.075
strcpy (GNU libc 2.39)|2097152|100861.5|101334.0|102355.4|101264.448|0.324|19.288|0.062
strcpy (LI-PaRAD)|4194304|118178.2|120011.6|124727.2|119938.494|0.896|32.571|0.289
strcpy (Arm OR 23.01)|4194304|330136.5|333771.9|338174.3|333748.531|0.535|11.705|0.063
strcpy (GNU libc 2.39)|4194304|202907.8|204965.9|206650.1|204768.921|0.408|19.077|0.078
strcpy (LI-PaRAD)|8388608|243514.2|246057.3|249411.7|246194.011|0.452|31.734|0.143
strcpy (Arm OR 23.01)|8388608|660907.0|669049.0|678576.0|668881.96|0.518|11.68|0.06
strcpy (GNU libc 2.39)|8388608|405503.4|406726.8|408178.5|406635.565|0.121|19.213|0.023
strcpy (LI-PaRAD)|16777216|494199.0|498958.0|509337.0|499891.01|1.073|31.26|0.334
strcpy (Arm OR 23.01)|16777216|1321159.5|1352754.0|1410584.0|1354619.109|1.29|11.536|0.147
strcpy (GNU libc 2.39)|16777216|809220.0|814883.5|819332.5|814247.579|0.277|19.19|0.053
strcpy (LI-PaRAD)|33554432|1057965.5|1077806.5|1105419.0|1078026.0|0.918|28.991|0.265
strcpy (Arm OR 23.01)|33554432|2691926.5|2768410.5|2819051.5|2763592.084|0.973|11.309|0.11
strcpy (GNU libc 2.39)|33554432|1629103.0|1641954.5|1657995.0|1641531.55|0.371|19.037|0.071
strcpy (LI-PaRAD)|67108864|2434462.0|2454639.5|2485914.5|2454557.114|0.453|25.463|0.115
strcpy (Arm OR 23.01)|67108864|5396599.5|5510240.0|5646779.0|5512443.807|0.912|11.339|0.103
strcpy (GNU libc 2.39)|67108864|3288426.0|3303253.0|3340394.5|3309589.005|0.465|18.885|0.088
strcpy (LI-PaRAD)|134217728|5070620.0|5100278.5|5127022.0|5098452.376|0.246|24.517|0.06
strcpy (Arm OR 23.01)|134217728|10899801.0|11089296.0|11257529.5|11097063.228|0.811|11.265|0.091
strcpy (GNU libc 2.39)|134217728|6645831.5|6655512.0|6692794.5|6657822.277|0.133|18.775|0.025
strcpy (LI-PaRAD)|268435456|10328775.0|10356317.0|10380410.5|10354389.351|0.114|24.144|0.028
strcpy (Arm OR 23.01)|268435456|22271421.0|22479033.5|22550801.0|22478918.653|0.19|11.122|0.021
strcpy (GNU libc 2.39)|268435456|13365288.5|13381353.0|13414316.0|13382046.446|0.065|18.682|0.012
strcpy (LI-PaRAD)|536870912|20867067.0|20908845.5|20946717.5|20907757.886|0.088|23.915|0.021
strcpy (Arm OR 23.01)|536870912|44046799.5|44492739.5|45219208.5|44620970.995|0.879|11.206|0.098
strcpy (GNU libc 2.39)|536870912|26772688.5|26789301.0|26833151.0|26790620.545|0.036|18.663|0.007
