        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |          64 |         10.946 |         11.114 |         11.186 |         11.114 |          0.497 |          5.363 |          0.027 |
             strlen (LI-PaRAD) |          64 |          3.464 |          3.809 |          3.813 |          3.749 |          2.489 |         15.909 |          0.409 |    +196.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |         128 |         15.407 |         15.431 |         15.483 |         15.432 |          0.091 |          7.725 |          0.007 |
             strlen (LI-PaRAD) |         128 |          5.254 |          5.538 |          5.652 |          5.530 |          1.210 |         21.561 |          0.265 |    +179.08%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |         256 |         24.553 |         24.558 |         24.568 |         24.558 |          0.011 |          9.708 |          0.001 |
             strlen (LI-PaRAD) |         256 |          8.178 |          8.209 |          8.696 |          8.296 |          1.623 |         28.746 |          0.458 |    +196.02%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |         512 |         43.432 |         43.516 |         43.568 |         43.511 |          0.058 |         10.959 |          0.006 |
             strlen (LI-PaRAD) |         512 |         13.846 |         13.870 |         13.910 |         13.869 |          0.132 |         34.381 |          0.045 |    +213.72%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |        1024 |         85.154 |         85.180 |         85.469 |         85.186 |          0.040 |         11.195 |          0.004 |
             strlen (LI-PaRAD) |        1024 |         30.024 |         30.053 |         36.603 |         30.154 |          2.568 |         31.644 |          0.685 |    +182.50%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |        2048 |        160.559 |        160.621 |        160.697 |        160.619 |          0.015 |         11.875 |          0.002 |
             strlen (LI-PaRAD) |        2048 |         51.974 |         52.005 |         59.339 |         52.144 |          1.858 |         36.589 |          0.603 |    +208.03%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |        4096 |        316.349 |        316.673 |        316.995 |        316.641 |          0.059 |         12.047 |          0.007 |
             strlen (LI-PaRAD) |        4096 |        101.156 |        101.394 |        101.735 |        101.317 |          0.173 |         37.651 |          0.065 |    +212.52%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |        8192 |        628.616 |        629.076 |        629.417 |        629.063 |          0.028 |         12.128 |          0.003 |
             strlen (LI-PaRAD) |        8192 |        199.836 |        199.914 |        200.216 |        199.945 |          0.056 |         38.158 |          0.021 |    +214.62%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |       16384 |       1259.717 |       1260.234 |       1261.389 |       1260.264 |          0.025 |         12.108 |          0.003 |
             strlen (LI-PaRAD) |       16384 |        404.390 |        404.534 |        407.162 |        404.574 |          0.076 |         37.716 |          0.029 |    +211.50%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |       32768 |       2508.608 |       2509.733 |       2515.462 |       2510.522 |          0.065 |         12.156 |          0.008 |
             strlen (LI-PaRAD) |       32768 |        797.804 |        797.808 |        806.287 |        799.117 |          0.219 |         38.189 |          0.084 |    +214.16%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |       65536 |       5091.999 |       5126.608 |       5188.419 |       5130.784 |          0.412 |         11.896 |          0.049 |
             strlen (LI-PaRAD) |       65536 |       1590.215 |       1592.823 |       1598.805 |       1592.906 |          0.107 |         38.317 |          0.041 |    +222.10%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |      131072 |      10422.060 |      10426.337 |      10470.476 |      10426.797 |          0.053 |         11.707 |          0.006 |
             strlen (LI-PaRAD) |      131072 |       3170.721 |       3174.520 |       3178.666 |       3174.220 |          0.065 |         38.457 |          0.025 |    +228.48%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |      262144 |      20623.830 |      20716.290 |      20824.110 |      20719.945 |          0.168 |         11.783 |          0.020 |
             strlen (LI-PaRAD) |      262144 |       6319.660 |       6320.140 |       6382.410 |       6331.612 |          0.283 |         38.559 |          0.109 |    +227.25%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |      524288 |      41204.830 |      41398.530 |      41688.120 |      41409.215 |          0.282 |         11.792 |          0.033 |
             strlen (LI-PaRAD) |      524288 |      12623.160 |      12655.900 |      12700.660 |      12650.156 |          0.172 |         38.599 |          0.066 |    +227.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |     1048576 |      82545.970 |      82983.350 |      83268.250 |      82974.131 |          0.159 |         11.770 |          0.019 |
             strlen (LI-PaRAD) |     1048576 |      25934.390 |      26083.920 |      26195.940 |      26081.801 |          0.202 |         37.442 |          0.076 |    +218.13%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |     2097152 |     164863.200 |     165813.100 |     167003.600 |     165812.862 |          0.225 |         11.779 |          0.027 |
             strlen (LI-PaRAD) |     2097152 |      50462.400 |      50470.400 |      52090.000 |      50623.159 |          0.618 |         38.583 |          0.235 |    +227.54%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |     4194304 |     328988.100 |     331018.000 |     333812.900 |     331081.522 |          0.295 |         11.799 |          0.035 |
             strlen (LI-PaRAD) |     4194304 |     100894.700 |     101325.000 |     103273.200 |     101436.274 |          0.641 |         38.511 |          0.245 |    +226.39%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |     8388608 |     659177.200 |     663690.700 |     680818.700 |     663794.432 |          0.434 |         11.770 |          0.051 |
             strlen (LI-PaRAD) |     8388608 |     201802.400 |     203364.300 |     208620.300 |     203847.659 |          0.763 |         38.327 |          0.290 |    +225.63%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |    16777216 |    1314608.000 |    1338185.000 |    1363288.000 |    1338994.317 |          0.719 |         11.670 |          0.084 |
             strlen (LI-PaRAD) |    16777216 |     404218.000 |     404454.500 |     445227.000 |     409872.767 |          2.048 |         38.137 |          0.753 |    +226.69%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |    33554432 |    2657357.500 |    2687935.500 |    2727319.000 |    2691654.525 |          0.675 |         11.610 |          0.078 |
             strlen (LI-PaRAD) |    33554432 |     913788.500 |     938028.000 |     977287.500 |     940377.703 |          1.789 |         33.242 |          0.590 |    +186.23%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |    67108864 |    5346292.500 |    5400828.000 |    5465941.000 |    5401493.183 |          0.496 |         11.571 |          0.057 |
             strlen (LI-PaRAD) |    67108864 |    2210960.000 |    2239579.000 |    2287237.500 |    2241048.045 |          0.865 |         27.891 |          0.241 |    +141.03%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |   134217728 |   10758014.000 |   10845717.000 |   10987036.500 |   10844544.856 |          0.412 |         11.527 |          0.047 |
             strlen (LI-PaRAD) |   134217728 |    4569710.000 |    4623575.000 |    4687952.500 |    4621287.223 |          0.583 |         27.050 |          0.158 |    +134.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |   268435456 |   21556037.000 |   21720467.000 |   21892726.000 |   21723934.624 |          0.273 |         11.508 |          0.031 |
             strlen (LI-PaRAD) |   268435456 |    9262151.500 |    9342292.500 |    9408591.000 |    9342651.218 |          0.351 |         26.759 |          0.094 |    +132.52%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |   536870912 |   43228634.500 |   43481693.500 |   43689907.000 |   43487000.861 |          0.218 |         11.498 |          0.025 |
             strlen (LI-PaRAD) |   536870912 |   18653509.000 |   18766664.000 |   18894326.500 |   18769847.252 |          0.248 |         26.639 |          0.066 |    +131.69%
