        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strlen (Arm OR 23.01) |          64 |         10.259 |         10.650 |         10.915 |         10.640 |          1.415 |          5.603 |          0.080 |
             strlen (LI-PaRAD) |          64 |          3.464 |          3.610 |          3.799 |          3.602 |          2.889 |         16.563 |          0.475 |    +195.41%
         strlen (Arm OR 23.01) |         128 |         15.432 |         15.504 |         15.607 |         15.511 |          0.230 |          7.686 |          0.018 |
             strlen (LI-PaRAD) |         128 |          5.142 |          5.407 |          5.651 |          5.398 |          2.189 |         22.093 |          0.484 |    +187.32%
         strlen (Arm OR 23.01) |         256 |         24.558 |         24.623 |         24.680 |         24.621 |          0.089 |          9.684 |          0.009 |
             strlen (LI-PaRAD) |         256 |          8.089 |          8.093 |          8.783 |          8.220 |          2.099 |         29.016 |          0.596 |    +199.51%
         strlen (Arm OR 23.01) |         512 |         43.513 |         43.926 |         44.315 |         43.920 |          0.569 |         10.857 |          0.062 |
             strlen (LI-PaRAD) |         512 |         13.847 |         13.887 |         13.965 |         13.886 |          0.174 |         34.339 |          0.060 |    +216.28%
         strlen (Arm OR 23.01) |        1024 |         85.118 |         85.134 |         85.192 |         85.139 |          0.020 |         11.201 |          0.002 |
             strlen (LI-PaRAD) |        1024 |         30.024 |         30.053 |         30.096 |         30.050 |          0.063 |         31.737 |          0.020 |    +183.33%
         strlen (Arm OR 23.01) |        2048 |        160.620 |        160.654 |        160.942 |        160.658 |          0.021 |         11.872 |          0.002 |
             strlen (LI-PaRAD) |        2048 |         51.976 |         52.014 |         52.047 |         52.012 |          0.041 |         36.671 |          0.015 |    +208.89%
         strlen (Arm OR 23.01) |        4096 |        316.339 |        316.719 |        317.132 |        316.696 |          0.066 |         12.045 |          0.008 |
             strlen (LI-PaRAD) |        4096 |        101.157 |        101.383 |        101.893 |        101.335 |          0.189 |         37.645 |          0.071 |    +212.52%
         strlen (Arm OR 23.01) |        8192 |        628.848 |        629.131 |        629.657 |        629.130 |          0.028 |         12.127 |          0.003 |
             strlen (LI-PaRAD) |        8192 |        199.854 |        199.931 |        200.192 |        199.955 |          0.053 |         38.156 |          0.020 |    +214.64%
         strlen (Arm OR 23.01) |       16384 |       1262.830 |       1263.316 |       1263.874 |       1263.305 |          0.020 |         12.078 |          0.002 |
             strlen (LI-PaRAD) |       16384 |        404.422 |        404.577 |        405.139 |        404.583 |          0.030 |         37.715 |          0.011 |    +212.25%
         strlen (Arm OR 23.01) |       32768 |       2509.880 |       2511.275 |       2516.748 |       2511.896 |          0.073 |         12.149 |          0.009 |
             strlen (LI-PaRAD) |       32768 |        797.807 |        797.816 |        803.717 |        799.184 |          0.233 |         38.186 |          0.089 |    +214.31%
         strlen (Arm OR 23.01) |       65536 |       5020.784 |       5035.632 |       5070.159 |       5036.458 |          0.162 |         12.119 |          0.020 |
             strlen (LI-PaRAD) |       65536 |       1595.761 |       1598.560 |       1602.307 |       1598.696 |          0.113 |         38.178 |          0.043 |    +215.04%
         strlen (Arm OR 23.01) |      131072 |      10428.751 |      10431.828 |      10439.667 |      10432.246 |          0.020 |         11.701 |          0.002 |
             strlen (LI-PaRAD) |      131072 |       3173.143 |       3176.903 |       3180.481 |       3176.627 |          0.066 |         38.428 |          0.025 |    +228.41%
         strlen (Arm OR 23.01) |      262144 |      20607.830 |      20690.640 |      20754.600 |      20690.254 |          0.100 |         11.800 |          0.012 |
             strlen (LI-PaRAD) |      262144 |       6324.640 |       6325.340 |       6395.560 |       6337.001 |          0.298 |         38.527 |          0.114 |    +226.50%
         strlen (Arm OR 23.01) |      524288 |      41346.200 |      41384.690 |      41464.060 |      41388.080 |          0.059 |         11.798 |          0.007 |
             strlen (LI-PaRAD) |      524288 |      12628.310 |      12661.160 |      12710.770 |      12656.010 |          0.181 |         38.581 |          0.070 |    +227.02%
         strlen (Arm OR 23.01) |     1048576 |      82595.250 |      82840.170 |      83761.740 |      83034.136 |          0.411 |         11.761 |          0.048 |
             strlen (LI-PaRAD) |     1048576 |      25410.160 |      25525.370 |      25741.190 |      25539.680 |          0.309 |         38.237 |          0.118 |    +225.12%
         strlen (Arm OR 23.01) |     2097152 |     165339.200 |     166149.600 |     167619.600 |     166262.602 |          0.317 |         11.747 |          0.037 |
             strlen (LI-PaRAD) |     2097152 |      50483.500 |      50577.300 |      52041.700 |      50753.222 |          0.732 |         38.485 |          0.278 |    +227.59%
         strlen (Arm OR 23.01) |     4194304 |     330296.300 |     331853.600 |     335522.100 |     331887.646 |          0.262 |         11.770 |          0.031 |
             strlen (LI-PaRAD) |     4194304 |     100930.400 |     101312.800 |     103454.000 |     101428.278 |          0.609 |         38.514 |          0.233 |    +227.21%
         strlen (Arm OR 23.01) |     8388608 |     661345.300 |     664846.000 |     682709.600 |     665358.281 |          0.488 |         11.742 |          0.056 |
             strlen (LI-PaRAD) |     8388608 |     201786.700 |     203284.300 |     208226.100 |     203628.926 |          0.636 |         38.368 |          0.242 |    +226.75%
         strlen (Arm OR 23.01) |    16777216 |    1318772.500 |    1338007.500 |    1368586.500 |    1338960.936 |          0.726 |         11.670 |          0.084 |
             strlen (LI-PaRAD) |    16777216 |     404874.000 |     405631.000 |     443411.500 |     411021.911 |          2.241 |         38.033 |          0.819 |    +225.76%
         strlen (Arm OR 23.01) |    33554432 |    2659870.000 |    2693265.500 |    2729644.500 |    2692740.604 |          0.622 |         11.606 |          0.072 |
             strlen (LI-PaRAD) |    33554432 |     920777.500 |     945474.000 |     981173.500 |     948664.356 |          1.739 |         32.951 |          0.570 |    +183.85%
