        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |          64 |          3.982 |          4.126 |          4.145 |          4.117 |          0.605 |         14.477 |          0.089 |
             strlen (LI-PaRAD) |          64 |          3.464 |          3.809 |          3.813 |          3.764 |          2.141 |         15.843 |          0.352 |      +9.39%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |         128 |          5.134 |          5.162 |          5.170 |          5.160 |          0.146 |         23.104 |          0.034 |
             strlen (LI-PaRAD) |         128 |          5.385 |          5.587 |          5.653 |          5.579 |          1.280 |         21.373 |          0.278 |      -7.51%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |         256 |          7.956 |          7.972 |          7.978 |          7.971 |          0.058 |         29.911 |          0.017 |
             strlen (LI-PaRAD) |         256 |          8.181 |          8.204 |          8.969 |          8.289 |          1.880 |         28.773 |          0.521 |      -3.84%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |         512 |         13.080 |         14.129 |         14.246 |         13.883 |          2.747 |         34.374 |          0.974 |
             strlen (LI-PaRAD) |         512 |         13.846 |         13.871 |         13.986 |         13.870 |          0.149 |         34.380 |          0.051 |      +0.09%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |        1024 |         24.594 |         24.700 |         24.812 |         24.694 |          0.202 |         38.620 |          0.078 |
             strlen (LI-PaRAD) |        1024 |         30.017 |         30.051 |         30.078 |         30.046 |          0.058 |         31.741 |          0.018 |     -17.81%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |        2048 |         46.351 |         49.981 |         50.103 |         49.453 |          1.755 |         38.581 |          0.696 |
             strlen (LI-PaRAD) |        2048 |         51.965 |         52.003 |         52.031 |         52.002 |          0.033 |         36.679 |          0.012 |      -4.90%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |        4096 |         85.884 |         92.845 |         99.695 |         93.747 |          5.349 |         40.807 |          2.184 |
             strlen (LI-PaRAD) |        4096 |        101.157 |        101.395 |        101.691 |        101.309 |          0.160 |         37.654 |          0.060 |      -7.46%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |        8192 |        168.029 |        187.206 |        198.363 |        186.478 |          5.153 |         41.023 |          2.151 |
