ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strlen (LI-PaRAD)|64|3.464|3.546|3.732|3.548|2.202|16.809|0.365
strlen (GNU libc 2.39)|64|3.978|3.985|4.007|3.985|0.12|14.957|0.018
strlen (Arm OR 23.01)|64|10.259|10.65|10.915|10.64|1.415|5.603|0.08
strlen (LI-PaRAD)|128|5.101|5.519|5.779|5.541|3.386|21.538|0.74
strlen (GNU libc 2.39)|128|5.075|5.081|5.094|5.08|0.067|23.465|0.016
strlen (Arm OR 23.01)|128|15.432|15.504|15.607|15.511|0.23|7.686|0.018
strlen (LI-PaRAD)|256|8.088|8.371|9.098|8.329|2.642|28.644|0.738
strlen (GNU libc 2.39)|256|8.063|8.066|8.091|8.067|0.04|29.556|0.012
strlen (Arm OR 23.01)|256|24.558|24.623|24.68|24.621|0.089|9.684|0.009
strlen (LI-PaRAD)|512|13.847|15.677|18.508|15.621|9.952|30.821|3.013
strlen (GNU libc 2.39)|512|13.793|13.825|13.864|13.823|0.131|34.496|0.045
strlen (Arm OR 23.01)|512|43.513|43.926|44.315|43.92|0.569|10.857|0.062
strlen (LI-PaRAD)|1024|30.019|30.052|36.621|30.276|3.831|31.538|1.014
strlen (GNU libc 2.39)|1024|23.838|23.886|24.085|23.919|0.296|39.872|0.118
strlen (Arm OR 23.01)|1024|85.118|85.134|85.192|85.139|0.02|11.201|0.002
strlen (LI-PaRAD)|2048|51.974|52.009|52.436|52.011|0.092|36.672|0.033
strlen (GNU libc 2.39)|2048|45.745|46.649|47.246|46.6|0.688|40.932|0.282
strlen (Arm OR 23.01)|2048|160.62|160.654|160.942|160.658|0.021|11.872|0.002
strlen (LI-PaRAD)|4096|101.157|101.375|101.731|101.321|0.18|37.65|0.068
strlen (GNU libc 2.39)|4096|88.468|92.212|93.244|92.194|0.751|41.379|0.315
strlen (Arm OR 23.01)|4096|316.339|316.719|317.132|316.696|0.066|12.045|0.008
strlen (LI-PaRAD)|8192|199.827|199.94|200.439|199.947|0.063|38.157|0.024
strlen (GNU libc 2.39)|8192|177.331|183.262|185.674|183.08|0.949|41.676|0.398
strlen (Arm OR 23.01)|8192|628.848|629.131|629.657|629.13|0.028|12.127|0.003
strlen (LI-PaRAD)|16384|404.402|404.536|405.038|404.556|0.034|37.717|0.013
strlen (GNU libc 2.39)|16384|331.81|351.243|389.153|353.977|3.984|43.174|1.698
strlen (Arm OR 23.01)|16384|1262.83|1263.316|1263.874|1263.305|0.02|12.078|0.002
strlen (LI-PaRAD)|32768|797.807|797.816|804.004|799.164|0.228|38.187|0.087
strlen (GNU libc 2.39)|32768|649.79|667.149|803.223|683.852|5.591|44.752|2.284
strlen (Arm OR 23.01)|32768|2509.88|2511.275|2516.748|2511.896|0.073|12.149|0.009
strlen (LI-PaRAD)|65536|1595.298|1597.842|1601.78|1598.14|0.112|38.191|0.043
strlen (GNU libc 2.39)|65536|1342.074|1421.398|1580.095|1440.362|4.932|42.475|2.059
strlen (Arm OR 23.01)|65536|5020.784|5035.632|5070.159|5036.458|0.162|12.119|0.02
strlen (LI-PaRAD)|131072|3173.843|3177.68|3188.67|3177.499|0.078|38.417|0.03
strlen (GNU libc 2.39)|131072|2771.948|2866.531|3170.017|2905.364|3.867|42.076|1.578
strlen (Arm OR 23.01)|131072|10428.751|10431.828|10439.667|10432.246|0.02|11.701|0.002
strlen (LI-PaRAD)|262144|6323.45|6324.46|6391.48|6336.299|0.308|38.531|0.118
strlen (GNU libc 2.39)|262144|5469.39|5637.72|6322.72|5719.862|4.051|42.748|1.615
strlen (Arm OR 23.01)|262144|20607.83|20690.64|20754.6|20690.254|0.1|11.8|0.012
strlen (LI-PaRAD)|524288|12781.84|12825.03|12880.22|12821.445|0.193|38.083|0.074
strlen (GNU libc 2.39)|524288|11133.09|11381.33|12956.47|11676.007|5.143|41.923|2.038
strlen (Arm OR 23.01)|524288|41346.2|41384.69|41464.06|41388.08|0.059|11.798|0.007
strlen (LI-PaRAD)|1048576|25655.75|25748.73|25859.32|25753.136|0.168|37.92|0.064
strlen (GNU libc 2.39)|1048576|23178.53|24951.66|25656.1|24846.088|2.301|39.325|0.919
strlen (Arm OR 23.01)|1048576|82595.25|82840.17|83761.74|83034.136|0.411|11.761|0.048
strlen (LI-PaRAD)|2097152|50494.9|50501.6|51808.6|50684.165|0.678|38.537|0.258
strlen (GNU libc 2.39)|2097152|47412.2|49849.8|51856.7|49910.588|1.236|39.138|0.486
strlen (Arm OR 23.01)|2097152|165339.2|166149.6|167619.6|166262.602|0.317|11.747|0.037
strlen (LI-PaRAD)|4194304|100924.5|101389.7|103804.5|101428.326|0.621|38.514|0.237
strlen (GNU libc 2.39)|4194304|96201.7|100813.2|103401.5|100754.802|0.748|38.772|0.296
strlen (Arm OR 23.01)|4194304|330296.3|331853.6|335522.1|331887.646|0.262|11.77|0.031
strlen (LI-PaRAD)|8388608|201800.2|203152.8|207142.4|203428.444|0.533|38.405|0.203
strlen (GNU libc 2.39)|8388608|193749.3|202009.4|213750.4|201758.503|1.203|38.728|0.465
strlen (Arm OR 23.01)|8388608|661345.3|664846.0|682709.6|665358.281|0.488|11.742|0.056
strlen (LI-PaRAD)|16777216|404469.5|404919.5|446321.5|410638.916|2.165|38.068|0.796
strlen (GNU libc 2.39)|16777216|357653.0|406337.5|483492.5|407814.248|4.792|38.399|1.793
strlen (Arm OR 23.01)|16777216|1318772.5|1338007.5|1368586.5|1338960.936|0.726|11.67|0.084
