        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |          64 |         10.400 |         10.642 |         10.852 |         10.654 |          0.852 |          5.595 |          0.048 |
            strncmp (LI-PaRAD) |          64 |          7.123 |          7.128 |          7.131 |          7.127 |          0.026 |          8.363 |          0.002 |     +49.49%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |         128 |         21.197 |         21.227 |         21.261 |         21.227 |          0.060 |          5.616 |          0.003 |
            strncmp (LI-PaRAD) |         128 |         13.930 |         14.012 |         14.061 |         14.007 |          0.212 |          8.511 |          0.018 |     +51.54%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |         256 |         39.902 |         40.259 |         40.449 |         40.238 |          0.293 |          5.925 |          0.017 |
            strncmp (LI-PaRAD) |         256 |         26.192 |         26.196 |         26.220 |         26.197 |          0.012 |          9.101 |          0.001 |     +53.60%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |         512 |         74.307 |         75.044 |         75.876 |         74.999 |          0.479 |          6.358 |          0.030 |
            strncmp (LI-PaRAD) |         512 |         50.902 |         51.706 |         52.037 |         51.689 |          0.500 |          9.225 |          0.046 |     +45.10%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |        1024 |        145.830 |        146.591 |        147.531 |        146.589 |          0.148 |          6.506 |          0.010 |
            strncmp (LI-PaRAD) |        1024 |        103.201 |        103.236 |        103.333 |        103.240 |          0.019 |          9.237 |          0.002 |     +41.99%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |        2048 |        287.092 |        287.462 |        287.937 |        287.478 |          0.062 |          6.635 |          0.004 |
            strncmp (LI-PaRAD) |        2048 |        199.195 |        200.369 |        201.974 |        200.387 |          0.300 |          9.518 |          0.029 |     +43.46%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |        4096 |        570.152 |        570.780 |        571.983 |        570.894 |          0.073 |          6.682 |          0.005 |
            strncmp (LI-PaRAD) |        4096 |        395.245 |        404.826 |        411.753 |        404.596 |          1.280 |          9.430 |          0.121 |     +41.10%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |        8192 |       1137.311 |       1137.852 |       1138.380 |       1137.821 |          0.020 |          6.705 |          0.001 |
            strncmp (LI-PaRAD) |        8192 |        790.530 |        794.683 |        798.868 |        794.494 |          0.238 |          9.603 |          0.023 |     +43.21%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |       16384 |       2178.881 |       2181.466 |       2191.897 |       2182.238 |          0.137 |          6.992 |          0.010 |
            strncmp (LI-PaRAD) |       16384 |       1578.888 |       1579.471 |       1582.505 |       1579.484 |          0.024 |          9.661 |          0.002 |     +38.16%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |       32768 |       4468.243 |       4476.239 |       4483.355 |       4476.247 |          0.074 |          6.818 |          0.005 |
            strncmp (LI-PaRAD) |       32768 |       3163.591 |       3168.538 |       3173.112 |       3168.205 |          0.076 |          9.632 |          0.007 |     +41.29%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |       65536 |       9143.250 |       9162.557 |       9187.108 |       9162.798 |          0.105 |          6.661 |          0.007 |
            strncmp (LI-PaRAD) |       65536 |       6363.804 |       6374.423 |       6385.804 |       6374.115 |          0.074 |          9.575 |          0.007 |     +43.75%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |      131072 |      18276.264 |      18324.302 |      18356.436 |      18322.137 |          0.088 |          6.662 |          0.006 |
            strncmp (LI-PaRAD) |      131072 |      12782.149 |      12789.002 |      12798.741 |      12788.926 |          0.025 |          9.545 |          0.002 |     +43.27%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |      262144 |      37466.860 |      38171.120 |      38687.810 |      38144.289 |          0.963 |          6.401 |          0.062 |
            strncmp (LI-PaRAD) |      262144 |      25514.770 |      25866.470 |      26085.690 |      25859.610 |          0.549 |          9.441 |          0.052 |     +47.51%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |      524288 |      74560.220 |      76080.480 |      77375.380 |      76020.623 |          0.836 |          6.423 |          0.054 |
            strncmp (LI-PaRAD) |      524288 |      52046.270 |      52110.580 |      52419.880 |      52110.516 |          0.084 |          9.370 |          0.008 |     +45.88%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |     1048576 |     149818.890 |     151844.020 |     154417.430 |     151869.200 |          0.641 |          6.431 |          0.041 |
            strncmp (LI-PaRAD) |     1048576 |     104140.710 |     104177.600 |     104245.880 |     104181.449 |          0.021 |          9.374 |          0.002 |     +45.77%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |     2097152 |     297555.000 |     303309.000 |     310110.000 |     303374.445 |          1.339 |          6.439 |          0.086 |
            strncmp (LI-PaRAD) |     2097152 |     207974.600 |     208340.500 |     209385.000 |     208424.316 |          0.115 |          9.371 |          0.011 |     +45.56%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |     4194304 |     595358.200 |     606943.600 |     619280.500 |     607410.521 |          1.043 |          6.432 |          0.067 |
            strncmp (LI-PaRAD) |     4194304 |     416686.900 |     416916.500 |     417589.500 |     416915.550 |          0.050 |          9.369 |          0.005 |     +45.69%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |     8388608 |    1194059.900 |    1217705.000 |    1235834.800 |    1217613.739 |          0.762 |          6.417 |          0.049 |
            strncmp (LI-PaRAD) |     8388608 |     834557.100 |     834789.600 |     836232.800 |     834881.026 |          0.034 |          9.358 |          0.003 |     +45.84%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |    16777216 |    2389206.000 |    2433754.000 |    2484827.500 |    2429940.163 |          1.013 |          6.431 |          0.065 |
            strncmp (LI-PaRAD) |    16777216 |    1667403.000 |    1672371.000 |    1687191.500 |    1671762.302 |          0.148 |          9.346 |          0.014 |     +45.35%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |    33554432 |    4787383.500 |    4876542.500 |    4930984.500 |    4871443.876 |          0.738 |          6.415 |          0.047 |
            strncmp (LI-PaRAD) |    33554432 |    3340084.500 |    3343305.000 |    3348320.500 |    3343907.564 |          0.061 |          9.345 |          0.006 |     +45.68%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |    67108864 |    9656605.500 |    9782023.000 |    9930406.500 |    9777533.178 |          0.580 |          6.392 |          0.037 |
            strncmp (LI-PaRAD) |    67108864 |    6678969.500 |    6682771.500 |    6688182.500 |    6682510.153 |          0.028 |          9.353 |          0.003 |     +46.32%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |   134217728 |   19292749.500 |   19476855.000 |   19667180.500 |   19471151.624 |          0.402 |          6.420 |          0.026 |
            strncmp (LI-PaRAD) |   134217728 |   13354771.000 |   13359094.500 |   13373723.500 |   13359537.470 |          0.022 |          9.357 |          0.002 |     +45.75%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |   268435456 |   38570680.000 |   38852643.000 |   39305494.500 |   38874766.322 |          0.338 |          6.431 |          0.022 |
            strncmp (LI-PaRAD) |   268435456 |   26706631.500 |   26714050.000 |   26728157.500 |   26714207.233 |          0.013 |          9.358 |          0.001 |     +45.52%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |   536870912 |   77113667.000 |   77575391.500 |   78024485.000 |   77576194.644 |          0.244 |          6.445 |          0.016 |
            strncmp (LI-PaRAD) |   536870912 |   53409588.500 |   53421255.500 |   53443177.000 |   53421579.802 |          0.011 |          9.360 |          0.001 |     +45.22%
