        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |          64 |         10.734 |         10.881 |         11.104 |         10.873 |          0.718 |          5.482 |          0.039 |
            strncmp (LI-PaRAD) |          64 |          7.123 |          7.128 |          7.132 |          7.127 |          0.027 |          8.363 |          0.002 |     +52.56%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |         128 |         19.587 |         19.718 |         19.936 |         19.721 |          0.336 |          6.045 |          0.020 |
            strncmp (LI-PaRAD) |         128 |         13.896 |         14.003 |         14.062 |         13.995 |          0.260 |          8.518 |          0.022 |     +40.91%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |         256 |         37.376 |         37.415 |         39.637 |         37.438 |          0.594 |          6.369 |          0.036 |
            strncmp (LI-PaRAD) |         256 |         26.191 |         26.195 |         26.224 |         26.196 |          0.016 |          9.101 |          0.001 |     +42.92%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |         512 |         72.618 |         73.992 |         75.603 |         74.026 |          0.887 |          6.442 |          0.057 |
            strncmp (LI-PaRAD) |         512 |         50.826 |         51.382 |         52.030 |         51.395 |          0.730 |          9.278 |          0.068 |     +44.03%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |        1024 |        143.857 |        144.408 |        144.699 |        144.380 |          0.101 |          6.605 |          0.007 |
            strncmp (LI-PaRAD) |        1024 |        102.579 |        103.418 |        103.477 |        103.330 |          0.148 |          9.229 |          0.014 |     +39.73%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |        2048 |        286.658 |        287.111 |        287.872 |        287.139 |          0.062 |          6.643 |          0.004 |
            strncmp (LI-PaRAD) |        2048 |        198.836 |        201.213 |        204.783 |        201.179 |          0.519 |          9.481 |          0.049 |     +42.73%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |        4096 |        576.327 |        579.009 |        583.544 |        579.103 |          0.212 |          6.587 |          0.014 |
            strncmp (LI-PaRAD) |        4096 |        395.310 |        404.488 |        409.599 |        402.931 |          1.155 |          9.469 |          0.110 |     +43.72%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |        8192 |       1145.701 |       1148.708 |       1152.287 |       1148.618 |          0.118 |          6.642 |          0.008 |
            strncmp (LI-PaRAD) |        8192 |        790.577 |        793.311 |        797.325 |        793.437 |          0.205 |          9.616 |          0.020 |     +44.76%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |       16384 |       2287.320 |       2289.186 |       2289.976 |       2289.197 |          0.017 |          6.666 |          0.001 |
            strncmp (LI-PaRAD) |       16384 |       1578.916 |       1579.376 |       1582.556 |       1579.400 |          0.022 |          9.661 |          0.002 |     +44.94%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |       32768 |       4603.087 |       4606.360 |       4611.633 |       4606.619 |          0.044 |          6.625 |          0.003 |
            strncmp (LI-PaRAD) |       32768 |       3164.063 |       3168.544 |       3172.589 |       3168.366 |          0.072 |          9.632 |          0.007 |     +45.39%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |       65536 |       9176.293 |       9180.736 |       9192.436 |       9180.999 |          0.027 |          6.648 |          0.002 |
            strncmp (LI-PaRAD) |       65536 |       6324.245 |       6339.784 |       6355.523 |       6339.691 |          0.121 |          9.627 |          0.012 |     +44.82%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
