ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strncmp (LI-PaRAD)|64|7.123|7.127|7.146|7.127|0.046|8.363|0.004
strncmp (Arm OR 23.01)|64|10.402|10.601|10.865|10.597|0.792|5.625|0.044
strncmp (GNU libc 2.39)|64|10.733|10.889|11.158|10.885|0.717|5.476|0.039
strncmp (LI-PaRAD)|128|13.933|14.011|14.064|14.009|0.213|8.509|0.018
strncmp (Arm OR 23.01)|128|21.198|21.227|21.256|21.226|0.055|5.616|0.003
strncmp (GNU libc 2.39)|128|19.582|19.716|19.904|19.722|0.303|6.045|0.018
strncmp (LI-PaRAD)|256|26.19|26.197|26.208|26.197|0.012|9.101|0.001
strncmp (Arm OR 23.01)|256|39.914|40.178|40.451|40.178|0.326|5.934|0.019
strncmp (GNU libc 2.39)|256|37.344|37.405|37.465|37.407|0.057|6.374|0.004
strncmp (LI-PaRAD)|512|51.168|51.869|52.063|51.817|0.353|9.202|0.033
strncmp (Arm OR 23.01)|512|74.319|74.857|75.901|74.93|0.464|6.364|0.029
strncmp (GNU libc 2.39)|512|72.77|74.124|76.175|74.164|0.884|6.43|0.057
strncmp (LI-PaRAD)|1024|103.155|103.187|103.525|103.194|0.038|9.242|0.003
strncmp (Arm OR 23.01)|1024|146.081|146.74|146.841|146.638|0.112|6.504|0.007
strncmp (GNU libc 2.39)|1024|143.838|144.415|144.709|144.375|0.12|6.606|0.008
strncmp (LI-PaRAD)|2048|201.226|204.395|205.824|204.272|0.342|9.337|0.032
strncmp (Arm OR 23.01)|2048|286.942|287.538|288.041|287.546|0.069|6.633|0.005
strncmp (GNU libc 2.39)|2048|286.801|287.334|287.957|287.367|0.081|6.637|0.005
strncmp (LI-PaRAD)|4096|395.525|403.85|411.635|403.526|1.286|9.455|0.122
strncmp (Arm OR 23.01)|4096|570.377|570.873|571.967|571.006|0.074|6.681|0.005
strncmp (GNU libc 2.39)|4096|576.079|579.359|582.804|579.214|0.201|6.586|0.013
strncmp (LI-PaRAD)|8192|790.463|800.43|813.167|800.809|0.652|9.528|0.062
strncmp (Arm OR 23.01)|8192|1137.446|1138.023|1139.853|1138.103|0.037|6.704|0.002
strncmp (GNU libc 2.39)|8192|1142.236|1148.51|1152.237|1147.923|0.175|6.646|0.012
strncmp (LI-PaRAD)|16384|1578.901|1579.476|1580.015|1579.486|0.012|9.661|0.001
strncmp (Arm OR 23.01)|16384|2178.875|2180.472|2191.473|2181.61|0.141|6.994|0.01
strncmp (GNU libc 2.39)|16384|2288.118|2289.337|2291.352|2289.374|0.02|6.665|0.001
strncmp (LI-PaRAD)|32768|3161.166|3165.201|3169.049|3164.87|0.063|9.643|0.006
strncmp (Arm OR 23.01)|32768|4449.653|4461.836|4474.788|4461.603|0.115|6.84|0.008
strncmp (GNU libc 2.39)|32768|4591.979|4595.246|4606.658|4595.744|0.05|6.64|0.003
