        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |          64 |          6.297 |          6.305 |          6.318 |          6.306 |          0.059 |          9.452 |          0.006 |
            strncpy (LI-PaRAD) |          64 |          4.390 |          4.429 |          4.481 |          4.430 |          0.444 |         13.454 |          0.060 |     +42.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |         128 |          9.072 |          9.132 |          9.148 |          9.131 |          0.080 |         13.055 |          0.011 |
            strncpy (LI-PaRAD) |         128 |          6.935 |          6.951 |          6.995 |          6.951 |          0.129 |         17.149 |          0.022 |     +31.36%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |         256 |         15.565 |         15.574 |         15.637 |         15.575 |          0.055 |         15.308 |          0.008 |
            strncpy (LI-PaRAD) |         256 |         13.865 |         13.937 |         14.050 |         13.934 |          0.323 |         17.111 |          0.055 |     +11.78%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |         512 |         29.608 |         29.822 |         29.961 |         29.812 |          0.189 |         15.995 |          0.030 |
            strncpy (LI-PaRAD) |         512 |         25.793 |         26.065 |         27.561 |         26.124 |          1.280 |         18.255 |          0.228 |     +14.11%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |        1024 |         61.554 |         61.771 |         66.101 |         61.843 |          0.760 |         15.422 |          0.111 |
            strncpy (LI-PaRAD) |        1024 |         52.360 |         52.425 |         52.538 |         52.423 |          0.055 |         18.192 |          0.010 |     +17.97%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |        2048 |        127.620 |        127.996 |        128.348 |        127.995 |          0.102 |         14.902 |          0.015 |
            strncpy (LI-PaRAD) |        2048 |        102.137 |        102.211 |        102.373 |        102.215 |          0.044 |         18.660 |          0.008 |     +25.22%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |        4096 |        258.264 |        259.843 |        260.805 |        259.743 |          0.220 |         14.687 |          0.032 |
            strncpy (LI-PaRAD) |        4096 |        203.926 |        204.208 |        204.694 |        204.248 |          0.082 |         18.677 |          0.015 |     +27.17%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |        8192 |        522.155 |        524.182 |        525.057 |        524.091 |          0.088 |         14.557 |          0.013 |
            strncpy (LI-PaRAD) |        8192 |        406.836 |        407.391 |        407.896 |        407.408 |          0.043 |         18.727 |          0.008 |     +28.64%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |       16384 |       1058.944 |       1060.399 |       1062.245 |       1060.326 |          0.054 |         14.391 |          0.008 |
            strncpy (LI-PaRAD) |       16384 |        809.626 |        809.761 |        810.278 |        809.767 |          0.014 |         18.843 |          0.003 |     +30.94%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |       32768 |       2093.959 |       2115.976 |       2125.113 |       2114.419 |          0.293 |         14.433 |          0.043 |
            strncpy (LI-PaRAD) |       32768 |       1610.410 |       1613.537 |       1620.487 |       1613.391 |          0.113 |         18.915 |          0.021 |     +31.05%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |       65536 |       4262.193 |       4264.727 |       4270.611 |       4265.124 |          0.038 |         14.310 |          0.005 |
            strncpy (LI-PaRAD) |       65536 |       3254.182 |       3261.423 |       3270.557 |       3261.322 |          0.082 |         18.715 |          0.015 |     +30.78%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |      131072 |       8651.127 |       8654.091 |       8685.586 |       8654.852 |          0.042 |         14.104 |          0.006 |
            strncpy (LI-PaRAD) |      131072 |       6501.799 |       6514.420 |       6527.782 |       6514.498 |          0.071 |         18.738 |          0.013 |     +32.86%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |      262144 |      17240.050 |      17280.350 |      17330.000 |      17280.941 |          0.104 |         14.128 |          0.015 |
            strncpy (LI-PaRAD) |      262144 |      12917.610 |      12991.100 |      13052.190 |      12989.417 |          0.212 |         18.795 |          0.040 |     +33.04%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
