        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          64 |          6.299 |          6.309 |          6.325 |          6.309 |          0.066 |          9.447 |          0.006 |
            strncpy (LI-PaRAD) |          64 |          4.393 |          4.433 |          4.468 |          4.430 |          0.373 |         13.455 |          0.050 |     +42.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |         128 |          9.103 |          9.148 |          9.152 |          9.147 |          0.069 |         13.033 |          0.009 |
            strncpy (LI-PaRAD) |         128 |          6.941 |          6.953 |          6.976 |          6.954 |          0.097 |         17.142 |          0.017 |     +31.53%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |         256 |         15.563 |         15.573 |         15.813 |         15.580 |          0.235 |         15.303 |          0.036 |
            strncpy (LI-PaRAD) |         256 |         13.864 |         13.913 |         14.029 |         13.918 |          0.292 |         17.130 |          0.050 |     +11.94%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |         512 |         29.731 |         29.863 |         29.965 |         29.861 |          0.138 |         15.969 |          0.022 |
            strncpy (LI-PaRAD) |         512 |         25.797 |         26.295 |         27.105 |         26.275 |          0.869 |         18.149 |          0.157 |     +13.65%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |        1024 |         61.801 |         61.914 |         62.694 |         61.928 |          0.158 |         15.400 |          0.024 |
            strncpy (LI-PaRAD) |        1024 |         52.359 |         52.423 |         52.478 |         52.422 |          0.045 |         18.192 |          0.008 |     +18.13%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |        2048 |        126.371 |        127.700 |        128.153 |        127.676 |          0.247 |         14.939 |          0.037 |
            strncpy (LI-PaRAD) |        2048 |        102.158 |        102.219 |        103.193 |        102.231 |          0.101 |         18.657 |          0.019 |     +24.89%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |        4096 |        264.659 |        266.213 |        267.281 |        266.207 |          0.162 |         14.330 |          0.023 |
            strncpy (LI-PaRAD) |        4096 |        203.925 |        204.207 |        204.748 |        204.236 |          0.076 |         18.678 |          0.014 |     +30.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |        8192 |        522.745 |        523.998 |        525.048 |        523.986 |          0.082 |         14.560 |          0.012 |
            strncpy (LI-PaRAD) |        8192 |        406.646 |        407.394 |        407.873 |        407.401 |          0.035 |         18.727 |          0.007 |     +28.62%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |       16384 |       1060.154 |       1063.040 |       1065.076 |       1062.777 |          0.118 |         14.357 |          0.017 |
            strncpy (LI-PaRAD) |       16384 |        809.580 |        809.734 |        812.782 |        809.775 |          0.040 |         18.843 |          0.007 |     +31.24%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |       32768 |       2104.849 |       2122.057 |       2127.357 |       2121.852 |          0.138 |         14.383 |          0.020 |
            strncpy (LI-PaRAD) |       32768 |       1610.413 |       1613.578 |       1616.906 |       1613.425 |          0.110 |         18.915 |          0.021 |     +31.51%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |       65536 |       4261.987 |       4264.856 |       4271.713 |       4265.173 |          0.040 |         14.310 |          0.006 |
            strncpy (LI-PaRAD) |       65536 |       3248.609 |       3260.228 |       3276.810 |       3260.457 |          0.168 |         18.720 |          0.031 |     +30.82%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |      131072 |       8651.960 |       8653.881 |       8661.168 |       8654.338 |          0.021 |         14.105 |          0.003 |
            strncpy (LI-PaRAD) |      131072 |       6505.786 |       6519.281 |       6525.581 |       6518.740 |          0.055 |         18.726 |          0.010 |     +32.76%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |      262144 |      17244.850 |      17280.790 |      17346.160 |      17281.143 |          0.096 |         14.128 |          0.014 |
            strncpy (LI-PaRAD) |      262144 |      12931.690 |      13005.960 |      13058.440 |      13000.137 |          0.225 |         18.780 |          0.042 |     +32.93%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |      524288 |      34519.550 |      34581.470 |      34675.010 |      34581.411 |          0.088 |         14.120 |          0.012 |
            strncpy (LI-PaRAD) |      524288 |      25994.490 |      26108.800 |      26390.010 |      26107.069 |          0.203 |         18.703 |          0.038 |     +32.46%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |     1048576 |      68956.990 |      69686.060 |      71306.000 |      69787.719 |          0.780 |         13.994 |          0.108 |
            strncpy (LI-PaRAD) |     1048576 |      52149.580 |      52290.290 |      52490.100 |      52287.209 |          0.128 |         18.677 |          0.024 |     +33.47%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |     2097152 |     141287.700 |     142574.800 |     145818.300 |     142630.033 |          0.568 |         13.694 |          0.077 |
            strncpy (LI-PaRAD) |     2097152 |     103927.200 |     104869.600 |     106453.700 |     104897.353 |          0.488 |         18.620 |          0.091 |     +35.97%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |     4194304 |     290284.100 |     292641.400 |     299503.400 |     292675.788 |          0.437 |         13.347 |          0.058 |
            strncpy (LI-PaRAD) |     4194304 |     208981.900 |     210543.300 |     215100.000 |     210770.016 |          0.493 |         18.534 |          0.090 |     +38.86%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |     8388608 |     586708.300 |     589902.400 |     597340.700 |     590073.458 |          0.233 |         13.240 |          0.031 |
            strncpy (LI-PaRAD) |     8388608 |     416294.400 |     419067.500 |     426255.300 |     419481.864 |          0.466 |         18.625 |          0.086 |     +40.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |    16777216 |    1175661.500 |    1183660.000 |    1210523.500 |    1184376.515 |          0.372 |         13.193 |          0.049 |
            strncpy (LI-PaRAD) |    16777216 |     839438.000 |     846564.000 |     856820.000 |     846360.718 |          0.345 |         18.462 |          0.064 |     +39.94%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |    33554432 |    2429920.000 |    2442427.500 |    2547808.000 |    2443268.099 |          0.509 |         12.791 |          0.063 |
            strncpy (LI-PaRAD) |    33554432 |    1675623.500 |    1683946.000 |    1688033.000 |    1683016.208 |          0.169 |         18.568 |          0.031 |     +45.17%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |    67108864 |    5362301.500 |    5374374.000 |    5403160.000 |    5374542.223 |          0.117 |         11.629 |          0.014 |
            strncpy (LI-PaRAD) |    67108864 |    3394226.500 |    3400149.000 |    3412833.500 |    3400474.663 |          0.100 |         18.380 |          0.018 |     +58.05%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |   134217728 |   10987532.000 |   11010963.000 |   11085411.000 |   11011612.500 |          0.107 |         11.352 |          0.012 |
            strncpy (LI-PaRAD) |   134217728 |    6837453.000 |    6844152.500 |    6852469.500 |    6843834.218 |          0.042 |         18.265 |          0.008 |     +60.90%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |   268435456 |   22199660.500 |   22218262.000 |   22294133.500 |   22218323.970 |          0.051 |         11.252 |          0.006 |
            strncpy (LI-PaRAD) |   268435456 |   13690034.500 |   13699626.000 |   13713021.000 |   13699443.584 |          0.032 |         18.249 |          0.006 |     +62.18%
