        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          64 |          6.931 |          7.278 |          8.175 |          7.330 |          4.372 |          8.146 |          0.346 |
            strnlen (LI-PaRAD) |          64 |          4.332 |          4.334 |          4.340 |          4.334 |          0.039 |         13.753 |          0.005 |     +69.13%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |         128 |         15.019 |         15.024 |         15.036 |         15.024 |          0.018 |          7.934 |          0.001 |
            strnlen (LI-PaRAD) |         128 |          7.508 |          7.512 |          7.520 |          7.512 |          0.024 |         15.869 |          0.004 |    +100.01%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |         256 |         27.925 |         27.929 |         27.957 |         27.930 |          0.014 |          8.536 |          0.001 |
            strnlen (LI-PaRAD) |         256 |         13.689 |         14.021 |         14.257 |         14.021 |          1.048 |         17.006 |          0.178 |     +99.20%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |         512 |         53.506 |         53.554 |         53.680 |         53.549 |          0.046 |          8.905 |          0.004 |
            strnlen (LI-PaRAD) |         512 |         26.631 |         26.832 |         27.083 |         26.829 |          0.361 |         17.773 |          0.064 |     +99.59%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |        1024 |        106.678 |        106.698 |        107.143 |        106.712 |          0.047 |          8.937 |          0.004 |
            strnlen (LI-PaRAD) |        1024 |         52.030 |         52.148 |         52.263 |         52.144 |          0.101 |         18.289 |          0.018 |    +104.65%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |        2048 |        207.593 |        207.633 |        207.822 |        207.636 |          0.014 |          9.186 |          0.001 |
            strnlen (LI-PaRAD) |        2048 |        101.273 |        101.314 |        101.609 |        101.322 |          0.036 |         18.825 |          0.007 |    +104.93%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |        4096 |        412.803 |        412.959 |        413.399 |        412.957 |          0.029 |          9.238 |          0.003 |
            strnlen (LI-PaRAD) |        4096 |        202.599 |        202.897 |        203.423 |        202.923 |          0.093 |         18.799 |          0.017 |    +103.50%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |        8192 |        823.843 |        823.994 |        825.022 |        824.024 |          0.025 |          9.259 |          0.002 |
            strnlen (LI-PaRAD) |        8192 |        406.489 |        406.626 |        407.031 |        406.655 |          0.031 |         18.761 |          0.006 |    +102.63%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |       16384 |       1586.652 |       1589.494 |       1612.918 |       1589.993 |          0.204 |          9.597 |          0.019 |
            strnlen (LI-PaRAD) |       16384 |        809.392 |        809.865 |        811.680 |        809.923 |          0.043 |         18.840 |          0.008 |     +96.31%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |       32768 |       3162.295 |       3169.870 |       3191.353 |       3170.997 |          0.179 |          9.624 |          0.017 |
            strnlen (LI-PaRAD) |       32768 |       1607.309 |       1610.490 |       1613.163 |       1610.267 |          0.088 |         18.952 |          0.017 |     +96.92%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |       65536 |       6562.760 |       6569.983 |       6580.975 |       6570.039 |          0.051 |          9.290 |          0.005 |
            strnlen (LI-PaRAD) |       65536 |       3210.150 |       3213.489 |       3216.993 |       3213.208 |          0.060 |         18.995 |          0.011 |    +104.47%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |      131072 |      12632.550 |      12636.740 |      12647.745 |      12636.951 |          0.020 |          9.660 |          0.002 |
            strnlen (LI-PaRAD) |      131072 |       6421.083 |       6424.640 |       6455.113 |       6425.271 |          0.058 |         18.998 |          0.011 |     +96.68%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |      262144 |      25242.330 |      25251.420 |      25360.380 |      25261.993 |          0.084 |          9.664 |          0.008 |
            strnlen (LI-PaRAD) |      262144 |      12818.390 |      12845.570 |      12882.080 |      12841.526 |          0.137 |         19.012 |          0.026 |     +96.72%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |      524288 |      50482.090 |      52055.690 |      53645.010 |      52073.734 |          1.845 |          9.380 |          0.173 |
            strnlen (LI-PaRAD) |      524288 |      25652.770 |      25669.240 |      25818.500 |      25677.249 |          0.094 |         19.016 |          0.018 |    +102.80%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |     1048576 |     101348.010 |     103141.380 |     105077.960 |     103160.931 |          0.798 |          9.467 |          0.075 |
            strnlen (LI-PaRAD) |     1048576 |      51409.770 |      51489.420 |      51563.430 |      51486.204 |          0.069 |         18.967 |          0.013 |    +100.37%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |     2097152 |     202185.600 |     207067.500 |     212089.800 |     206879.864 |          1.746 |          9.444 |          0.165 |
            strnlen (LI-PaRAD) |     2097152 |     102384.200 |     102859.400 |     103296.800 |     102783.121 |          0.223 |         19.002 |          0.042 |    +101.28%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |     4194304 |     404345.800 |     413093.200 |     421781.700 |     412836.597 |          1.350 |          9.464 |          0.128 |
            strnlen (LI-PaRAD) |     4194304 |     204726.900 |     205534.800 |     206253.700 |     205544.689 |          0.151 |         19.004 |          0.029 |    +100.85%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
