        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |          64 |          4.306 |          4.324 |          4.334 |          4.324 |          0.066 |         13.786 |          0.009 |
            strnlen (LI-PaRAD) |          64 |          4.332 |          4.333 |          4.338 |          4.334 |          0.034 |         13.754 |          0.005 |      -0.23%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |         128 |          6.603 |          6.608 |          6.613 |          6.608 |          0.028 |         18.039 |          0.005 |
            strnlen (LI-PaRAD) |         128 |          7.507 |          7.512 |          7.522 |          7.512 |          0.028 |         15.870 |          0.004 |     -12.03%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |         256 |         11.745 |         11.753 |         11.784 |         11.753 |          0.031 |         20.286 |          0.006 |
            strnlen (LI-PaRAD) |         256 |         13.852 |         14.135 |         14.257 |         14.119 |          0.680 |         16.887 |          0.115 |     -16.76%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |         512 |         21.727 |         22.073 |         22.132 |         22.072 |          0.192 |         21.604 |          0.042 |
            strnlen (LI-PaRAD) |         512 |         26.443 |         26.785 |         26.976 |         26.803 |          0.251 |         17.791 |          0.045 |     -17.65%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |        1024 |         42.372 |         42.519 |         42.817 |         42.533 |          0.239 |         22.422 |          0.054 |
            strnlen (LI-PaRAD) |        1024 |         52.033 |         52.182 |         52.232 |         52.167 |          0.085 |         18.281 |          0.016 |     -18.47%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |        2048 |         83.768 |         84.074 |         84.500 |         84.073 |          0.220 |         22.687 |          0.050 |
            strnlen (LI-PaRAD) |        2048 |        101.261 |        101.308 |        101.448 |        101.311 |          0.023 |         18.827 |          0.004 |     -17.01%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |        4096 |        165.996 |        166.561 |        168.943 |        167.040 |          0.487 |         22.838 |          0.111 |
            strnlen (LI-PaRAD) |        4096 |        202.599 |        202.848 |        205.923 |        202.938 |          0.172 |         18.797 |          0.032 |     -17.69%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |        8192 |        324.492 |        332.281 |        334.964 |        331.285 |          0.679 |         23.031 |          0.158 |
            strnlen (LI-PaRAD) |        8192 |        406.496 |        406.618 |        407.089 |        406.641 |          0.028 |         18.762 |          0.005 |     -18.53%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |       16384 |        664.932 |        670.101 |        671.160 |        669.180 |          0.274 |         22.802 |          0.063 |
            strnlen (LI-PaRAD) |       16384 |        809.403 |        809.806 |        812.805 |        809.843 |          0.045 |         18.842 |          0.009 |     -17.37%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |       32768 |       1327.022 |       1333.463 |       1340.054 |       1333.368 |          0.198 |         22.888 |          0.045 |
            strnlen (LI-PaRAD) |       32768 |       1607.311 |       1610.305 |       1613.332 |       1610.184 |          0.092 |         18.953 |          0.017 |     -17.19%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |       65536 |       2658.110 |       2661.769 |       2671.997 |       2662.619 |          0.104 |         22.923 |          0.024 |
            strnlen (LI-PaRAD) |       65536 |       3210.180 |       3213.489 |       3216.668 |       3212.986 |          0.053 |         18.996 |          0.010 |     -17.13%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |      131072 |       5280.278 |       5285.494 |       5339.258 |       5287.598 |          0.208 |         23.086 |          0.048 |
            strnlen (LI-PaRAD) |      131072 |       6421.664 |       6425.386 |       6432.952 |       6425.433 |          0.028 |         18.998 |          0.005 |     -17.71%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |      262144 |      10491.810 |      10520.880 |      10694.400 |      10518.241 |          0.250 |         23.211 |          0.058 |
            strnlen (LI-PaRAD) |      262144 |      12816.790 |      12845.160 |      12876.100 |      12841.047 |          0.135 |         19.013 |          0.026 |     -18.09%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |      524288 |      21284.880 |      21324.390 |      21451.520 |      21328.795 |          0.093 |         22.893 |          0.021 |
            strnlen (LI-PaRAD) |      524288 |      25652.800 |      25669.240 |      25726.410 |      25673.370 |          0.068 |         19.019 |          0.013 |     -16.92%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |     1048576 |      42483.340 |      42593.960 |      42836.820 |      42594.687 |          0.114 |         22.927 |          0.026 |
            strnlen (LI-PaRAD) |     1048576 |      51378.370 |      51432.760 |      51472.330 |      51426.454 |          0.051 |         18.990 |          0.010 |     -17.17%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |     2097152 |      84203.100 |      85083.900 |      89009.500 |      85159.038 |          0.635 |         22.936 |          0.142 |
            strnlen (LI-PaRAD) |     2097152 |     102373.300 |     102774.600 |     103466.900 |     102772.440 |          0.239 |         19.004 |          0.045 |     -17.14%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
