ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strnlen (LI-PaRAD)|64|4.332|4.334|4.346|4.334|0.047|13.753|0.006
strnlen (Arm OR 23.01)|64|6.931|7.274|8.045|7.32|3.47|8.152|0.274
strnlen (GNU libc 2.39)|64|4.318|4.324|4.433|4.325|0.258|13.781|0.035
strnlen (LI-PaRAD)|128|7.508|7.512|7.52|7.512|0.024|15.869|0.004
strnlen (Arm OR 23.01)|128|15.019|15.025|15.033|15.024|0.016|7.934|0.001
strnlen (GNU libc 2.39)|128|6.592|6.597|6.612|6.599|0.076|18.066|0.014
strnlen (LI-PaRAD)|256|13.917|14.189|14.262|14.18|0.58|16.814|0.098
strnlen (Arm OR 23.01)|256|27.922|27.929|27.956|27.93|0.015|8.536|0.001
strnlen (GNU libc 2.39)|256|11.73|11.734|11.743|11.734|0.019|20.318|0.004
strnlen (LI-PaRAD)|512|26.583|26.767|26.965|26.791|0.219|17.798|0.039
strnlen (Arm OR 23.01)|512|53.515|53.541|53.622|53.545|0.036|8.905|0.003
strnlen (GNU libc 2.39)|512|21.385|22.095|22.167|22.058|0.694|21.618|0.154
strnlen (LI-PaRAD)|1024|52.03|52.137|52.229|52.142|0.098|18.29|0.018
strnlen (Arm OR 23.01)|1024|106.679|106.714|107.11|106.716|0.041|8.937|0.004
strnlen (GNU libc 2.39)|1024|42.255|42.466|42.637|42.449|0.258|22.467|0.058
strnlen (LI-PaRAD)|2048|101.272|101.314|101.534|101.32|0.03|18.825|0.006
strnlen (Arm OR 23.01)|2048|207.597|207.638|207.91|207.645|0.019|9.186|0.002
strnlen (GNU libc 2.39)|2048|83.177|83.84|84.557|83.836|0.425|22.751|0.097
strnlen (LI-PaRAD)|4096|202.599|202.895|203.667|202.925|0.078|18.799|0.015
strnlen (Arm OR 23.01)|4096|412.822|412.942|413.441|412.957|0.034|9.238|0.003
strnlen (GNU libc 2.39)|4096|165.965|166.385|167.689|166.417|0.146|22.923|0.033
strnlen (LI-PaRAD)|8192|406.488|406.653|407.44|406.69|0.041|18.76|0.008
strnlen (Arm OR 23.01)|8192|823.869|824.005|824.927|824.041|0.024|9.259|0.002
strnlen (GNU libc 2.39)|8192|324.146|333.897|335.892|333.054|0.682|22.908|0.159
strnlen (LI-PaRAD)|16384|809.465|809.841|810.842|809.862|0.029|18.841|0.006
strnlen (Arm OR 23.01)|16384|1606.696|1616.859|1624.86|1616.735|0.252|9.438|0.024
strnlen (GNU libc 2.39)|16384|667.445|672.928|675.342|672.592|0.297|22.687|0.068
strnlen (LI-PaRAD)|32768|1607.31|1610.285|1614.312|1610.248|0.098|18.952|0.019
strnlen (Arm OR 23.01)|32768|3194.432|3226.96|3261.795|3225.413|0.38|9.462|0.036
strnlen (GNU libc 2.39)|32768|1330.743|1337.563|1342.031|1337.215|0.193|22.822|0.044
strnlen (LI-PaRAD)|65536|3210.328|3213.461|3220.686|3213.233|0.06|18.995|0.011
strnlen (Arm OR 23.01)|65536|6556.176|6577.475|6585.306|6576.999|0.063|9.28|0.006
strnlen (GNU libc 2.39)|65536|2660.146|2663.687|2668.694|2663.504|0.056|22.915|0.013
strnlen (LI-PaRAD)|131072|6421.219|6424.697|6434.523|6425.131|0.036|18.999|0.007
strnlen (Arm OR 23.01)|131072|12633.512|12637.708|12667.619|12637.937|0.031|9.659|0.003
strnlen (GNU libc 2.39)|131072|5279.521|5285.842|5342.628|5287.862|0.218|23.085|0.05
strnlen (LI-PaRAD)|262144|12818.34|12845.43|12910.34|12841.714|0.151|19.012|0.029
strnlen (Arm OR 23.01)|262144|25242.67|25262.21|25367.04|25267.664|0.093|9.662|0.009
strnlen (GNU libc 2.39)|262144|10493.63|10537.27|10704.4|10563.841|0.634|23.112|0.146
strnlen (LI-PaRAD)|524288|25653.65|25669.84|25735.84|25677.615|0.075|19.016|0.014
strnlen (Arm OR 23.01)|524288|50486.21|51871.01|53622.61|51965.753|1.675|9.399|0.157
strnlen (GNU libc 2.39)|524288|21286.42|21326.86|21406.34|21332.87|0.096|22.889|0.022
strnlen (LI-PaRAD)|1048576|51376.5|51437.06|51538.64|51433.188|0.055|18.987|0.011
strnlen (Arm OR 23.01)|1048576|101166.74|103053.27|105361.17|103138.099|0.94|9.469|0.089
strnlen (GNU libc 2.39)|1048576|42750.46|42854.71|43110.28|42863.675|0.181|22.783|0.041
strnlen (LI-PaRAD)|2097152|102371.8|102862.9|103235.5|102763.991|0.215|19.006|0.041
strnlen (Arm OR 23.01)|2097152|202256.2|207436.7|211403.0|207397.378|1.552|9.42|0.147
strnlen (GNU libc 2.39)|2097152|84453.2|85066.5|87766.3|85165.717|0.424|22.934|0.096
strnlen (LI-PaRAD)|4194304|204701.9|205358.9|206285.0|205429.718|0.172|19.015|0.033
strnlen (Arm OR 23.01)|4194304|405354.3|413245.4|422838.3|413303.969|1.252|9.453|0.118
strnlen (GNU libc 2.39)|4194304|168955.8|170316.6|179521.3|170572.144|0.871|22.903|0.192
strnlen (LI-PaRAD)|8388608|410186.6|410889.5|412018.5|410857.315|0.107|19.015|0.02
strnlen (Arm OR 23.01)|8388608|811414.5|827514.7|842994.7|826595.621|0.984|9.452|0.093
