        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |          64 |         13.627 |         13.867 |         13.899 |         13.838 |          0.394 |          4.307 |          0.017 |
            strrchr (LI-PaRAD) |          64 |          8.010 |          8.321 |          8.327 |          8.314 |          0.531 |          7.170 |          0.039 |     +66.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |         128 |         20.062 |         20.235 |         20.557 |         20.241 |          0.463 |          5.890 |          0.027 |
            strrchr (LI-PaRAD) |         128 |         10.398 |         10.401 |         10.413 |         10.401 |          0.022 |         11.461 |          0.002 |     +94.59%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |         256 |         32.650 |         32.939 |         33.090 |         32.927 |          0.292 |          7.241 |          0.021 |
            strrchr (LI-PaRAD) |         256 |         16.946 |         17.306 |         18.084 |         17.326 |          1.812 |         13.765 |          0.247 |     +90.04%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |         512 |         60.821 |         61.112 |         61.560 |         61.116 |          0.339 |          7.802 |          0.026 |
            strrchr (LI-PaRAD) |         512 |         29.062 |         29.094 |         31.953 |         29.448 |          2.496 |         16.202 |          0.386 |    +107.54%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |        1024 |        115.525 |        115.569 |        115.625 |        115.570 |          0.017 |          8.252 |          0.001 |
            strrchr (LI-PaRAD) |        1024 |         53.326 |         53.749 |         55.368 |         53.908 |          0.674 |         17.692 |          0.118 |    +114.38%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |        2048 |        227.815 |        227.991 |        228.103 |        227.985 |          0.027 |          8.366 |          0.002 |
            strrchr (LI-PaRAD) |        2048 |        102.922 |        103.051 |        104.316 |        103.162 |          0.222 |         18.489 |          0.041 |    +121.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |        4096 |        448.972 |        449.394 |        450.234 |        449.405 |          0.069 |          8.488 |          0.006 |
            strrchr (LI-PaRAD) |        4096 |        201.351 |        201.775 |        204.548 |        202.325 |          0.481 |         18.855 |          0.090 |    +122.12%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |        8192 |        892.703 |        893.023 |        893.594 |        893.047 |          0.023 |          8.543 |          0.002 |
            strrchr (LI-PaRAD) |        8192 |        398.514 |        399.055 |        400.497 |        399.218 |          0.108 |         19.111 |          0.021 |    +123.70%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |       16384 |       1784.865 |       1785.391 |       1785.996 |       1785.388 |          0.011 |          8.546 |          0.001 |
            strrchr (LI-PaRAD) |       16384 |        801.561 |        807.336 |        808.244 |        805.774 |          0.309 |         18.937 |          0.059 |    +121.57%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |       32768 |       3558.156 |       3561.252 |       3564.477 |       3561.443 |          0.044 |          8.569 |          0.004 |
            strrchr (LI-PaRAD) |       32768 |       1588.104 |       1591.286 |       1600.546 |       1592.251 |          0.194 |         19.166 |          0.037 |    +123.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |       65536 |       7108.659 |       7112.914 |       7121.558 |       7112.177 |          0.029 |          8.582 |          0.002 |
            strrchr (LI-PaRAD) |       65536 |       3168.050 |       3172.520 |       3180.045 |       3172.767 |          0.096 |         19.237 |          0.018 |    +124.16%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |      131072 |      13735.056 |      13740.600 |      13773.397 |      13740.810 |          0.028 |          8.884 |          0.002 |
            strrchr (LI-PaRAD) |      131072 |       6324.615 |       6331.383 |       6337.051 |       6331.032 |          0.048 |         19.281 |          0.009 |    +117.04%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |      262144 |      27363.320 |      27402.010 |      27461.560 |      27405.645 |          0.078 |          8.908 |          0.007 |
            strrchr (LI-PaRAD) |      262144 |      12620.970 |      12650.450 |      12688.470 |      12646.555 |          0.150 |         19.305 |          0.029 |    +116.70%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |      524288 |      54674.930 |      54766.170 |      54859.610 |      54765.702 |          0.057 |          8.916 |          0.005 |
            strrchr (LI-PaRAD) |      524288 |      25248.860 |      25271.780 |      25330.280 |      25275.581 |          0.085 |         19.318 |          0.016 |    +116.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |     1048576 |     109538.260 |     109739.620 |     109992.490 |     109740.863 |          0.070 |          8.899 |          0.006 |
            strrchr (LI-PaRAD) |     1048576 |      50532.050 |      50608.820 |      50712.540 |      50609.227 |          0.079 |         19.296 |          0.015 |    +116.84%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |     2097152 |     217901.300 |     219524.700 |     221399.900 |     219645.450 |          0.309 |          8.892 |          0.027 |
            strrchr (LI-PaRAD) |     2097152 |     100880.100 |     101197.600 |     102419.800 |     101187.606 |          0.390 |         19.302 |          0.075 |    +117.07%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |     4194304 |     435710.300 |     439763.100 |     443291.200 |     439780.076 |          0.361 |          8.882 |          0.032 |
            strrchr (LI-PaRAD) |     4194304 |     201694.800 |     202145.800 |     204531.600 |     202490.594 |          0.370 |         19.291 |          0.071 |    +117.19%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |     8388608 |     875227.900 |     882089.200 |     888897.100 |     881785.426 |          0.386 |          8.860 |          0.034 |
