        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |          64 |          4.714 |          4.719 |          4.738 |          4.720 |          0.110 |         12.628 |          0.014 |
            strrchr (LI-PaRAD) |          64 |          7.892 |          8.320 |          8.325 |          8.285 |          1.194 |          7.195 |          0.089 |     -43.03%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |         128 |          7.520 |          7.529 |          7.539 |          7.529 |          0.059 |         15.834 |          0.009 |
            strrchr (LI-PaRAD) |         128 |         10.398 |         10.400 |         10.432 |         10.401 |          0.036 |         11.461 |          0.004 |     -27.62%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |         256 |         12.610 |         12.641 |         12.720 |         12.646 |          0.178 |         18.853 |          0.034 |
            strrchr (LI-PaRAD) |         256 |         16.946 |         17.202 |         18.180 |         17.235 |          1.806 |         13.838 |          0.246 |     -26.62%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |         512 |         23.430 |         23.773 |         24.178 |         23.804 |          0.504 |         20.033 |          0.101 |
            strrchr (LI-PaRAD) |         512 |         29.059 |         29.094 |         31.814 |         29.373 |          1.919 |         16.239 |          0.300 |     -18.96%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |        1024 |         45.583 |         46.156 |         47.164 |         46.248 |          0.717 |         20.622 |          0.147 |
            strrchr (LI-PaRAD) |        1024 |         53.703 |         53.749 |         55.502 |         53.925 |          0.707 |         17.686 |          0.123 |     -14.24%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |        2048 |         91.534 |         92.813 |         92.883 |         92.778 |          0.191 |         20.558 |          0.040 |
            strrchr (LI-PaRAD) |        2048 |        103.024 |        103.046 |        103.728 |        103.116 |          0.175 |         18.497 |          0.032 |     -10.03%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |        4096 |        186.288 |        187.635 |        188.332 |        187.691 |          0.171 |         20.324 |          0.035 |
            strrchr (LI-PaRAD) |        4096 |        201.349 |        201.643 |        204.882 |        202.010 |          0.405 |         18.884 |          0.076 |      -7.09%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |        8192 |        366.582 |        366.926 |        380.154 |        367.097 |          0.370 |         20.783 |          0.074 |
            strrchr (LI-PaRAD) |        8192 |        398.514 |        398.954 |        402.082 |        399.453 |          0.207 |         19.100 |          0.039 |      -8.10%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |       16384 |        748.616 |        781.850 |        798.787 |        778.893 |          1.666 |         19.596 |          0.328 |
            strrchr (LI-PaRAD) |       16384 |        801.575 |        813.021 |        814.830 |        810.546 |          0.540 |         18.826 |          0.102 |      -3.91%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |       32768 |       1563.247 |       1574.129 |       1589.547 |       1574.405 |          0.561 |         19.384 |          0.109 |
            strrchr (LI-PaRAD) |       32768 |       1588.103 |       1591.108 |       1607.598 |       1593.904 |          0.365 |         19.147 |          0.070 |      -1.22%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |       65536 |       2951.271 |       3019.267 |       3129.278 |       3018.165 |          1.126 |         20.225 |          0.227 |
            strrchr (LI-PaRAD) |       65536 |       3168.310 |       3171.363 |       3175.389 |       3171.045 |          0.061 |         19.248 |          0.012 |      -4.82%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |      131072 |       6035.795 |       6151.222 |       6252.739 |       6138.707 |          0.958 |         19.887 |          0.191 |
            strrchr (LI-PaRAD) |      131072 |       6324.462 |       6326.988 |       6331.106 |       6327.003 |          0.025 |         19.294 |          0.005 |      -2.98%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |      262144 |      11707.390 |      12251.120 |      12537.480 |      12236.991 |          1.318 |         19.954 |          0.264 |
            strrchr (LI-PaRAD) |      262144 |      12618.410 |      12644.180 |      12734.480 |      12641.410 |          0.166 |         19.313 |          0.032 |      -3.20%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |      524288 |      24901.890 |      25105.180 |      25262.730 |      25095.523 |          0.259 |         19.457 |          0.050 |
            strrchr (LI-PaRAD) |      524288 |      25251.010 |      25267.780 |      25335.510 |      25271.495 |          0.084 |         19.321 |          0.016 |      -0.70%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |     1048576 |      49979.070 |      50092.950 |      50303.450 |      50094.423 |          0.102 |         19.494 |          0.020 |
            strrchr (LI-PaRAD) |     1048576 |      50510.910 |      50590.580 |      50697.330 |      50588.000 |          0.080 |         19.304 |          0.015 |      -0.98%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |     2097152 |     100828.600 |     101159.700 |     102164.300 |     101082.111 |          0.257 |         19.322 |          0.049 |
            strrchr (LI-PaRAD) |     2097152 |     100849.600 |     101161.100 |     102346.700 |     101168.627 |          0.418 |         19.306 |          0.080 |      -0.09%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |     4194304 |     201594.300 |     202080.900 |     211943.500 |     202407.246 |          0.685 |         19.300 |          0.128 |
            strrchr (LI-PaRAD) |     4194304 |     201700.600 |     202156.300 |     204760.400 |     202498.251 |          0.398 |         19.291 |          0.076 |      -0.04%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |     8388608 |     403542.900 |     404293.200 |     420090.700 |     404829.232 |          0.605 |         19.299 |          0.113 |
            strrchr (LI-PaRAD) |     8388608 |     404099.100 |     404665.500 |     412989.000 |     405707.023 |          0.457 |         19.257 |          0.088 |      -0.22%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |    16777216 |     806244.500 |     810406.500 |     849594.500 |     815738.792 |          1.320 |         19.158 |          0.247 |
            strrchr (LI-PaRAD) |    16777216 |     806717.500 |     809526.500 |     856249.500 |     814648.990 |          1.398 |         19.184 |          0.261 |      +0.13%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |    33554432 |    1606802.500 |    1616000.500 |    1628741.500 |    1616028.238 |          0.242 |         19.338 |          0.047 |
            strrchr (LI-PaRAD) |    33554432 |    1628358.000 |    1661854.500 |    1796316.500 |    1672908.411 |          2.273 |         18.689 |          0.415 |      -3.40%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |    67108864 |    3253842.000 |    3264013.000 |    3276480.000 |    3264055.510 |          0.109 |         19.148 |          0.021 |
            strrchr (LI-PaRAD) |    67108864 |    3329020.000 |    3435588.000 |    3559436.000 |    3436009.218 |          1.619 |         18.194 |          0.294 |      -5.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |   134217728 |    6572278.000 |    6582135.000 |    6597170.000 |    6582319.391 |          0.073 |         18.990 |          0.014 |
            strrchr (LI-PaRAD) |   134217728 |    6781967.000 |    6921233.500 |    7069494.000 |    6918414.911 |          0.952 |         18.069 |          0.172 |      -4.86%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |   268435456 |   13192503.500 |   13205670.000 |   13225210.000 |   13206236.144 |          0.048 |         18.930 |          0.009 |
            strrchr (LI-PaRAD) |   268435456 |   13721529.500 |   13902083.000 |   14112528.500 |   13909732.317 |          0.593 |         17.974 |          0.106 |      -5.06%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |   536870912 |   26420805.500 |   26442600.500 |   26461937.500 |   26442986.485 |          0.033 |         18.909 |          0.006 |
            strrchr (LI-PaRAD) |   536870912 |   27636595.000 |   27914180.500 |   28138284.000 |   27899236.738 |          0.416 |         17.922 |          0.075 |      -5.22%
