ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strrchr (LI-PaRAD)|64|7.879|8.089|8.095|8.084|0.444|7.374|0.034
strrchr (GNU libc 2.39)|64|4.846|4.85|4.878|4.851|0.091|12.288|0.011
strrchr (Arm OR 23.01)|64|13.862|13.869|13.898|13.869|0.034|4.298|0.001
strrchr (LI-PaRAD)|128|10.783|10.786|10.791|10.786|0.019|11.052|0.002
strrchr (GNU libc 2.39)|128|7.481|7.487|7.493|7.487|0.027|15.923|0.004
strrchr (Arm OR 23.01)|128|20.606|20.668|20.882|20.675|0.266|5.766|0.015
strrchr (LI-PaRAD)|256|20.028|20.031|20.037|20.032|0.01|11.902|0.001
strrchr (GNU libc 2.39)|256|12.421|12.428|12.436|12.428|0.019|19.184|0.004
strrchr (Arm OR 23.01)|256|32.356|32.36|32.393|32.36|0.012|7.368|0.001
strrchr (LI-PaRAD)|512|28.099|31.945|32.019|31.127|3.776|15.342|0.608
strrchr (GNU libc 2.39)|512|23.52|23.641|23.7|23.638|0.143|20.172|0.029
strrchr (Arm OR 23.01)|512|60.84|60.872|62.207|60.883|0.22|7.832|0.017
strrchr (LI-PaRAD)|1024|53.677|56.621|56.654|56.231|1.2|16.963|0.208
strrchr (GNU libc 2.39)|1024|45.197|45.842|47.178|45.945|0.894|20.758|0.183
strrchr (Arm OR 23.01)|1024|115.567|115.974|116.506|115.987|0.186|8.222|0.015
strrchr (LI-PaRAD)|2048|103.799|105.915|105.997|105.572|0.474|18.067|0.086
strrchr (GNU libc 2.39)|2048|93.01|93.994|94.429|93.944|0.248|20.303|0.051
strrchr (Arm OR 23.01)|2048|227.244|227.298|227.341|227.294|0.009|8.392|0.001
strrchr (LI-PaRAD)|4096|200.798|204.551|204.94|204.259|0.407|18.676|0.077
strrchr (GNU libc 2.39)|4096|187.031|193.682|194.018|193.15|0.857|19.751|0.173
strrchr (Arm OR 23.01)|4096|448.991|449.208|449.696|449.215|0.043|8.492|0.004
strrchr (LI-PaRAD)|8192|399.146|401.531|402.077|401.378|0.126|19.008|0.024
strrchr (GNU libc 2.39)|8192|335.039|335.552|370.125|338.232|2.069|22.566|0.441
strrchr (Arm OR 23.01)|8192|892.701|892.994|893.551|893.01|0.023|8.543|0.002
strrchr (LI-PaRAD)|16384|801.089|801.38|802.088|801.387|0.019|19.04|0.004
strrchr (GNU libc 2.39)|16384|727.985|737.521|767.628|742.807|1.236|20.545|0.251
strrchr (Arm OR 23.01)|16384|1786.117|1786.548|1787.092|1786.556|0.012|8.541|0.001
strrchr (LI-PaRAD)|32768|1587.724|1590.314|1594.308|1590.391|0.106|19.189|0.02
strrchr (GNU libc 2.39)|32768|1300.04|1305.017|1442.531|1311.889|1.505|23.267|0.331
strrchr (Arm OR 23.01)|32768|3558.374|3562.014|3564.423|3561.896|0.051|8.568|0.004
strrchr (LI-PaRAD)|65536|3171.462|3175.683|3182.634|3175.403|0.075|19.221|0.014
strrchr (GNU libc 2.39)|65536|2948.912|2983.305|3081.26|2985.558|0.65|20.444|0.131
strrchr (Arm OR 23.01)|65536|7114.326|7118.601|7123.5|7118.255|0.025|8.574|0.002
strrchr (LI-PaRAD)|131072|6325.379|6329.032|6336.237|6329.027|0.032|19.287|0.006
strrchr (GNU libc 2.39)|131072|6102.039|6139.481|6182.75|6139.479|0.25|19.883|0.05
strrchr (Arm OR 23.01)|131072|14203.298|14207.201|14235.833|14207.337|0.025|8.592|0.002
strrchr (LI-PaRAD)|262144|12623.48|12645.95|12693.25|12645.855|0.158|19.306|0.03
strrchr (GNU libc 2.39)|262144|11651.62|12098.55|12607.33|12107.868|1.439|20.168|0.29
strrchr (Arm OR 23.01)|262144|26462.38|27168.57|28436.83|27293.761|2.41|8.95|0.213
strrchr (LI-PaRAD)|524288|25251.18|25266.81|25334.23|25274.115|0.082|19.319|0.016
strrchr (GNU libc 2.39)|524288|23576.67|24430.84|24899.7|24372.988|1.029|20.036|0.208
strrchr (Arm OR 23.01)|524288|52779.83|54773.06|56838.2|54717.677|2.123|8.928|0.189
strrchr (LI-PaRAD)|1048576|50529.36|50591.41|50713.2|50595.09|0.072|19.302|0.014
strrchr (GNU libc 2.39)|1048576|50259.61|50369.81|50692.33|50371.953|0.106|19.387|0.02
strrchr (Arm OR 23.01)|1048576|113639.8|113709.5|113805.81|113706.466|0.029|8.588|0.002
strrchr (LI-PaRAD)|2097152|100868.2|101180.5|102399.7|101161.106|0.352|19.307|0.068
strrchr (GNU libc 2.39)|2097152|100412.3|101087.6|102912.9|101108.473|0.325|19.317|0.062
strrchr (Arm OR 23.01)|2097152|227210.9|227297.2|228272.2|227418.499|0.099|8.588|0.008
strrchr (LI-PaRAD)|4194304|202014.0|202174.4|205429.0|202535.082|0.386|19.287|0.074
strrchr (GNU libc 2.39)|4194304|201499.8|202055.2|209504.8|202305.864|0.539|19.309|0.101
strrchr (Arm OR 23.01)|4194304|454711.1|455143.6|458000.0|455223.285|0.106|8.581|0.009
strrchr (LI-PaRAD)|8388608|404113.2|404504.8|412067.1|405572.759|0.444|19.263|0.085
strrchr (GNU libc 2.39)|8388608|403737.9|404313.9|417419.2|404753.671|0.508|19.302|0.096
strrchr (Arm OR 23.01)|8388608|909139.6|909709.4|912706.8|909754.497|0.062|8.587|0.005
strrchr (LI-PaRAD)|16777216|808896.0|813973.0|851275.0|821744.356|1.665|19.02|0.312
strrchr (GNU libc 2.39)|16777216|800959.0|807433.0|827844.0|809551.104|0.848|19.302|0.162
strrchr (Arm OR 23.01)|16777216|1816702.5|1820304.5|1829647.0|1820495.703|0.119|8.583|0.01
strrchr (LI-PaRAD)|33554432|1628528.5|1674522.0|1798218.5|1681078.926|2.576|18.601|0.47
strrchr (GNU libc 2.39)|33554432|1608582.0|1617922.5|1634002.5|1617321.822|0.251|19.322|0.048
strrchr (Arm OR 23.01)|33554432|3493298.0|3645922.0|3652101.5|3632481.218|0.939|8.604|0.083
strrchr (LI-PaRAD)|67108864|3344788.5|3434992.5|3583889.5|3442061.871|1.603|18.162|0.289
strrchr (GNU libc 2.39)|67108864|3252011.5|3257436.0|3273067.5|3257473.287|0.099|19.187|0.019
strrchr (Arm OR 23.01)|67108864|7018169.5|7133547.0|7248383.5|7132908.069|0.716|8.763|0.063
strrchr (LI-PaRAD)|134217728|6829176.5|6983765.5|7124713.0|6978745.579|0.939|17.913|0.168
strrchr (GNU libc 2.39)|134217728|6549381.5|6561495.0|6575754.0|6561306.564|0.069|19.051|0.013
strrchr (Arm OR 23.01)|134217728|14198216.0|14556179.0|14563117.0|14478876.421|0.842|8.634|0.073
strrchr (LI-PaRAD)|268435456|13799696.0|14000549.0|14202447.5|13999059.866|0.586|17.859|0.105
strrchr (GNU libc 2.39)|268435456|13145220.0|13208986.5|13247112.0|13200682.634|0.242|18.939|0.046
strrchr (Arm OR 23.01)|268435456|29110594.5|29115303.5|29123545.5|29115440.837|0.007|8.587|0.001
strrchr (LI-PaRAD)|536870912|27756799.5|28094824.5|28353654.0|28089061.213|0.405|17.801|0.072
strrchr (GNU libc 2.39)|536870912|26380860.5|26417587.5|26518442.5|26437846.505|0.176|18.912|0.033
strrchr (Arm OR 23.01)|536870912|56932512.5|57276292.0|57623330.0|57272202.134|0.212|8.73|0.019
