        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |          64 |          3.303 |          3.309 |          3.366 |          3.310 |          0.193 |         18.009 |          0.034 |
             memcmp (LI-PaRAD) |          64 |          4.332 |          4.386 |          4.812 |          4.414 |          2.180 |         13.511 |          0.287 |     -25.01%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |         128 |          6.161 |          6.163 |          6.191 |          6.164 |          0.049 |         19.341 |          0.009 |
             memcmp (LI-PaRAD) |         128 |          7.701 |          8.269 |          8.753 |          8.239 |          3.203 |         14.484 |          0.469 |     -25.19%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |         256 |          7.116 |          7.121 |          7.124 |          7.120 |          0.028 |         33.485 |          0.009 |
             memcmp (LI-PaRAD) |         256 |         13.672 |         13.921 |         14.186 |         13.914 |          0.904 |         17.137 |          0.155 |     -48.83%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |         512 |         14.355 |         15.015 |         15.054 |         14.926 |          1.329 |         31.953 |          0.436 |
             memcmp (LI-PaRAD) |         512 |         26.067 |         26.662 |         27.169 |         26.638 |          1.107 |         17.903 |          0.198 |     -43.97%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |        1024 |         28.404 |         28.447 |         28.496 |         28.449 |          0.075 |         33.523 |          0.025 |
             memcmp (LI-PaRAD) |        1024 |         51.747 |         51.868 |         52.567 |         51.969 |          0.413 |         18.351 |          0.075 |     -45.26%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |        2048 |         55.527 |         55.863 |         55.960 |         55.837 |          0.148 |         34.159 |          0.051 |
             memcmp (LI-PaRAD) |        2048 |        102.063 |        102.552 |        102.916 |        102.533 |          0.180 |         18.602 |          0.033 |     -45.54%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |        4096 |        107.716 |        108.020 |        108.329 |        107.967 |          0.170 |         35.332 |          0.060 |
             memcmp (LI-PaRAD) |        4096 |        201.428 |        202.787 |        204.344 |        202.903 |          0.209 |         18.801 |          0.039 |     -46.79%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |        8192 |        213.125 |        213.478 |        214.046 |        213.471 |          0.096 |         35.740 |          0.034 |
             memcmp (LI-PaRAD) |        8192 |        403.994 |        405.510 |        406.767 |        405.543 |          0.091 |         18.813 |          0.017 |     -47.36%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |       16384 |        426.029 |        427.236 |        428.881 |        427.243 |          0.131 |         35.715 |          0.047 |
             memcmp (LI-PaRAD) |       16384 |        811.231 |        811.474 |        814.347 |        811.498 |          0.039 |         18.803 |          0.007 |     -47.35%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |       32768 |        882.191 |        883.210 |        887.821 |        884.295 |          0.202 |         34.511 |          0.069 |
             memcmp (LI-PaRAD) |       32768 |       1621.197 |       1624.222 |       1626.647 |       1623.909 |          0.089 |         18.793 |          0.017 |     -45.55%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |       65536 |       1901.438 |       1905.680 |       1908.778 |       1905.767 |          0.062 |         32.027 |          0.020 |
             memcmp (LI-PaRAD) |       65536 |       3240.969 |       3244.265 |       3248.305 |       3243.794 |          0.055 |         18.816 |          0.010 |     -41.25%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |      131072 |       3686.423 |       3690.666 |       3693.656 |       3690.326 |          0.046 |         33.078 |          0.015 |
             memcmp (LI-PaRAD) |      131072 |       6480.729 |       6483.448 |       6488.535 |       6483.691 |          0.028 |         18.827 |          0.005 |     -43.08%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |      262144 |       7559.010 |       7566.970 |       7632.290 |       7579.302 |          0.260 |         32.212 |          0.084 |
             memcmp (LI-PaRAD) |      262144 |      12875.190 |      12974.060 |      13003.670 |      12965.398 |          0.153 |         18.830 |          0.029 |     -41.54%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |      524288 |      15490.790 |      15628.740 |      16339.670 |      15630.174 |          0.559 |         31.241 |          0.169 |
             memcmp (LI-PaRAD) |      524288 |      25922.860 |      25974.320 |      26030.520 |      25976.105 |          0.091 |         18.797 |          0.017 |     -39.83%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |     1048576 |      31453.630 |      31702.120 |      35541.840 |      31994.365 |          2.279 |         30.538 |          0.662 |
             memcmp (LI-PaRAD) |     1048576 |      51740.350 |      51850.210 |      51907.470 |      51846.761 |          0.068 |         18.836 |          0.013 |     -38.29%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |     2097152 |      80118.600 |      80770.000 |      81751.800 |      80791.199 |          0.453 |         24.175 |          0.109 |
             memcmp (LI-PaRAD) |     2097152 |     103323.700 |     103757.000 |     104287.100 |     103797.846 |          0.234 |         18.817 |          0.044 |     -22.16%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |     4194304 |     163217.700 |     163883.000 |     169740.400 |     163934.644 |          0.443 |         23.829 |          0.103 |
             memcmp (LI-PaRAD) |     4194304 |     207019.800 |     207711.300 |     208324.100 |     207642.157 |          0.100 |         18.812 |          0.019 |     -21.05%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |     8388608 |     328517.900 |     329283.600 |     346078.100 |     329556.871 |          0.605 |         23.707 |          0.138 |
             memcmp (LI-PaRAD) |     8388608 |     415997.300 |     416427.300 |     417506.100 |     416478.004 |          0.062 |         18.759 |          0.012 |     -20.87%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |    16777216 |     691853.500 |     697356.000 |     742474.000 |     699686.248 |          1.119 |         22.334 |          0.243 |
             memcmp (LI-PaRAD) |    16777216 |     829286.000 |     834505.000 |     840763.500 |     834402.837 |          0.275 |         18.726 |          0.051 |     -16.15%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |    33554432 |    1581899.500 |    1587689.000 |    1616703.000 |    1588248.391 |          0.263 |         19.676 |          0.051 |
             memcmp (LI-PaRAD) |    33554432 |    1716998.500 |    1723334.500 |    1730308.000 |    1722742.322 |          0.148 |         18.140 |          0.027 |      -7.81%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |    67108864 |    3450308.500 |    3455527.000 |    3542480.000 |    3457383.535 |          0.301 |         18.077 |          0.053 |
             memcmp (LI-PaRAD) |    67108864 |    3530718.000 |    3536175.500 |    3543066.500 |    3536148.787 |          0.065 |         17.675 |          0.011 |      -2.23%
