        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |          64 |          2.310 |          2.311 |          2.358 |          2.312 |          0.216 |         25.780 |          0.055 |
             memcpy (LI-PaRAD) |          64 |          2.695 |          2.697 |          2.701 |          2.697 |          0.067 |         22.101 |          0.015 |     -14.27%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |         128 |          2.697 |          2.890 |          3.139 |          2.924 |          4.367 |         40.846 |          1.787 |
             memcpy (LI-PaRAD) |         128 |          3.848 |          3.853 |          3.855 |          3.852 |          0.030 |         30.944 |          0.009 |     -24.10%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |         256 |          3.850 |          3.939 |          4.092 |          3.943 |          1.514 |         60.480 |          0.911 |
             memcpy (LI-PaRAD) |         256 |          7.317 |          7.322 |          7.327 |          7.322 |          0.025 |         32.562 |          0.008 |     -46.15%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |         512 |          6.539 |          6.539 |          6.601 |          6.549 |          0.247 |         72.810 |          0.179 |
             memcpy (LI-PaRAD) |         512 |         13.847 |         13.870 |         13.902 |         13.868 |          0.120 |         34.383 |          0.041 |     -52.78%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |        1024 |         12.693 |         13.237 |         13.509 |         13.199 |          1.358 |         72.265 |          0.994 |
             memcpy (LI-PaRAD) |        1024 |         26.177 |         26.187 |         26.238 |         26.194 |          0.062 |         36.409 |          0.022 |     -49.61%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |        2048 |         25.624 |         26.368 |         28.177 |         26.356 |          0.975 |         72.376 |          0.687 |
             memcpy (LI-PaRAD) |        2048 |         50.820 |         50.851 |         51.174 |         50.855 |          0.075 |         37.506 |          0.028 |     -48.17%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |        4096 |         52.872 |         57.168 |         60.961 |         56.795 |          3.359 |         67.241 |          2.263 |
             memcpy (LI-PaRAD) |        4096 |        100.003 |        100.230 |        100.602 |        100.174 |          0.182 |         38.081 |          0.069 |     -43.30%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |        8192 |        103.707 |        111.691 |        123.724 |        111.199 |          3.084 |         68.673 |          2.059 |
             memcpy (LI-PaRAD) |        8192 |        198.666 |        198.783 |        199.080 |        198.792 |          0.046 |         38.379 |          0.018 |     -44.06%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |       16384 |        208.675 |        220.079 |        239.337 |        218.814 |          2.242 |         69.769 |          1.567 |
             memcpy (LI-PaRAD) |       16384 |        402.488 |        402.619 |        403.084 |        402.626 |          0.030 |         37.898 |          0.011 |     -45.65%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |       32768 |        429.070 |        440.974 |        462.520 |        442.994 |          1.972 |         68.916 |          1.342 |
             memcpy (LI-PaRAD) |       32768 |        795.880 |        795.882 |        801.936 |        797.235 |          0.223 |         38.279 |          0.085 |     -44.43%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |       65536 |        906.034 |        908.830 |        919.209 |        909.720 |          0.340 |         67.093 |          0.227 |
             memcpy (LI-PaRAD) |       65536 |       1583.655 |       1586.023 |       1592.166 |       1586.272 |          0.111 |         38.477 |          0.043 |     -42.65%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |      131072 |       2236.628 |       2237.991 |       2243.044 |       2238.461 |          0.067 |         54.533 |          0.036 |
             memcpy (LI-PaRAD) |      131072 |       3161.398 |       3164.540 |       3167.139 |       3164.134 |          0.059 |         38.579 |          0.023 |     -29.26%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |      262144 |       4410.620 |       4417.480 |       4475.580 |       4425.621 |          0.390 |         55.166 |          0.214 |
             memcpy (LI-PaRAD) |      262144 |       6310.400 |       6310.420 |       6369.000 |       6322.498 |          0.291 |         38.615 |          0.112 |     -30.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |      524288 |      11192.590 |      11733.420 |      12179.560 |      11746.954 |          1.755 |         41.579 |          0.732 |
             memcpy (LI-PaRAD) |      524288 |      13941.080 |      14862.010 |      15534.210 |      14827.966 |          1.977 |         32.943 |          0.658 |     -20.78%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |     1048576 |      21828.900 |      22760.320 |      24346.220 |      22855.897 |          2.655 |         42.756 |          1.120 |
             memcpy (LI-PaRAD) |     1048576 |      25742.790 |      26001.780 |      27180.240 |      26068.667 |          0.884 |         37.464 |          0.325 |     -12.32%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |     2097152 |      53022.500 |      53384.900 |      58979.900 |      53756.549 |          1.790 |         36.344 |          0.619 |
             memcpy (LI-PaRAD) |     2097152 |      55530.100 |      56395.700 |      59054.600 |      56549.537 |          1.137 |         34.543 |          0.385 |      -4.94%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |     4194304 |     115534.000 |     116494.500 |     119649.400 |     116448.220 |          0.448 |         33.546 |          0.149 |
             memcpy (LI-PaRAD) |     4194304 |     118611.400 |     119969.800 |     120830.400 |     119940.483 |          0.414 |         32.569 |          0.135 |      -2.91%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |     8388608 |     242043.500 |     242622.100 |     244876.900 |     242798.924 |          0.212 |         32.177 |          0.068 |
             memcpy (LI-PaRAD) |     8388608 |     244210.400 |     246398.100 |     247852.800 |     246333.741 |          0.254 |         31.715 |          0.081 |      -1.43%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |    16777216 |     492118.000 |     495210.000 |     513597.000 |     495075.752 |          0.586 |         31.562 |          0.182 |
             memcpy (LI-PaRAD) |    16777216 |     494610.000 |     498211.500 |     500894.500 |     497868.510 |          0.386 |         31.384 |          0.121 |      -0.56%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |    33554432 |     998749.500 |    1006310.000 |    1106214.500 |    1009821.495 |          1.393 |         30.952 |          0.405 |
             memcpy (LI-PaRAD) |    33554432 |    1027714.000 |    1035266.000 |    1040441.000 |    1035317.465 |          0.230 |         30.184 |          0.069 |      -2.46%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |    67108864 |    2267887.500 |    2277427.500 |    2387256.000 |    2279391.554 |          0.535 |         27.420 |          0.141 |
             memcpy (LI-PaRAD) |    67108864 |    2353153.000 |    2360025.000 |    2372493.000 |    2360368.000 |          0.148 |         26.479 |          0.039 |      -3.43%
