        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |          64 |          7.939 |          7.956 |          8.020 |          7.958 |          0.136 |          7.489 |          0.010 |
             strcmp (LI-PaRAD) |          64 |          7.959 |          7.962 |          7.967 |          7.962 |          0.013 |          7.486 |          0.001 |      -0.04%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |         128 |         15.535 |         15.555 |         15.599 |         15.556 |          0.093 |          7.663 |          0.007 |
             strcmp (LI-PaRAD) |         128 |         13.094 |         13.099 |         13.108 |         13.098 |          0.017 |          9.101 |          0.002 |     +18.76%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |         256 |         29.308 |         29.376 |         29.887 |         29.381 |          0.226 |          8.115 |          0.018 |
             strcmp (LI-PaRAD) |         256 |         21.826 |         21.831 |         21.858 |         21.831 |          0.015 |         10.921 |          0.002 |     +34.59%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |         512 |         56.795 |         57.146 |         58.001 |         57.194 |          0.393 |          8.337 |          0.033 |
             strcmp (LI-PaRAD) |         512 |         40.307 |         40.319 |         40.385 |         40.321 |          0.024 |         11.826 |          0.003 |     +41.85%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |        1024 |        113.169 |        113.721 |        114.350 |        113.730 |          0.251 |          8.385 |          0.021 |
             strcmp (LI-PaRAD) |        1024 |         77.258 |         77.306 |         77.328 |         77.303 |          0.017 |         12.337 |          0.002 |     +47.12%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |        2048 |        225.869 |        227.208 |        227.811 |        227.111 |          0.190 |          8.398 |          0.016 |
             strcmp (LI-PaRAD) |        2048 |        151.206 |        151.267 |        151.331 |        151.264 |          0.015 |         12.609 |          0.002 |     +50.14%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |        4096 |        423.170 |        430.798 |        443.245 |        430.558 |          0.809 |          8.860 |          0.071 |
             strcmp (LI-PaRAD) |        4096 |        298.950 |        299.194 |        299.664 |        299.183 |          0.058 |         12.750 |          0.007 |     +43.91%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |        8192 |        849.995 |        860.024 |        874.425 |        859.691 |          0.373 |          8.875 |          0.033 |
             strcmp (LI-PaRAD) |        8192 |        594.747 |        595.053 |        595.261 |        595.043 |          0.018 |         12.822 |          0.002 |     +44.48%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |       16384 |       1702.031 |       1704.483 |       1722.844 |       1706.279 |          0.209 |          8.943 |          0.019 |
             strcmp (LI-PaRAD) |       16384 |       1196.500 |       1196.928 |       1197.597 |       1196.927 |          0.017 |         12.748 |          0.002 |     +42.55%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |       32768 |       3384.466 |       3389.792 |       3393.843 |       3389.656 |          0.065 |          9.003 |          0.006 |
             strcmp (LI-PaRAD) |       32768 |       2380.566 |       2381.519 |       2385.725 |       2382.125 |          0.059 |         12.811 |          0.007 |     +42.30%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |       65536 |       6679.320 |       6684.693 |       6732.575 |       6685.286 |          0.082 |          9.130 |          0.007 |
             strcmp (LI-PaRAD) |       65536 |       4746.535 |       4748.963 |       4753.039 |       4749.284 |          0.040 |         12.851 |          0.005 |     +40.76%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |      131072 |      12207.080 |      12214.105 |      12222.774 |      12214.423 |          0.024 |          9.994 |          0.002 |
             strcmp (LI-PaRAD) |      131072 |       9489.264 |       9494.054 |       9523.176 |       9493.920 |          0.037 |         12.858 |          0.005 |     +28.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |      262144 |      26650.270 |      26725.820 |      26998.000 |      26735.277 |          0.243 |          9.132 |          0.022 |
             strcmp (LI-PaRAD) |      262144 |      18946.160 |      18982.530 |      19003.100 |      18984.238 |          0.057 |         12.860 |          0.007 |     +40.83%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |      524288 |      53303.360 |      53517.000 |      54703.260 |      53545.659 |          0.319 |          9.119 |          0.029 |
             strcmp (LI-PaRAD) |      524288 |      37931.250 |      37989.980 |      38048.890 |      37989.718 |          0.060 |         12.853 |          0.008 |     +40.95%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |     1048576 |     106534.510 |     107128.110 |     107747.760 |     107157.347 |          0.271 |          9.113 |          0.025 |
             strcmp (LI-PaRAD) |     1048576 |      75804.900 |      75888.930 |      75994.870 |      75889.710 |          0.057 |         12.868 |          0.007 |     +41.20%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |     2097152 |     214693.500 |     217394.400 |     223855.700 |     217411.759 |          0.580 |          8.984 |          0.052 |
             strcmp (LI-PaRAD) |     2097152 |     151314.000 |     151714.800 |     153887.300 |     151869.600 |          0.335 |         12.861 |          0.043 |     +43.16%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |     4194304 |     426387.800 |     434836.500 |     462266.800 |     434985.608 |          1.161 |          8.981 |          0.101 |
             strcmp (LI-PaRAD) |     4194304 |     302942.800 |     304257.700 |     307001.500 |     304316.047 |          0.370 |         12.836 |          0.047 |     +42.94%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |     8388608 |     854300.700 |     867612.900 |     913086.200 |     868781.033 |          1.090 |          8.994 |          0.096 |
