        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          64 |          4.505 |          4.510 |          4.554 |          4.510 |          0.110 |         13.216 |          0.014 |
             strcpy (LI-PaRAD) |          64 |          3.464 |          3.594 |          3.855 |          3.595 |          3.469 |         16.600 |          0.564 |     +25.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |         128 |          7.189 |          7.193 |          7.199 |          7.193 |          0.030 |         16.572 |          0.005 |
             strcpy (LI-PaRAD) |         128 |          4.620 |          4.622 |          4.630 |          4.623 |          0.038 |         25.788 |          0.010 |     +55.61%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |         256 |         12.454 |         12.458 |         12.467 |         12.458 |          0.018 |         19.138 |          0.003 |
             strcpy (LI-PaRAD) |         256 |          7.781 |          8.785 |          9.042 |          8.681 |          3.460 |         27.499 |          1.013 |     +43.51%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |         512 |         22.931 |         22.950 |         29.552 |         23.019 |          2.853 |         20.728 |          0.462 |
             strcpy (LI-PaRAD) |         512 |         13.847 |         14.066 |         17.157 |         14.645 |          7.768 |         32.738 |          2.320 |     +57.18%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |        1024 |         43.963 |         44.114 |         44.483 |         44.124 |          0.167 |         21.613 |          0.036 |
             strcpy (LI-PaRAD) |        1024 |         27.184 |         27.243 |         33.107 |         27.839 |          3.875 |         34.304 |          1.232 |     +58.50%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |        2048 |         87.308 |         88.257 |         88.697 |         88.185 |          0.385 |         21.629 |          0.083 |
             strcpy (LI-PaRAD) |        2048 |         54.614 |         57.400 |         57.430 |         57.136 |          1.123 |         33.387 |          0.387 |     +54.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |        4096 |        172.539 |        176.516 |        178.469 |        176.260 |          0.650 |         21.643 |          0.142 |
             strcpy (LI-PaRAD) |        4096 |        102.887 |        103.111 |        105.168 |        103.075 |          0.266 |         37.009 |          0.097 |     +71.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |        8192 |        361.095 |        367.054 |        381.412 |        367.502 |          0.877 |         20.762 |          0.180 |
             strcpy (LI-PaRAD) |        8192 |        200.224 |        200.613 |        201.029 |        200.612 |          0.062 |         38.031 |          0.024 |     +83.19%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |       16384 |        747.040 |        763.134 |        767.172 |        762.944 |          0.260 |         20.000 |          0.053 |
             strcpy (LI-PaRAD) |       16384 |        405.936 |        406.071 |        408.753 |        406.098 |          0.082 |         37.574 |          0.031 |     +87.87%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |       32768 |       1539.769 |       1549.771 |       1572.613 |       1550.327 |          0.269 |         19.685 |          0.053 |
             strcpy (LI-PaRAD) |       32768 |        799.260 |        799.269 |        806.171 |        800.720 |          0.244 |         38.113 |          0.093 |     +93.62%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |       65536 |       3125.040 |       3134.613 |       3143.040 |       3134.619 |          0.104 |         19.471 |          0.020 |
             strcpy (LI-PaRAD) |       65536 |       1590.120 |       1593.252 |       1596.803 |       1593.210 |          0.108 |         38.310 |          0.041 |     +96.75%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |      131072 |       6290.582 |       6294.729 |       6300.730 |       6294.821 |          0.032 |         19.392 |          0.006 |
             strcpy (LI-PaRAD) |      131072 |       3173.127 |       3177.600 |       3181.727 |       3177.170 |          0.072 |         38.421 |          0.028 |     +98.13%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |      262144 |      12582.680 |      12620.580 |      12651.170 |      12613.116 |          0.169 |         19.356 |          0.033 |
             strcpy (LI-PaRAD) |      262144 |       6323.590 |       6324.750 |       6399.630 |       6340.801 |          0.394 |         38.504 |          0.151 |     +98.92%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |      524288 |      25249.490 |      25421.990 |      25900.180 |      25451.550 |          0.522 |         19.185 |          0.100 |
             strcpy (LI-PaRAD) |      524288 |      14764.370 |      15060.650 |      15561.320 |      15087.277 |          1.045 |         32.367 |          0.335 |     +68.70%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |     1048576 |      50597.340 |      50691.420 |      50872.480 |      50691.403 |          0.095 |         19.265 |          0.018 |
             strcpy (LI-PaRAD) |     1048576 |      26126.900 |      27505.120 |      28981.060 |      27464.812 |          1.956 |         35.570 |          0.701 |     +84.57%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |     2097152 |     100824.000 |     101260.300 |     101896.600 |     101196.802 |          0.319 |         19.300 |          0.061 |
             strcpy (LI-PaRAD) |     2097152 |      55278.700 |      56197.200 |      58004.300 |      56310.899 |          1.103 |         34.689 |          0.380 |     +79.71%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |     4194304 |     202291.300 |     203259.500 |     207803.600 |     203648.848 |          0.616 |         19.182 |          0.117 |
             strcpy (LI-PaRAD) |     4194304 |     118474.400 |     119807.300 |     121276.300 |     119678.303 |          0.607 |         32.641 |          0.198 |     +70.16%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |     8388608 |     405203.500 |     407618.700 |     408846.200 |     407249.001 |          0.259 |         19.184 |          0.050 |
             strcpy (LI-PaRAD) |     8388608 |     244065.900 |     245520.800 |     248044.400 |     245636.078 |          0.385 |         31.806 |          0.122 |     +65.79%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |    16777216 |     809037.500 |     814136.000 |     819954.000 |     813618.416 |          0.283 |         19.204 |          0.054 |
             strcpy (LI-PaRAD) |    16777216 |     494380.000 |     500655.000 |     515193.500 |     500733.436 |          1.059 |         31.208 |          0.329 |     +62.49%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |    33554432 |    1625220.000 |    1633797.000 |    1647650.500 |    1634424.193 |          0.311 |         19.120 |          0.059 |
             strcpy (LI-PaRAD) |    33554432 |    1021941.000 |    1043860.000 |    1064705.500 |    1044357.322 |          0.860 |         29.925 |          0.257 |     +56.50%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |    67108864 |    3285084.000 |    3295075.000 |    3318414.500 |    3296619.228 |          0.238 |         18.959 |          0.045 |
             strcpy (LI-PaRAD) |    67108864 |    2359090.000 |    2385698.000 |    2417362.500 |    2385141.441 |          0.534 |         26.205 |          0.140 |     +38.21%
