        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |          64 |          4.024 |          4.118 |          4.164 |          4.100 |          0.851 |         14.539 |          0.125 |
             strlen (LI-PaRAD) |          64 |          3.464 |          3.674 |          3.821 |          3.655 |          2.802 |         16.320 |          0.460 |     +12.17%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |         128 |          5.127 |          5.159 |          5.170 |          5.157 |          0.178 |         23.116 |          0.041 |
             strlen (LI-PaRAD) |         128 |          5.190 |          5.507 |          5.648 |          5.482 |          2.052 |         21.753 |          0.452 |      -5.93%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |         256 |          7.928 |          7.971 |          8.224 |          7.975 |          0.445 |         29.898 |          0.131 |
             strlen (LI-PaRAD) |         256 |          8.409 |          8.995 |          9.447 |          8.991 |          3.136 |         26.544 |          0.835 |     -11.30%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |         512 |         13.206 |         13.738 |         14.219 |         13.759 |          2.469 |         34.678 |          0.860 |
             strlen (LI-PaRAD) |         512 |         13.846 |         13.871 |         13.928 |         13.869 |          0.129 |         34.380 |          0.044 |      -0.80%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |        1024 |         25.372 |         25.996 |         26.443 |         25.918 |          1.069 |         36.799 |          0.396 |
             strlen (LI-PaRAD) |        1024 |         27.332 |         27.350 |         34.647 |         27.432 |          2.659 |         34.784 |          0.736 |      -5.52%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |        2048 |         47.047 |         49.307 |         50.069 |         49.274 |          1.172 |         38.714 |          0.461 |
             strlen (LI-PaRAD) |        2048 |         51.978 |         52.009 |         56.058 |         52.048 |          0.775 |         36.648 |          0.264 |      -5.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |        4096 |         85.532 |         98.459 |        100.052 |         96.622 |          3.917 |         39.545 |          1.647 |
             strlen (LI-PaRAD) |        4096 |        101.157 |        101.400 |        101.781 |        101.327 |          0.175 |         37.647 |          0.066 |      -4.64%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |        8192 |        186.937 |        196.959 |        198.673 |        196.238 |          1.241 |         38.884 |          0.495 |
             strlen (LI-PaRAD) |        8192 |        199.855 |        199.909 |        200.723 |        199.944 |          0.062 |         38.158 |          0.023 |      -1.85%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |       16384 |        330.082 |        364.434 |        389.488 |        361.822 |          3.841 |         42.234 |          1.642 |
             strlen (LI-PaRAD) |       16384 |        403.443 |        403.562 |        405.317 |        403.593 |          0.052 |         37.807 |          0.020 |     -10.35%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |       32768 |        646.200 |        708.562 |        800.312 |        718.929 |          6.118 |         42.604 |          2.562 |
             strlen (LI-PaRAD) |       32768 |        797.803 |        797.807 |        803.213 |        799.129 |          0.216 |         38.189 |          0.082 |     -10.04%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |       65536 |       1348.134 |       1475.243 |       1591.742 |       1469.598 |          5.911 |         41.677 |          2.479 |
             strlen (LI-PaRAD) |       65536 |       1589.547 |       1592.307 |       1600.335 |       1592.323 |          0.123 |         38.331 |          0.047 |      -7.71%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |      131072 |       2792.897 |       3023.249 |       3175.201 |       3015.580 |          4.095 |         40.548 |          1.683 |
             strlen (LI-PaRAD) |      131072 |       3167.920 |       3171.027 |       3174.871 |       3170.793 |          0.063 |         38.498 |          0.024 |      -4.90%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |      262144 |       5510.400 |       6147.820 |       6360.220 |       6002.338 |          5.459 |         40.796 |          2.247 |
             strlen (LI-PaRAD) |      262144 |       6317.930 |       6321.170 |       6380.380 |       6331.022 |          0.283 |         38.563 |          0.109 |      -5.19%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |      524288 |      11272.180 |      12448.880 |      12665.950 |      12190.551 |          3.996 |         40.119 |          1.635 |
             strlen (LI-PaRAD) |      524288 |      12619.480 |      12652.740 |      12682.570 |      12646.165 |          0.161 |         38.611 |          0.062 |      -3.60%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |     1048576 |      23495.200 |      23981.210 |      24881.150 |      24021.228 |          1.230 |         40.660 |          0.497 |
             strlen (LI-PaRAD) |     1048576 |      25385.750 |      25433.640 |      25569.100 |      25438.472 |          0.141 |         38.389 |          0.054 |      -5.57%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |     2097152 |      47779.900 |      50405.900 |      50916.200 |      50217.385 |          1.063 |         38.898 |          0.423 |
             strlen (LI-PaRAD) |     2097152 |      50472.000 |      50478.600 |      51340.300 |      50625.376 |          0.521 |         38.581 |          0.199 |      -0.81%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |     4194304 |      98745.300 |     100836.400 |     101631.500 |     100743.065 |          0.514 |         38.775 |          0.201 |
             strlen (LI-PaRAD) |     4194304 |     100893.400 |     101308.200 |     102580.900 |     101320.846 |          0.447 |         38.554 |          0.172 |      -0.57%
