        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |          64 |         10.757 |         10.951 |         11.095 |         10.955 |          0.672 |          5.441 |          0.037 |
            strncmp (LI-PaRAD) |          64 |          7.123 |          7.127 |          7.130 |          7.127 |          0.025 |          8.363 |          0.002 |     +53.71%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |         128 |         19.670 |         19.921 |         20.011 |         19.901 |          0.405 |          5.990 |          0.024 |
            strncmp (LI-PaRAD) |         128 |         13.905 |         13.978 |         14.059 |         13.979 |          0.186 |          8.528 |          0.016 |     +42.36%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |         256 |         37.958 |         38.013 |         38.078 |         38.015 |          0.037 |          6.272 |          0.002 |
            strncmp (LI-PaRAD) |         256 |         25.894 |         26.014 |         26.135 |         26.014 |          0.182 |          9.165 |          0.017 |     +46.13%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |         512 |         74.256 |         74.366 |         74.811 |         74.371 |          0.081 |          6.412 |          0.005 |
            strncmp (LI-PaRAD) |         512 |         51.036 |         51.621 |         52.257 |         51.659 |          0.553 |          9.231 |          0.051 |     +43.97%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |        1024 |        146.462 |        147.171 |        147.587 |        147.160 |          0.081 |          6.481 |          0.005 |
            strncmp (LI-PaRAD) |        1024 |         99.796 |        101.752 |        102.986 |        101.556 |          0.682 |          9.391 |          0.064 |     +44.90%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |        2048 |        292.577 |        292.890 |        293.553 |        292.893 |          0.075 |          6.512 |          0.005 |
            strncmp (LI-PaRAD) |        2048 |        198.732 |        200.331 |        201.597 |        200.266 |          0.292 |          9.524 |          0.028 |     +46.25%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |        4096 |        579.844 |        592.700 |        596.147 |        592.251 |          0.416 |          6.441 |          0.027 |
            strncmp (LI-PaRAD) |        4096 |        395.232 |        402.986 |        410.010 |        402.837 |          1.077 |          9.471 |          0.102 |     +47.02%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |        8192 |       1168.685 |       1174.065 |       1180.067 |       1174.061 |          0.216 |          6.498 |          0.014 |
            strncmp (LI-PaRAD) |        8192 |        790.178 |        791.099 |        796.171 |        791.779 |          0.163 |          9.636 |          0.016 |     +48.28%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |       16384 |       2336.348 |       2337.939 |       2340.674 |       2338.023 |          0.026 |          6.526 |          0.002 |
            strncmp (LI-PaRAD) |       16384 |       1583.862 |       1602.306 |       1616.802 |       1601.866 |          0.405 |          9.526 |          0.039 |     +45.96%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |       32768 |       4687.216 |       4690.493 |       4694.684 |       4690.591 |          0.040 |          6.506 |          0.003 |
            strncmp (LI-PaRAD) |       32768 |       3162.311 |       3202.091 |       3228.442 |       3198.636 |          0.701 |          9.541 |          0.067 |     +46.64%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |       65536 |       9359.820 |       9401.551 |       9408.804 |       9386.725 |          0.211 |          6.502 |          0.014 |
            strncmp (LI-PaRAD) |       65536 |       6318.230 |       6320.942 |       6324.848 |       6320.916 |          0.025 |          9.656 |          0.002 |     +48.50%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |      131072 |      18364.953 |      18371.325 |      18378.247 |      18371.201 |          0.017 |          6.645 |          0.001 |
            strncmp (LI-PaRAD) |      131072 |      12629.138 |      12632.032 |      12657.116 |      12632.438 |          0.025 |          9.663 |          0.002 |     +45.43%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |      262144 |      37309.500 |      37366.970 |      37409.110 |      37365.400 |          0.053 |          6.534 |          0.003 |
            strncmp (LI-PaRAD) |      262144 |      25240.410 |      25289.180 |      25388.290 |      25295.290 |          0.126 |          9.652 |          0.012 |     +47.72%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |      524288 |      74686.660 |      74772.530 |      74850.800 |      74770.355 |          0.045 |          6.530 |          0.003 |
            strncmp (LI-PaRAD) |      524288 |      50849.730 |      51228.810 |      51867.660 |      51229.667 |          0.340 |          9.531 |          0.032 |     +45.95%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |     1048576 |     149275.880 |     149425.500 |     150107.700 |     149600.733 |          0.198 |          6.528 |          0.013 |
            strncmp (LI-PaRAD) |     1048576 |     101870.170 |     102438.660 |     103333.840 |     102451.784 |          0.231 |          9.532 |          0.022 |     +46.02%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |     2097152 |     299391.000 |     299951.800 |     302454.800 |     300024.115 |          0.153 |          6.510 |          0.010 |
            strncmp (LI-PaRAD) |     2097152 |     202798.200 |     204822.100 |     208179.000 |     204714.799 |          0.528 |          9.541 |          0.050 |     +46.56%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |     4194304 |     596716.900 |     597200.300 |     605718.700 |     597588.537 |          0.237 |          6.537 |          0.015 |
            strncmp (LI-PaRAD) |     4194304 |     404415.200 |     408546.000 |     414623.000 |     408311.475 |          0.543 |          9.567 |          0.052 |     +46.36%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |     8388608 |    1194241.000 |    1195184.700 |    1202650.500 |    1195530.026 |          0.112 |          6.535 |          0.007 |
            strncmp (LI-PaRAD) |     8388608 |     818888.600 |     823063.600 |     827890.000 |     823027.020 |          0.224 |          9.492 |          0.021 |     +45.26%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |    16777216 |    2389026.000 |    2391159.000 |    2407040.500 |    2391648.178 |          0.101 |          6.533 |          0.007 |
            strncmp (LI-PaRAD) |    16777216 |    1641904.000 |    1652882.000 |    1663004.500 |    1652833.792 |          0.315 |          9.454 |          0.030 |     +44.70%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |    33554432 |    4798919.000 |    4802431.000 |    4807822.500 |    4802293.500 |          0.033 |          6.507 |          0.002 |
            strncmp (LI-PaRAD) |    33554432 |    3284511.500 |    3309836.500 |    3329746.500 |    3309406.134 |          0.272 |          9.443 |          0.026 |     +45.11%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |    67108864 |    9562518.500 |    9597937.000 |    9607581.000 |    9584124.985 |          0.176 |          6.521 |          0.011 |
            strncmp (LI-PaRAD) |    67108864 |    6568108.000 |    6589504.500 |    6613648.500 |    6590093.847 |          0.150 |          9.484 |          0.014 |     +45.43%
