        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          64 |          6.298 |          6.303 |          6.352 |          6.304 |          0.103 |          9.455 |          0.010 |
            strncpy (LI-PaRAD) |          64 |          4.381 |          4.404 |          4.455 |          4.406 |          0.344 |         13.529 |          0.046 |     +43.09%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |         128 |          9.079 |          9.135 |          9.140 |          9.133 |          0.093 |         13.053 |          0.012 |
            strncpy (LI-PaRAD) |         128 |          6.931 |          7.005 |          7.126 |          7.010 |          0.646 |         17.007 |          0.110 |     +30.29%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |         256 |         15.547 |         15.560 |         15.593 |         15.560 |          0.043 |         15.323 |          0.007 |
            strncpy (LI-PaRAD) |         256 |         13.864 |         13.869 |         13.877 |         13.869 |          0.014 |         17.191 |          0.002 |     +12.19%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |         512 |         29.697 |         29.831 |         30.680 |         29.843 |          0.414 |         15.978 |          0.065 |
            strncpy (LI-PaRAD) |         512 |         25.788 |         25.833 |         26.673 |         25.950 |          0.791 |         18.377 |          0.144 |     +15.01%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |        1024 |         61.657 |         61.774 |         67.505 |         61.907 |          1.254 |         15.407 |          0.178 |
            strncpy (LI-PaRAD) |        1024 |         52.363 |         52.400 |         52.521 |         52.400 |          0.052 |         18.200 |          0.009 |     +18.14%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |        2048 |        127.636 |        127.998 |        128.367 |        128.010 |          0.105 |         14.900 |          0.016 |
            strncpy (LI-PaRAD) |        2048 |        102.667 |        102.700 |        102.821 |        102.704 |          0.021 |         18.571 |          0.004 |     +24.64%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |        4096 |        255.297 |        257.289 |        258.603 |        257.210 |          0.324 |         14.831 |          0.048 |
            strncpy (LI-PaRAD) |        4096 |        203.593 |        203.947 |        204.318 |        203.966 |          0.059 |         18.703 |          0.011 |     +26.10%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |        8192 |        517.305 |        523.924 |        525.181 |        523.814 |          0.195 |         14.565 |          0.029 |
            strncpy (LI-PaRAD) |        8192 |        406.818 |        406.997 |        409.654 |        407.031 |          0.072 |         18.744 |          0.013 |     +28.69%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |       16384 |       1051.400 |       1060.366 |       1062.220 |       1060.019 |          0.167 |         14.395 |          0.024 |
            strncpy (LI-PaRAD) |       16384 |        809.577 |        809.758 |        810.246 |        809.787 |          0.014 |         18.843 |          0.003 |     +30.90%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |       32768 |       2120.270 |       2123.554 |       2128.428 |       2123.678 |          0.077 |         14.370 |          0.011 |
            strncpy (LI-PaRAD) |       32768 |       1610.414 |       1614.053 |       1617.397 |       1613.628 |          0.108 |         18.912 |          0.021 |     +31.61%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |       65536 |       4256.620 |       4260.317 |       4271.286 |       4260.643 |          0.049 |         14.325 |          0.007 |
            strncpy (LI-PaRAD) |       65536 |       3218.590 |       3221.735 |       3225.071 |       3221.471 |          0.059 |         18.946 |          0.011 |     +32.26%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |      131072 |       8629.090 |       8636.982 |       8647.588 |       8637.161 |          0.046 |         14.133 |          0.007 |
            strncpy (LI-PaRAD) |      131072 |       6548.508 |       6557.264 |       6570.434 |       6556.986 |          0.051 |         18.617 |          0.009 |     +31.72%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |      262144 |      17058.460 |      17314.510 |      17377.010 |      17228.077 |          0.719 |         14.172 |          0.102 |
