        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |          64 |          3.303 |          3.309 |          3.320 |          3.309 |          0.089 |         18.011 |          0.016 |
             memcmp (LI-PaRAD) |          64 |          4.948 |          5.001 |          5.010 |          4.992 |          0.343 |         11.940 |          0.041 |     -33.71%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |         128 |          6.162 |          6.164 |          6.174 |          6.164 |          0.027 |         19.340 |          0.005 |
             memcmp (LI-PaRAD) |         128 |          7.510 |          7.602 |          7.705 |          7.603 |          0.528 |         15.679 |          0.083 |     -18.93%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |         256 |          7.112 |          7.117 |          7.122 |          7.116 |          0.030 |         33.503 |          0.010 |
             memcmp (LI-PaRAD) |         256 |         13.698 |         13.961 |         14.254 |         13.971 |          0.780 |         17.067 |          0.133 |     -49.06%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |         512 |         14.211 |         14.883 |         14.953 |         14.784 |          1.391 |         32.260 |          0.459 |
             memcmp (LI-PaRAD) |         512 |         26.050 |         26.618 |         26.904 |         26.559 |          0.936 |         17.955 |          0.169 |     -44.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |        1024 |         28.385 |         28.423 |         28.492 |         28.430 |          0.077 |         33.545 |          0.026 |
             memcmp (LI-PaRAD) |        1024 |         51.765 |         51.914 |         52.270 |         51.952 |          0.249 |         18.357 |          0.046 |     -45.28%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |        2048 |         55.171 |         55.532 |         60.249 |         55.530 |          0.881 |         34.350 |          0.281 |
             memcmp (LI-PaRAD) |        2048 |        102.234 |        102.807 |        103.232 |        102.780 |          0.223 |         18.558 |          0.041 |     -45.97%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |        4096 |        106.898 |        107.233 |        108.007 |        107.162 |          0.189 |         35.598 |          0.067 |
             memcmp (LI-PaRAD) |        4096 |        202.566 |        203.038 |        203.793 |        203.048 |          0.116 |         18.787 |          0.022 |     -47.22%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |        8192 |        211.656 |        212.127 |        212.774 |        212.102 |          0.130 |         35.971 |          0.047 |
             memcmp (LI-PaRAD) |        8192 |        405.236 |        405.509 |        406.045 |        405.534 |          0.052 |         18.813 |          0.010 |     -47.70%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |       16384 |        412.344 |        413.493 |        415.639 |        413.503 |          0.177 |         36.901 |          0.065 |
             memcmp (LI-PaRAD) |       16384 |        811.324 |        811.611 |        812.470 |        811.624 |          0.022 |         18.800 |          0.004 |     -49.05%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |       32768 |        855.114 |        856.431 |        862.837 |        857.553 |          0.230 |         35.587 |          0.082 |
             memcmp (LI-PaRAD) |       32768 |       1620.147 |       1623.541 |       1625.224 |       1623.157 |          0.086 |         18.801 |          0.016 |     -47.17%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |       65536 |       1835.182 |       1839.412 |       1841.360 |       1839.275 |          0.066 |         33.184 |          0.022 |
             memcmp (LI-PaRAD) |       65536 |       3227.702 |       3233.250 |       3237.910 |       3232.605 |          0.066 |         18.881 |          0.012 |     -43.10%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |      131072 |       3683.170 |       3686.950 |       3690.930 |       3686.757 |          0.041 |         33.110 |          0.013 |
             memcmp (LI-PaRAD) |      131072 |       6471.730 |       6477.370 |       6483.134 |       6477.378 |          0.033 |         18.846 |          0.006 |     -43.08%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |      262144 |       7831.690 |       7863.480 |       7968.580 |       7872.029 |          0.340 |         31.014 |          0.105 |
             memcmp (LI-PaRAD) |      262144 |      12850.690 |      12908.340 |      12947.810 |      12905.469 |          0.176 |         18.918 |          0.033 |     -39.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |      524288 |      15783.830 |      16002.240 |      16206.010 |      16007.307 |          0.679 |         30.505 |          0.207 |
             memcmp (LI-PaRAD) |      524288 |      25839.270 |      25909.940 |      25983.480 |      25911.663 |          0.122 |         18.844 |          0.023 |     -38.22%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |     1048576 |      35975.960 |      38132.830 |      39464.220 |      38046.375 |          1.475 |         25.673 |          0.382 |
             memcmp (LI-PaRAD) |     1048576 |      50795.660 |      50959.370 |      51243.890 |      50964.820 |          0.168 |         19.162 |          0.032 |     -25.35%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |     2097152 |      80719.200 |      81188.100 |      82816.100 |      81240.929 |          0.430 |         24.042 |          0.103 |
             memcmp (LI-PaRAD) |     2097152 |     101191.000 |     102175.200 |     103331.900 |     102113.538 |          0.497 |         19.127 |          0.095 |     -20.44%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |     4194304 |     163170.400 |     163909.200 |     168836.400 |     163951.381 |          0.388 |         23.826 |          0.091 |
             memcmp (LI-PaRAD) |     4194304 |     202871.700 |     203916.100 |     205495.500 |     203991.884 |          0.314 |         19.149 |          0.060 |     -19.63%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |     8388608 |     328645.200 |     329554.700 |     347070.700 |     329731.760 |          0.623 |         23.694 |          0.142 |
             memcmp (LI-PaRAD) |     8388608 |     410220.100 |     412605.700 |     414938.100 |     412478.477 |          0.259 |         18.941 |          0.049 |     -20.06%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |    16777216 |     691533.500 |     697672.500 |     742338.000 |     700268.550 |          1.199 |         22.316 |          0.260 |
             memcmp (LI-PaRAD) |    16777216 |     819974.000 |     828935.500 |     838259.500 |     828440.985 |          0.445 |         18.861 |          0.084 |     -15.47%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |    33554432 |    1579548.000 |    1587515.500 |    1617182.000 |    1588247.361 |          0.278 |         19.676 |          0.054 |
             memcmp (LI-PaRAD) |    33554432 |    1714827.000 |    1722813.500 |    1732391.000 |    1722815.495 |          0.213 |         18.139 |          0.039 |      -7.81%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |    67108864 |    3446340.000 |    3451474.000 |    3538518.000 |    3452579.183 |          0.282 |         18.103 |          0.050 |
             memcmp (LI-PaRAD) |    67108864 |    3556771.000 |    3563653.000 |    3575280.500 |    3563505.787 |          0.095 |         17.539 |          0.017 |      -3.11%
