        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |          64 |          1.897 |          2.382 |          2.477 |          2.357 |          4.347 |         25.340 |          1.265 |
             memcpy (LI-PaRAD) |          64 |          2.694 |          2.696 |          2.701 |          2.697 |          0.064 |         22.103 |          0.014 |     -12.59%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |         128 |          2.695 |          2.876 |          3.110 |          2.911 |          4.368 |         41.028 |          1.800 |
             memcpy (LI-PaRAD) |         128 |          3.848 |          3.853 |          3.855 |          3.852 |          0.030 |         30.943 |          0.009 |     -24.44%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |         256 |          3.876 |          4.015 |          4.195 |          4.007 |          1.394 |         59.507 |          0.830 |
             memcpy (LI-PaRAD) |         256 |          7.317 |          7.322 |          7.325 |          7.322 |          0.026 |         32.562 |          0.008 |     -45.27%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |         512 |          6.635 |          6.731 |          6.786 |          6.724 |          0.498 |         70.914 |          0.355 |
             memcpy (LI-PaRAD) |         512 |         13.847 |         13.872 |         13.902 |         13.871 |          0.127 |         34.378 |          0.044 |     -51.52%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |        1024 |         13.049 |         13.380 |         13.824 |         13.380 |          0.630 |         71.278 |          0.448 |
             memcpy (LI-PaRAD) |        1024 |         26.177 |         26.191 |         32.749 |         26.336 |          3.498 |         36.248 |          1.027 |     -49.19%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |        2048 |         26.020 |         26.777 |         26.999 |         26.755 |          0.522 |         71.291 |          0.376 |
             memcpy (LI-PaRAD) |        2048 |         50.823 |         50.857 |         50.931 |         50.857 |          0.042 |         37.504 |          0.016 |     -47.39%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |        4096 |         50.648 |         53.715 |         58.697 |         54.297 |          3.315 |         70.331 |          2.298 |
             memcpy (LI-PaRAD) |        4096 |        100.006 |        100.231 |        100.520 |        100.169 |          0.175 |         38.083 |          0.067 |     -45.79%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |        8192 |        101.856 |        106.011 |        115.312 |        105.864 |          1.709 |         72.088 |          1.201 |
             memcpy (LI-PaRAD) |        8192 |        198.470 |        198.795 |        199.063 |        198.799 |          0.054 |         38.377 |          0.021 |     -46.75%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |       16384 |        202.781 |        209.821 |        211.830 |        208.999 |          1.096 |         73.018 |          0.811 |
             memcpy (LI-PaRAD) |       16384 |        402.449 |        402.618 |        402.945 |        402.623 |          0.025 |         37.898 |          0.009 |     -48.09%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |       32768 |        419.731 |        422.926 |        434.866 |        424.008 |          0.869 |         71.979 |          0.618 |
             memcpy (LI-PaRAD) |       32768 |        795.880 |        795.882 |        801.171 |        797.169 |          0.212 |         38.283 |          0.081 |     -46.81%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |       65536 |        876.598 |        879.724 |        884.527 |        879.872 |          0.220 |         69.369 |          0.152 |
             memcpy (LI-PaRAD) |       65536 |       1583.661 |       1586.054 |       1591.963 |       1586.209 |          0.106 |         38.479 |          0.041 |     -44.53%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |      131072 |       2229.994 |       2231.607 |       2237.816 |       2231.975 |          0.060 |         54.692 |          0.033 |
             memcpy (LI-PaRAD) |      131072 |       3162.041 |       3165.290 |       3167.165 |       3164.653 |          0.053 |         38.573 |          0.020 |     -29.47%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |      262144 |       4426.820 |       4430.980 |       4513.240 |       4438.142 |          0.365 |         55.010 |          0.199 |
             memcpy (LI-PaRAD) |      262144 |       6311.340 |       6312.000 |       6362.350 |       6321.893 |          0.246 |         38.619 |          0.095 |     -29.80%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |      524288 |      10168.370 |      10879.810 |      11685.940 |      10865.937 |          2.772 |         44.971 |          1.240 |
             memcpy (LI-PaRAD) |      524288 |      14093.920 |      14888.970 |      15563.820 |      14889.400 |          1.340 |         32.800 |          0.443 |     -27.02%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |     1048576 |      22714.190 |      24494.550 |      25791.910 |      24468.526 |          2.996 |         39.947 |          1.210 |
             memcpy (LI-PaRAD) |     1048576 |      27763.760 |      28483.300 |      29761.100 |      28445.618 |          1.259 |         34.336 |          0.430 |     -13.98%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |     2097152 |      52576.700 |      53338.600 |      55676.300 |      53354.014 |          0.885 |         36.610 |          0.320 |
             memcpy (LI-PaRAD) |     2097152 |      55650.600 |      56466.000 |      58090.300 |      56554.626 |          0.793 |         34.537 |          0.273 |      -5.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |     4194304 |     115794.000 |     116757.200 |     119253.800 |     116694.536 |          0.447 |         33.475 |          0.149 |
             memcpy (LI-PaRAD) |     4194304 |     118737.100 |     119741.600 |     120888.800 |     119753.780 |          0.386 |         32.619 |          0.126 |      -2.55%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
