        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |          64 |          7.909 |          7.927 |          7.987 |          7.928 |          0.114 |          7.519 |          0.009 |
             strcmp (LI-PaRAD) |          64 |          7.957 |          7.961 |          7.969 |          7.961 |          0.017 |          7.487 |          0.001 |      -0.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |         128 |         14.241 |         14.268 |         14.313 |         14.271 |          0.087 |          8.353 |          0.007 |
             strcmp (LI-PaRAD) |         128 |         13.094 |         13.098 |         13.101 |         13.097 |          0.015 |          9.102 |          0.001 |      +8.96%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |         256 |         26.393 |         26.753 |         26.882 |         26.720 |          0.476 |          8.923 |          0.043 |
             strcmp (LI-PaRAD) |         256 |         21.825 |         21.831 |         21.836 |         21.830 |          0.008 |         10.921 |          0.001 |     +22.40%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |         512 |         52.009 |         52.089 |         52.194 |         52.092 |          0.084 |          9.154 |          0.008 |
             strcmp (LI-PaRAD) |         512 |         40.304 |         40.321 |         40.349 |         40.322 |          0.029 |         11.826 |          0.003 |     +29.19%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |        1024 |        102.389 |        102.711 |        103.400 |        102.798 |          0.267 |          9.277 |          0.025 |
             strcmp (LI-PaRAD) |        1024 |         77.257 |         77.305 |         81.379 |         77.342 |          0.525 |         12.331 |          0.062 |     +32.91%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |        2048 |        204.204 |        204.808 |        205.453 |        204.894 |          0.157 |          9.309 |          0.015 |
             strcmp (LI-PaRAD) |        2048 |        151.224 |        151.274 |        151.346 |        151.268 |          0.014 |         12.609 |          0.002 |     +35.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |        4096 |        385.269 |        388.229 |        412.416 |        389.959 |          1.272 |          9.784 |          0.120 |
             strcmp (LI-PaRAD) |        4096 |        298.950 |        299.223 |        299.690 |        299.186 |          0.060 |         12.750 |          0.008 |     +30.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |        8192 |        765.487 |        771.191 |        787.211 |        771.323 |          0.398 |          9.891 |          0.039 |
             strcmp (LI-PaRAD) |        8192 |        594.580 |        595.042 |        599.244 |        595.074 |          0.074 |         12.821 |          0.009 |     +29.62%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |       16384 |       1527.780 |       1528.751 |       1529.988 |       1528.791 |          0.029 |          9.981 |          0.003 |
             strcmp (LI-PaRAD) |       16384 |       1195.904 |       1196.200 |       1196.778 |       1196.226 |          0.012 |         12.756 |          0.002 |     +27.80%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |       32768 |       3048.366 |       3055.898 |       3213.172 |       3063.221 |          0.597 |          9.963 |          0.058 |
             strcmp (LI-PaRAD) |       32768 |       2380.766 |       2381.989 |       2387.581 |       2382.658 |          0.066 |         12.808 |          0.008 |     +28.56%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |       65536 |       6096.158 |       6140.060 |       6155.159 |       6126.035 |          0.411 |          9.963 |          0.041 |
             strcmp (LI-PaRAD) |       65536 |       4747.065 |       4749.005 |       4775.558 |       4750.110 |          0.069 |         12.849 |          0.009 |     +28.97%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |      131072 |      12211.047 |      12219.624 |      12239.499 |      12220.950 |          0.046 |          9.989 |          0.005 |
             strcmp (LI-PaRAD) |      131072 |       9485.167 |       9490.343 |       9495.138 |       9489.962 |          0.020 |         12.863 |          0.003 |     +28.78%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |      262144 |      26592.390 |      26726.250 |      27029.400 |      26766.033 |          0.489 |          9.122 |          0.044 |
             strcmp (LI-PaRAD) |      262144 |      18926.220 |      18967.520 |      18995.180 |      18967.677 |          0.068 |         12.871 |          0.009 |     +41.11%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |      524288 |      53284.820 |      53728.690 |      53997.180 |      53700.769 |          0.349 |          9.093 |          0.032 |
             strcmp (LI-PaRAD) |      524288 |      37927.400 |      37990.450 |      38038.630 |      37990.017 |          0.059 |         12.853 |          0.008 |     +41.35%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |     1048576 |     106265.060 |     106906.160 |     107917.070 |     106918.500 |          0.349 |          9.134 |          0.032 |
             strcmp (LI-PaRAD) |     1048576 |      75794.580 |      75895.390 |      76006.400 |      75897.897 |          0.064 |         12.867 |          0.008 |     +40.87%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |     2097152 |     212305.000 |     214071.500 |     219883.600 |     214247.337 |          0.687 |          9.117 |          0.062 |
             strcmp (LI-PaRAD) |     2097152 |     151323.400 |     151831.300 |     152961.000 |     151913.361 |          0.320 |         12.857 |          0.041 |     +41.03%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |     4194304 |     425572.900 |     432696.800 |     445001.600 |     433484.354 |          0.808 |          9.012 |          0.073 |
             strcmp (LI-PaRAD) |     4194304 |     302934.400 |     304456.100 |     307525.700 |     304389.776 |          0.378 |         12.833 |          0.048 |     +42.41%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |     8388608 |     851457.700 |     861493.400 |     887254.900 |     862770.034 |          0.916 |          9.056 |          0.083 |
             strcmp (LI-PaRAD) |     8388608 |     608510.900 |     611983.000 |     620042.500 |     612356.087 |          0.452 |         12.758 |          0.057 |     +40.89%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |    16777216 |    1685739.500 |    1769366.000 |    1854995.500 |    1765030.094 |          2.832 |          8.860 |          0.251 |
             strcmp (LI-PaRAD) |    16777216 |    1216943.000 |    1228613.000 |    1297300.000 |    1238362.114 |          1.729 |         12.621 |          0.215 |     +42.53%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |    33554432 |    3382581.000 |    3466562.500 |    3545389.500 |    3467793.787 |          1.304 |          9.013 |          0.118 |
             strcmp (LI-PaRAD) |    33554432 |    2438168.500 |    2495897.000 |    2619719.000 |    2498999.282 |          1.839 |         12.509 |          0.228 |     +38.77%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |    67108864 |    6754682.500 |    6820040.500 |    7200842.000 |    6827824.743 |          0.986 |          9.155 |          0.088 |
             strcmp (LI-PaRAD) |    67108864 |    4881151.500 |    5036608.500 |    5205987.500 |    5038547.446 |          1.398 |         12.407 |          0.174 |     +35.51%
