        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          64 |          4.497 |          4.504 |          4.545 |          4.505 |          0.106 |         13.232 |          0.014 |
             strcpy (LI-PaRAD) |          64 |          3.464 |          3.469 |          3.777 |          3.512 |          2.297 |         16.981 |          0.377 |     +28.27%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |         128 |          7.177 |          7.186 |          7.194 |          7.185 |          0.049 |         16.590 |          0.008 |
             strcpy (LI-PaRAD) |         128 |          4.621 |          4.623 |          4.712 |          4.626 |          0.314 |         25.768 |          0.079 |     +55.32%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |         256 |         12.448 |         12.453 |         12.457 |         12.453 |          0.016 |         19.145 |          0.003 |
             strcpy (LI-PaRAD) |         256 |          7.994 |          8.038 |          8.084 |          8.038 |          0.264 |         29.663 |          0.078 |     +54.94%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |         512 |         22.932 |         22.950 |         22.995 |         22.954 |          0.058 |         20.774 |          0.012 |
             strcpy (LI-PaRAD) |         512 |         13.846 |         14.095 |         16.721 |         14.210 |          4.130 |         33.608 |          1.235 |     +61.54%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |        1024 |         43.714 |         44.138 |         45.237 |         44.165 |          0.374 |         21.594 |          0.080 |
             strcpy (LI-PaRAD) |        1024 |         26.178 |         26.216 |         30.417 |         26.429 |          2.521 |         36.106 |          0.830 |     +67.11%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |        2048 |         86.730 |         87.692 |         89.038 |         87.766 |          0.428 |         21.733 |          0.093 |
             strcpy (LI-PaRAD) |        2048 |         50.835 |         54.861 |         65.610 |         55.564 |          4.313 |         34.388 |          1.422 |     +57.96%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |        4096 |        170.897 |        177.143 |        179.704 |        176.726 |          1.065 |         21.588 |          0.232 |
             strcpy (LI-PaRAD) |        4096 |        103.281 |        108.578 |        111.953 |        108.798 |          1.956 |         35.076 |          0.695 |     +62.44%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |        8192 |        355.566 |        368.894 |        381.375 |        369.060 |          1.988 |         20.681 |          0.412 |
             strcpy (LI-PaRAD) |        8192 |        202.245 |        205.597 |        207.725 |        205.243 |          1.029 |         37.176 |          0.383 |     +79.82%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |       16384 |        751.998 |        759.221 |        768.230 |        759.602 |          0.508 |         20.088 |          0.102 |
             strcpy (LI-PaRAD) |       16384 |        423.810 |        428.124 |        437.938 |        428.386 |          0.470 |         35.620 |          0.166 |     +77.32%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |       32768 |       1525.668 |       1554.295 |       1574.032 |       1552.894 |          0.589 |         19.653 |          0.116 |
             strcpy (LI-PaRAD) |       32768 |        800.074 |        857.786 |        869.251 |        847.919 |          2.345 |         36.011 |          0.870 |     +83.14%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |       65536 |       3119.946 |       3136.026 |       3151.010 |       3136.148 |          0.160 |         19.462 |          0.031 |
             strcpy (LI-PaRAD) |       65536 |       1618.729 |       1624.788 |       1632.921 |       1624.755 |          0.169 |         37.566 |          0.064 |     +93.02%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |      131072 |       6290.276 |       6293.448 |       6297.875 |       6293.679 |          0.028 |         19.396 |          0.005 |
             strcpy (LI-PaRAD) |      131072 |       3197.981 |       3211.936 |       3223.384 |       3211.919 |          0.185 |         38.006 |          0.070 |     +95.95%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |      262144 |      12582.230 |      12611.300 |      12700.620 |      12609.385 |          0.155 |         19.362 |          0.030 |
             strcpy (LI-PaRAD) |      262144 |       6339.380 |       6419.140 |       6529.900 |       6416.595 |          0.560 |         38.049 |          0.213 |     +96.51%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |      524288 |      25254.910 |      25455.230 |      25590.990 |      25449.416 |          0.304 |         19.187 |          0.058 |
             strcpy (LI-PaRAD) |      524288 |      14975.190 |      15369.170 |      15856.840 |      15379.958 |          1.384 |         31.754 |          0.438 |     +65.47%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
