        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |          64 |          4.006 |          4.119 |          4.140 |          4.098 |          0.885 |         14.547 |          0.130 |
             strlen (LI-PaRAD) |          64 |          3.464 |          3.653 |          3.812 |          3.643 |          2.623 |         16.374 |          0.430 |     +12.50%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |         128 |          5.133 |          5.158 |          5.174 |          5.157 |          0.173 |         23.117 |          0.040 |
             strlen (LI-PaRAD) |         128 |          5.102 |          5.496 |          5.680 |          5.457 |          2.222 |         21.855 |          0.493 |      -5.51%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |         256 |          7.993 |          8.008 |          8.044 |          8.009 |          0.076 |         29.770 |          0.023 |
             strlen (LI-PaRAD) |         256 |          8.157 |          8.604 |          9.529 |          8.618 |          3.396 |         27.695 |          0.925 |      -7.07%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |         512 |         13.207 |         14.127 |         14.258 |         13.893 |          2.425 |         34.344 |          0.850 |
             strlen (LI-PaRAD) |         512 |         13.846 |         13.871 |         13.919 |         13.869 |          0.128 |         34.381 |          0.044 |      +0.17%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |        1024 |         24.588 |         24.805 |         25.301 |         24.819 |          0.581 |         38.427 |          0.222 |
             strlen (LI-PaRAD) |        1024 |         30.023 |         30.056 |         30.199 |         30.051 |          0.080 |         31.735 |          0.025 |     -17.41%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |        2048 |         46.709 |         49.917 |         50.154 |         49.762 |          1.035 |         38.334 |          0.415 |
             strlen (LI-PaRAD) |        2048 |         51.977 |         52.008 |         52.867 |         52.017 |          0.169 |         36.668 |          0.061 |      -4.34%
