        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |          64 |         10.755 |         10.893 |         11.074 |         10.897 |          0.693 |          5.470 |          0.038 |
            strncmp (LI-PaRAD) |          64 |          7.123 |          7.127 |          7.132 |          7.126 |          0.026 |          8.364 |          0.002 |     +52.91%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |         128 |         19.580 |         19.773 |         20.049 |         19.784 |          0.564 |          6.026 |          0.034 |
            strncmp (LI-PaRAD) |         128 |         13.894 |         13.977 |         14.062 |         13.982 |          0.283 |          8.526 |          0.024 |     +41.50%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |         256 |         37.358 |         37.396 |         38.169 |         37.425 |          0.312 |          6.371 |          0.020 |
            strncmp (LI-PaRAD) |         256 |         26.191 |         26.195 |         26.220 |         26.195 |          0.012 |          9.102 |          0.001 |     +42.87%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |         512 |         72.614 |         73.895 |         75.281 |         73.919 |          0.806 |          6.451 |          0.052 |
            strncmp (LI-PaRAD) |         512 |         51.064 |         51.891 |         52.032 |         51.797 |          0.429 |          9.206 |          0.040 |     +42.71%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |        1024 |        143.899 |        144.356 |        144.581 |        144.318 |          0.085 |          6.608 |          0.006 |
            strncmp (LI-PaRAD) |        1024 |        103.164 |        103.183 |        103.496 |        103.192 |          0.035 |          9.242 |          0.003 |     +39.85%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |        2048 |        286.511 |        286.972 |        287.563 |        286.981 |          0.072 |          6.646 |          0.005 |
            strncmp (LI-PaRAD) |        2048 |        199.009 |        200.793 |        205.630 |        201.559 |          0.920 |          9.464 |          0.086 |     +42.38%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |        4096 |        575.551 |        579.043 |        582.984 |        579.067 |          0.242 |          6.588 |          0.016 |
            strncmp (LI-PaRAD) |        4096 |        395.552 |        403.434 |        411.521 |        404.491 |          1.190 |          9.432 |          0.112 |     +43.16%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |        8192 |       1146.689 |       1150.157 |       1151.965 |       1150.002 |          0.096 |          6.634 |          0.006 |
            strncmp (LI-PaRAD) |        8192 |        790.638 |        793.906 |        797.521 |        793.681 |          0.226 |          9.613 |          0.022 |     +44.89%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |       16384 |       2287.738 |       2288.646 |       2290.369 |       2288.676 |          0.015 |          6.667 |          0.001 |
            strncmp (LI-PaRAD) |       16384 |       1579.000 |       1579.395 |       1582.179 |       1579.476 |          0.026 |          9.661 |          0.003 |     +44.90%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |       32768 |       4586.853 |       4594.855 |       4599.961 |       4594.994 |          0.054 |          6.641 |          0.004 |
            strncmp (LI-PaRAD) |       32768 |       3161.891 |       3167.035 |       3170.988 |       3166.667 |          0.073 |          9.637 |          0.007 |     +45.11%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |       65536 |       9176.490 |       9180.050 |       9185.474 |       9180.152 |          0.021 |          6.649 |          0.001 |
            strncmp (LI-PaRAD) |       65536 |       6338.581 |       6347.931 |       6367.696 |       6347.959 |          0.095 |          9.615 |          0.009 |     +44.62%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |      131072 |      18367.884 |      18376.784 |      18385.596 |      18376.999 |          0.018 |          6.643 |          0.001 |
            strncmp (LI-PaRAD) |      131072 |      12734.487 |      12766.822 |      12785.685 |      12765.173 |          0.088 |          9.563 |          0.008 |     +43.96%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |      262144 |      37332.990 |      37393.580 |      37511.120 |      37394.454 |          0.076 |          6.529 |          0.005 |
            strncmp (LI-PaRAD) |      262144 |      25588.660 |      25825.740 |      26074.010 |      25846.527 |          0.608 |          9.446 |          0.057 |     +44.68%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |      524288 |      74692.860 |      74787.990 |      74902.620 |      74785.549 |          0.052 |          6.529 |          0.003 |
            strncmp (LI-PaRAD) |      524288 |      51980.310 |      52087.010 |      52389.990 |      52087.982 |          0.089 |          9.374 |          0.008 |     +43.58%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |     1048576 |     149334.520 |     149447.620 |     149563.070 |     149451.772 |          0.037 |          6.534 |          0.002 |
            strncmp (LI-PaRAD) |     1048576 |     104166.810 |     104187.950 |     104297.300 |     104195.097 |          0.022 |          9.372 |          0.002 |     +43.43%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |     2097152 |     298262.500 |     298769.200 |     301052.400 |     298855.075 |          0.146 |          6.535 |          0.009 |
            strncmp (LI-PaRAD) |     2097152 |     208325.900 |     208370.500 |     209035.700 |     208424.357 |          0.061 |          9.371 |          0.006 |     +43.39%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |     4194304 |     596782.800 |     597381.300 |     605184.700 |     597827.387 |          0.238 |          6.534 |          0.015 |
            strncmp (LI-PaRAD) |     4194304 |     416665.000 |     416850.700 |     417304.000 |     416845.300 |          0.036 |          9.371 |          0.003 |     +43.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |     8388608 |    1195140.900 |    1195917.900 |    1205727.600 |    1196234.225 |          0.126 |          6.531 |          0.008 |
            strncmp (LI-PaRAD) |     8388608 |     834650.700 |     835084.100 |     835844.600 |     835137.032 |          0.031 |          9.355 |          0.003 |     +43.24%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |    16777216 |    2388784.000 |    2390873.000 |    2397372.000 |    2391463.510 |          0.077 |          6.534 |          0.005 |
            strncmp (LI-PaRAD) |    16777216 |    1667400.000 |    1670743.000 |    1687005.500 |    1670372.847 |          0.134 |          9.354 |          0.013 |     +43.17%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |    33554432 |    4779500.500 |    4784028.000 |    4788212.000 |    4783670.460 |          0.032 |          6.533 |          0.002 |
            strncmp (LI-PaRAD) |    33554432 |    3339644.500 |    3342171.000 |    3352179.500 |    3342777.802 |          0.060 |          9.349 |          0.006 |     +43.10%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |    67108864 |    9561651.000 |    9598837.000 |    9604476.500 |    9589068.847 |          0.178 |          6.518 |          0.012 |
            strncmp (LI-PaRAD) |    67108864 |    6677895.500 |    6682617.500 |    6689258.000 |    6682506.203 |          0.031 |          9.353 |          0.003 |     +43.50%
