        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |          64 |          4.720 |          4.725 |          4.766 |          4.728 |          0.157 |         12.607 |          0.020 |
            strrchr (LI-PaRAD) |          64 |          8.030 |          8.321 |          8.331 |          8.299 |          0.865 |          7.183 |          0.064 |     -43.03%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |         128 |          7.522 |          7.530 |          7.538 |          7.530 |          0.044 |         15.831 |          0.007 |
            strrchr (LI-PaRAD) |         128 |         10.398 |         10.401 |         10.434 |         10.402 |          0.039 |         11.460 |          0.004 |     -27.61%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |         256 |         12.590 |         12.634 |         12.731 |         12.635 |          0.187 |         18.869 |          0.035 |
            strrchr (LI-PaRAD) |         256 |         16.948 |         17.273 |         18.180 |         17.378 |          1.954 |         13.725 |          0.266 |     -27.29%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |         512 |         23.472 |         24.205 |         26.647 |         24.222 |          1.815 |         19.692 |          0.349 |
            strrchr (LI-PaRAD) |         512 |         29.061 |         29.106 |         31.911 |         29.552 |          2.436 |         16.145 |          0.381 |     -18.04%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |        1024 |         45.789 |         46.412 |         46.567 |         46.389 |          0.270 |         20.558 |          0.056 |
            strrchr (LI-PaRAD) |        1024 |         53.599 |         53.754 |         55.146 |         53.940 |          0.679 |         17.681 |          0.119 |     -14.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |        2048 |         91.917 |         92.355 |         92.985 |         92.351 |          0.208 |         20.653 |          0.043 |
            strrchr (LI-PaRAD) |        2048 |        103.029 |        103.486 |        104.694 |        103.460 |          0.407 |         18.436 |          0.075 |     -10.74%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
