        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          memcmp GNU libc 2.39 |           1 |          2.308 |          2.311 |          2.395 |          2.313 |          0.452 |          0.403 |          0.002 |
       memcmp LI-PaRAD/EMOPASS |           1 |          2.841 |          2.862 |          2.887 |          2.862 |          0.258 |          0.325 |          0.001 |     -19.18%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          memcmp GNU libc 2.39 |           2 |          3.464 |          3.467 |          3.505 |          3.468 |          0.119 |          0.537 |          0.001 |
       memcmp LI-PaRAD/EMOPASS |           2 |          2.949 |          2.987 |          3.021 |          2.987 |          0.821 |          0.624 |          0.005 |     +16.09%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          memcmp GNU libc 2.39 |           3 |          3.464 |          3.468 |          3.471 |          3.467 |          0.049 |          0.806 |          0.000 |
       memcmp LI-PaRAD/EMOPASS |           3 |          3.077 |          3.082 |          3.103 |          3.082 |          0.096 |          0.906 |          0.001 |     +12.50%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          memcmp GNU libc 2.39 |           4 |          3.077 |          3.082 |          3.096 |          3.082 |          0.092 |          1.209 |          0.001 |
       memcmp LI-PaRAD/EMOPASS |           4 |          2.823 |          2.861 |          2.866 |          2.859 |          0.307 |          1.303 |          0.004 |      +7.83%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          memcmp GNU libc 2.39 |           5 |          3.077 |          3.083 |          3.100 |          3.082 |          0.089 |          1.511 |          0.001 |
       memcmp LI-PaRAD/EMOPASS |           5 |          3.077 |          3.082 |          3.090 |          3.082 |          0.074 |          1.511 |          0.001 |      +0.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          memcmp GNU libc 2.39 |           6 |          3.077 |          3.082 |          3.087 |          3.082 |          0.064 |          1.813 |          0.001 |
       memcmp LI-PaRAD/EMOPASS |           6 |          2.949 |          3.002 |          3.021 |          2.990 |          0.834 |          1.869 |          0.016 |      +3.06%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          memcmp GNU libc 2.39 |           7 |          3.077 |          3.083 |          3.091 |          3.082 |          0.080 |          2.115 |          0.002 |
       memcmp LI-PaRAD/EMOPASS |           7 |          3.077 |          3.083 |          3.095 |          3.082 |          0.083 |          2.115 |          0.002 |      +0.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
