  ROUTINE IMPLEMENTATION |    BUF SIZE |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Current `memcmp_sve` |    16.0 KiB |           1185 |           1185 |           1219 |       1188.024 |          0.593 |         12.844 |          0.075 |
        New `memcmp_sve` |    16.0 KiB |            810 |            810 |            821 |        811.293 |          0.341 |         18.808 |          0.064 |     +46.44%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Current `memcmp_sve` |    32.0 KiB |           2364 |           2369 |           2424 |       2371.213 |          0.570 |         12.870 |          0.072 |
        New `memcmp_sve` |    32.0 KiB |           1622 |           1623 |           1660 |       1623.827 |          0.420 |         18.794 |          0.077 |     +46.03%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Current `memcmp_sve` |   256.0 KiB |          17781 |          18050 |          18406 |      17988.375 |          0.801 |         13.573 |          0.108 |
        New `memcmp_sve` |   256.0 KiB |          12731 |          12777 |          12873 |      12785.449 |          0.315 |         19.095 |          0.060 |     +40.69%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Current `memcmp_sve` |   512.0 KiB |          35745 |          35919 |          36590 |      35943.332 |          0.475 |         13.585 |          0.064 |
        New `memcmp_sve` |   512.0 KiB |          25841 |          25922 |          26498 |      25961.339 |          0.582 |         18.809 |          0.108 |     +38.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Current `memcmp_sve` |     8.0 MiB |         576741 |         579874 |         589107 |     580731.529 |          0.534 |         13.453 |          0.071 |
        New `memcmp_sve` |     8.0 MiB |         411304 |         413674 |         416588 |     413563.600 |          0.384 |         18.891 |          0.072 |     +40.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Current `memcmp_sve` |    16.0 MiB |        1153290 |        1157729 |        1169232 |    1158016.516 |          0.240 |         13.493 |          0.032 |
        New `memcmp_sve` |    16.0 MiB |         822816 |         829464 |         838836 |     829833.118 |          0.447 |         18.829 |          0.084 |     +39.55%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Current `memcmp_sve` |   128.0 MiB |        9235077 |        9249877 |        9261604 |    9249458.677 |          0.072 |         13.514 |          0.010 |
        New `memcmp_sve` |   128.0 MiB |        7480362 |        7491949 |        7503176 |    7492170.613 |          0.071 |         16.684 |          0.012 |     +23.45%
