        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |           1 |          2.503 |          2.508 |          2.534 |          2.508 |          0.156 |          0.371 |          0.001 |
       memcpy LI-PaRAD/EMOPASS |           1 |          2.308 |          2.311 |          2.316 |          2.311 |          0.110 |          0.403 |          0.000 |      +8.52%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |           2 |          2.502 |          2.506 |          2.513 |          2.507 |          0.108 |          0.743 |          0.001 |
       memcpy LI-PaRAD/EMOPASS |           2 |          2.308 |          2.311 |          2.317 |          2.311 |          0.114 |          0.806 |          0.001 |      +8.44%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |           3 |          2.365 |          2.507 |          2.514 |          2.504 |          0.757 |          1.116 |          0.009 |
       memcpy LI-PaRAD/EMOPASS |           3 |          2.308 |          2.311 |          2.316 |          2.311 |          0.115 |          1.209 |          0.001 |      +8.35%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |           4 |          2.402 |          2.507 |          2.512 |          2.505 |          0.504 |          1.487 |          0.008 |
       memcpy LI-PaRAD/EMOPASS |           4 |          2.308 |          2.312 |          2.319 |          2.311 |          0.113 |          1.612 |          0.002 |      +8.38%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |           5 |          2.319 |          2.507 |          2.516 |          2.503 |          1.056 |          1.861 |          0.021 |
       memcpy LI-PaRAD/EMOPASS |           5 |          2.308 |          2.311 |          2.316 |          2.311 |          0.109 |          2.015 |          0.002 |      +8.27%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |           6 |          2.502 |          2.507 |          2.512 |          2.507 |          0.111 |          2.229 |          0.002 |
       memcpy LI-PaRAD/EMOPASS |           6 |          2.308 |          2.312 |          2.316 |          2.311 |          0.113 |          2.418 |          0.003 |      +8.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |           7 |          2.308 |          2.507 |          2.512 |          2.501 |          1.221 |          2.607 |          0.034 |
       memcpy LI-PaRAD/EMOPASS |           7 |          2.308 |          2.311 |          2.316 |          2.311 |          0.110 |          2.821 |          0.003 |      +8.22%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |           8 |          2.446 |          2.507 |          2.512 |          2.505 |          0.421 |          2.974 |          0.013 |
       memcpy LI-PaRAD/EMOPASS |           8 |          2.308 |          2.311 |          2.336 |          2.312 |          0.155 |          3.223 |          0.005 |      +8.37%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |           9 |          2.318 |          2.507 |          2.512 |          2.504 |          0.784 |          3.347 |          0.028 |
       memcpy LI-PaRAD/EMOPASS |           9 |          2.308 |          2.311 |          2.316 |          2.311 |          0.111 |          3.626 |          0.004 |      +8.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          10 |          2.308 |          2.507 |          2.515 |          2.503 |          0.884 |          3.721 |          0.035 |
       memcpy LI-PaRAD/EMOPASS |          10 |          2.308 |          2.311 |          2.316 |          2.311 |          0.107 |          4.029 |          0.004 |      +8.29%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          11 |          2.308 |          2.507 |          2.514 |          2.498 |          1.454 |          4.102 |          0.063 |
       memcpy LI-PaRAD/EMOPASS |          11 |          2.308 |          2.311 |          2.316 |          2.311 |          0.110 |          4.432 |          0.005 |      +8.06%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          12 |          2.308 |          2.506 |          2.514 |          2.488 |          2.055 |          4.493 |          0.098 |
       memcpy LI-PaRAD/EMOPASS |          12 |          2.308 |          2.312 |          2.318 |          2.311 |          0.113 |          4.835 |          0.005 |      +7.65%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          13 |          2.308 |          2.507 |          2.514 |          2.499 |          1.405 |          4.846 |          0.073 |
       memcpy LI-PaRAD/EMOPASS |          13 |          2.308 |          2.311 |          2.317 |          2.311 |          0.114 |          5.238 |          0.006 |      +8.12%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          14 |          2.308 |          2.507 |          2.514 |          2.498 |          1.460 |          5.221 |          0.081 |
       memcpy LI-PaRAD/EMOPASS |          14 |          2.308 |          2.311 |          2.316 |          2.311 |          0.113 |          5.641 |          0.006 |      +8.06%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          15 |          2.308 |          2.506 |          2.512 |          2.479 |          2.469 |          5.639 |          0.147 |
       memcpy LI-PaRAD/EMOPASS |          15 |          2.308 |          2.312 |          2.316 |          2.311 |          0.109 |          6.044 |          0.007 |      +7.26%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          16 |          2.308 |          2.507 |          2.512 |          2.495 |          1.713 |          5.974 |          0.109 |
       memcpy LI-PaRAD/EMOPASS |          16 |          2.308 |          2.311 |          2.316 |          2.311 |          0.113 |          6.447 |          0.007 |      +7.95%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          17 |          2.502 |          2.507 |          2.514 |          2.507 |          0.104 |          6.316 |          0.007 |
       memcpy LI-PaRAD/EMOPASS |          17 |          2.308 |          2.311 |          2.317 |          2.311 |          0.112 |          6.850 |          0.008 |      +8.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          18 |          2.308 |          2.507 |          2.514 |          2.505 |          0.798 |          6.693 |          0.058 |
       memcpy LI-PaRAD/EMOPASS |          18 |          2.308 |          2.311 |          2.315 |          2.311 |          0.105 |          7.253 |          0.008 |      +8.37%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          19 |          2.308 |          2.507 |          2.512 |          2.501 |          1.234 |          7.077 |          0.094 |
       memcpy LI-PaRAD/EMOPASS |          19 |          2.308 |          2.311 |          2.317 |          2.311 |          0.113 |          7.655 |          0.009 |      +8.19%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          20 |          2.308 |          2.507 |          2.511 |          2.489 |          2.015 |          7.486 |          0.159 |
       memcpy LI-PaRAD/EMOPASS |          20 |          2.308 |          2.311 |          2.316 |          2.311 |          0.110 |          8.059 |          0.009 |      +7.69%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          21 |          2.308 |          2.507 |          2.514 |          2.492 |          1.867 |          7.853 |          0.155 |
       memcpy LI-PaRAD/EMOPASS |          21 |          2.308 |          2.311 |          2.317 |          2.311 |          0.115 |          8.461 |          0.010 |      +7.79%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          22 |          2.308 |          2.507 |          2.517 |          2.498 |          1.457 |          8.203 |          0.128 |
       memcpy LI-PaRAD/EMOPASS |          22 |          2.308 |          2.311 |          2.316 |          2.311 |          0.112 |          8.864 |          0.010 |      +8.09%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          23 |          2.308 |          2.506 |          2.512 |          2.487 |          2.136 |          8.616 |          0.195 |
       memcpy LI-PaRAD/EMOPASS |          23 |          2.308 |          2.312 |          2.318 |          2.311 |          0.109 |          9.268 |          0.010 |      +7.61%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          24 |          2.308 |          2.507 |          2.512 |          2.497 |          1.579 |          8.954 |          0.151 |
       memcpy LI-PaRAD/EMOPASS |          24 |          2.308 |          2.311 |          2.316 |          2.311 |          0.107 |          9.671 |          0.010 |      +8.03%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          25 |          2.502 |          2.507 |          2.532 |          2.507 |          0.143 |          9.287 |          0.013 |
       memcpy LI-PaRAD/EMOPASS |          25 |          2.308 |          2.311 |          2.318 |          2.312 |          0.118 |         10.073 |          0.012 |      +8.46%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          26 |          2.308 |          2.507 |          2.513 |          2.499 |          1.295 |          9.692 |          0.133 |
