        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |           1 |          2.503 |          2.508 |          2.534 |          2.508 |          0.156 |          0.371 |          0.001
          memcpy GNU libc 2.39 |           1 |          2.308 |          2.311 |          2.336 |          2.312 |          0.165 |          0.403 |          0.001
       memcpy LI-PaRAD/EMOPASS |           1 |          2.308 |          2.312 |          2.316 |          2.311 |          0.109 |          0.403 |          0.000
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |           2 |          2.502 |          2.506 |          2.513 |          2.507 |          0.108 |          0.743 |          0.001
          memcpy GNU libc 2.39 |           2 |          3.077 |          3.082 |          3.086 |          3.082 |          0.066 |          0.604 |          0.000
       memcpy LI-PaRAD/EMOPASS |           2 |          2.308 |          2.312 |          2.317 |          2.311 |          0.115 |          0.806 |          0.001
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |           3 |          2.365 |          2.507 |          2.514 |          2.504 |          0.757 |          1.116 |          0.009
          memcpy GNU libc 2.39 |           3 |          3.077 |          3.082 |          3.089 |          3.082 |          0.067 |          0.907 |          0.001
       memcpy LI-PaRAD/EMOPASS |           3 |          2.308 |          2.312 |          2.317 |          2.311 |          0.112 |          1.209 |          0.001
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |           4 |          2.402 |          2.507 |          2.512 |          2.505 |          0.504 |          1.487 |          0.008
          memcpy GNU libc 2.39 |           4 |          3.077 |          3.082 |          3.088 |          3.082 |          0.064 |          1.209 |          0.001
       memcpy LI-PaRAD/EMOPASS |           4 |          2.308 |          2.311 |          2.319 |          2.311 |          0.114 |          1.612 |          0.002
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |           5 |          2.319 |          2.507 |          2.516 |          2.503 |          1.056 |          1.861 |          0.021
          memcpy GNU libc 2.39 |           5 |          3.077 |          3.082 |          3.090 |          3.082 |          0.070 |          1.511 |          0.001
       memcpy LI-PaRAD/EMOPASS |           5 |          2.308 |          2.311 |          2.316 |          2.311 |          0.109 |          2.015 |          0.002
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |           6 |          2.502 |          2.507 |          2.512 |          2.507 |          0.111 |          2.229 |          0.002
          memcpy GNU libc 2.39 |           6 |          3.077 |          3.082 |          3.085 |          3.082 |          0.060 |          1.813 |          0.001
       memcpy LI-PaRAD/EMOPASS |           6 |          2.308 |          2.312 |          2.318 |          2.311 |          0.111 |          2.418 |          0.003
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |           7 |          2.308 |          2.507 |          2.512 |          2.501 |          1.221 |          2.607 |          0.034
          memcpy GNU libc 2.39 |           7 |          3.077 |          3.082 |          3.086 |          3.082 |          0.064 |          2.115 |          0.001
       memcpy LI-PaRAD/EMOPASS |           7 |          2.308 |          2.311 |          2.319 |          2.311 |          0.110 |          2.821 |          0.003
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |           8 |          2.446 |          2.507 |          2.512 |          2.505 |          0.421 |          2.974 |          0.013
          memcpy GNU libc 2.39 |           8 |          2.308 |          2.314 |          2.700 |          2.454 |          7.580 |          3.053 |          0.222
       memcpy LI-PaRAD/EMOPASS |           8 |          2.308 |          2.312 |          2.315 |          2.311 |          0.110 |          3.223 |          0.004
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |           9 |          2.318 |          2.507 |          2.512 |          2.504 |          0.784 |          3.347 |          0.028
          memcpy GNU libc 2.39 |           9 |          2.692 |          2.697 |          2.701 |          2.697 |          0.089 |          3.108 |          0.003
       memcpy LI-PaRAD/EMOPASS |           9 |          2.308 |          2.312 |          2.316 |          2.312 |          0.116 |          3.626 |          0.004
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          10 |          2.308 |          2.507 |          2.515 |          2.503 |          0.884 |          3.721 |          0.035
          memcpy GNU libc 2.39 |          10 |          2.692 |          2.697 |          2.704 |          2.696 |          0.085 |          3.454 |          0.003
       memcpy LI-PaRAD/EMOPASS |          10 |          2.308 |          2.311 |          2.317 |          2.311 |          0.113 |          4.029 |          0.005
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          11 |          2.308 |          2.507 |          2.514 |          2.498 |          1.454 |          4.102 |          0.063
          memcpy GNU libc 2.39 |          11 |          2.692 |          2.697 |          2.701 |          2.697 |          0.087 |          3.799 |          0.003
       memcpy LI-PaRAD/EMOPASS |          11 |          2.308 |          2.311 |          2.316 |          2.311 |          0.109 |          4.432 |          0.005
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          12 |          2.308 |          2.506 |          2.514 |          2.488 |          2.055 |          4.493 |          0.098
          memcpy GNU libc 2.39 |          12 |          2.692 |          2.697 |          2.701 |          2.697 |          0.089 |          4.144 |          0.004
       memcpy LI-PaRAD/EMOPASS |          12 |          2.308 |          2.311 |          2.317 |          2.311 |          0.116 |          4.835 |          0.006
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          13 |          2.308 |          2.507 |          2.514 |          2.499 |          1.405 |          4.846 |          0.073
          memcpy GNU libc 2.39 |          13 |          2.692 |          2.697 |          2.701 |          2.697 |          0.084 |          4.490 |          0.004
       memcpy LI-PaRAD/EMOPASS |          13 |          2.308 |          2.311 |          2.316 |          2.311 |          0.108 |          5.238 |          0.006
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          14 |          2.308 |          2.507 |          2.514 |          2.498 |          1.460 |          5.221 |          0.081
          memcpy GNU libc 2.39 |          14 |          2.692 |          2.698 |          2.701 |          2.697 |          0.092 |          4.835 |          0.004
       memcpy LI-PaRAD/EMOPASS |          14 |          2.308 |          2.311 |          2.316 |          2.311 |          0.107 |          5.641 |          0.006
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          15 |          2.308 |          2.506 |          2.512 |          2.479 |          2.469 |          5.639 |          0.147
          memcpy GNU libc 2.39 |          15 |          2.692 |          2.697 |          2.702 |          2.697 |          0.085 |          5.181 |          0.004
       memcpy LI-PaRAD/EMOPASS |          15 |          2.308 |          2.312 |          2.316 |          2.311 |          0.110 |          6.044 |          0.007
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          16 |          2.308 |          2.507 |          2.512 |          2.495 |          1.713 |          5.974 |          0.109
          memcpy GNU libc 2.39 |          16 |          2.308 |          2.311 |          2.316 |          2.311 |          0.112 |          6.447 |          0.007
       memcpy LI-PaRAD/EMOPASS |          16 |          2.308 |          2.311 |          2.316 |          2.311 |          0.113 |          6.447 |          0.007
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          17 |          2.502 |          2.507 |          2.514 |          2.507 |          0.104 |          6.316 |          0.007
          memcpy GNU libc 2.39 |          17 |          2.308 |          2.312 |          2.316 |          2.311 |          0.108 |          6.850 |          0.007
       memcpy LI-PaRAD/EMOPASS |          17 |          2.308 |          2.311 |          2.319 |          2.311 |          0.114 |          6.850 |          0.008
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          18 |          2.308 |          2.507 |          2.514 |          2.505 |          0.798 |          6.693 |          0.058
          memcpy GNU libc 2.39 |          18 |          2.308 |          2.312 |          2.319 |          2.311 |          0.115 |          7.252 |          0.008
       memcpy LI-PaRAD/EMOPASS |          18 |          2.308 |          2.312 |          2.318 |          2.311 |          0.110 |          7.253 |          0.008
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          19 |          2.308 |          2.507 |          2.512 |          2.501 |          1.234 |          7.077 |          0.094
          memcpy GNU libc 2.39 |          19 |          2.308 |          2.311 |          2.317 |          2.311 |          0.111 |          7.656 |          0.009
       memcpy LI-PaRAD/EMOPASS |          19 |          2.308 |          2.312 |          2.317 |          2.311 |          0.110 |          7.656 |          0.008
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcpy Arm optimized-routines |          20 |          2.308 |          2.507 |          2.511 |          2.489 |          2.015 |          7.486 |          0.159
          memcpy GNU libc 2.39 |          20 |          2.308 |          2.311 |          2.316 |          2.311 |          0.112 |          8.059 |          0.009
