        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           1 |          2.265 |          2.311 |          2.330 |          2.311 |          0.224 |          0.403 |          0.001 |
             memcpy (LI-PaRAD) |           1 |          2.310 |          2.311 |          2.316 |          2.311 |          0.059 |          0.403 |          0.000 |      -0.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           2 |          3.464 |          3.467 |          3.470 |          3.467 |          0.045 |          0.537 |          0.000 |
             memcpy (LI-PaRAD) |           2 |          2.310 |          2.311 |          2.315 |          2.311 |          0.056 |          0.806 |          0.000 |     +50.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           3 |          3.464 |          3.467 |          3.471 |          3.467 |          0.048 |          0.806 |          0.000 |
             memcpy (LI-PaRAD) |           3 |          2.310 |          2.311 |          2.320 |          2.311 |          0.068 |          1.209 |          0.001 |     +50.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           4 |          3.079 |          3.082 |          3.086 |          3.082 |          0.059 |          1.209 |          0.001 |
             memcpy (LI-PaRAD) |           4 |          2.310 |          2.311 |          2.316 |          2.311 |          0.063 |          1.612 |          0.001 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           5 |          3.079 |          3.082 |          3.085 |          3.082 |          0.055 |          1.511 |          0.001 |
             memcpy (LI-PaRAD) |           5 |          2.310 |          2.311 |          2.317 |          2.312 |          0.064 |          2.015 |          0.001 |     +33.32%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           6 |          3.079 |          3.082 |          3.086 |          3.082 |          0.055 |          1.813 |          0.001 |
