        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |           1 |          2.095 |          2.098 |          2.112 |          2.099 |          0.105 |          0.444 |          0.000 |
             strchr (LI-PaRAD) |           1 |          4.366 |          4.467 |          4.610 |          4.475 |          1.293 |          0.208 |          0.003 |     -53.10%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |           2 |          2.695 |          2.696 |          2.700 |          2.697 |          0.058 |          0.691 |          0.000 |
             strchr (LI-PaRAD) |           2 |          4.364 |          4.486 |          4.611 |          4.491 |          1.213 |          0.415 |          0.005 |     -39.96%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |           3 |          2.695 |          2.696 |          2.705 |          2.697 |          0.072 |          1.036 |          0.001 |
             strchr (LI-PaRAD) |           3 |          4.364 |          4.459 |          4.595 |          4.471 |          1.313 |          0.625 |          0.008 |     -39.69%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |           4 |          2.695 |          2.696 |          2.706 |          2.697 |          0.070 |          1.382 |          0.001 |
             strchr (LI-PaRAD) |           4 |          4.366 |          4.469 |          4.612 |          4.478 |          1.432 |          0.832 |          0.012 |     -39.79%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |           5 |          2.695 |          2.696 |          2.701 |          2.696 |          0.061 |          1.727 |          0.001 |
             strchr (LI-PaRAD) |           5 |          4.364 |          4.472 |          4.609 |          4.472 |          1.348 |          1.041 |          0.014 |     -39.71%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |           6 |          2.695 |          2.696 |          2.702 |          2.696 |          0.061 |          2.072 |          0.001 |
             strchr (LI-PaRAD) |           6 |          4.364 |          4.478 |          4.611 |          4.482 |          1.377 |          1.247 |          0.017 |     -39.83%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |           7 |          2.695 |          2.696 |          2.726 |          2.697 |          0.124 |          2.417 |          0.003 |
             strchr (LI-PaRAD) |           7 |          4.365 |          4.472 |          4.609 |          4.477 |          1.285 |          1.456 |          0.019 |     -39.77%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |           8 |          2.695 |          2.696 |          2.700 |          2.696 |          0.065 |          2.763 |          0.002 |
             strchr (LI-PaRAD) |           8 |          4.363 |          4.463 |          4.612 |          4.477 |          1.525 |          1.665 |          0.025 |     -39.77%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |           9 |          2.694 |          2.696 |          2.705 |          2.697 |          0.071 |          3.108 |          0.002 |
             strchr (LI-PaRAD) |           9 |          4.364 |          4.470 |          4.610 |          4.469 |          1.536 |          1.876 |          0.029 |     -39.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          10 |          2.695 |          2.696 |          2.703 |          2.697 |          0.067 |          3.454 |          0.002 |
             strchr (LI-PaRAD) |          10 |          4.364 |          4.488 |          4.613 |          4.488 |          1.389 |          2.076 |          0.029 |     -39.91%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          11 |          2.695 |          2.696 |          2.701 |          2.697 |          0.064 |          3.799 |          0.002 |
             strchr (LI-PaRAD) |          11 |          4.364 |          4.475 |          4.613 |          4.480 |          1.446 |          2.287 |          0.033 |     -39.80%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          12 |          2.695 |          2.696 |          2.701 |          2.697 |          0.065 |          4.145 |          0.003 |
             strchr (LI-PaRAD) |          12 |          4.364 |          4.481 |          4.609 |          4.477 |          1.441 |          2.497 |          0.036 |     -39.77%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          13 |          2.695 |          2.696 |          2.701 |          2.697 |          0.064 |          4.490 |          0.003 |
             strchr (LI-PaRAD) |          13 |          4.364 |          4.458 |          4.613 |          4.463 |          1.446 |          2.713 |          0.039 |     -39.58%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          14 |          2.695 |          2.696 |          2.700 |          2.696 |          0.061 |          4.835 |          0.003 |
             strchr (LI-PaRAD) |          14 |          4.364 |          4.461 |          4.595 |          4.457 |          1.437 |          2.926 |          0.042 |     -39.50%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          15 |          2.695 |          2.696 |          2.700 |          2.697 |          0.063 |          5.180 |          0.003 |
             strchr (LI-PaRAD) |          15 |          4.364 |          4.480 |          4.593 |          4.462 |          1.473 |          3.131 |          0.046 |     -39.56%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          16 |          2.792 |          2.805 |          2.809 |          2.805 |          0.101 |          5.313 |          0.005 |
             strchr (LI-PaRAD) |          16 |          4.364 |          4.481 |          4.610 |          4.484 |          1.375 |          3.324 |          0.046 |     -37.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          17 |          2.795 |          2.806 |          2.811 |          2.805 |          0.098 |          5.644 |          0.006 |
             strchr (LI-PaRAD) |          17 |          4.364 |          4.466 |          4.615 |          4.471 |          1.393 |          3.542 |          0.049 |     -37.26%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          18 |          2.800 |          3.080 |          3.086 |          3.011 |          4.016 |          5.577 |          0.234 |
             strchr (LI-PaRAD) |          18 |          4.364 |          4.483 |          4.615 |          4.480 |          1.479 |          3.742 |          0.055 |     -32.79%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          19 |          3.079 |          3.082 |          3.085 |          3.082 |          0.058 |          5.742 |          0.003 |
             strchr (LI-PaRAD) |          19 |          4.364 |          4.487 |          4.607 |          4.490 |          1.171 |          3.941 |          0.046 |     -31.37%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          20 |          3.079 |          3.082 |          3.087 |          3.082 |          0.058 |          6.044 |          0.004 |
             strchr (LI-PaRAD) |          20 |          4.364 |          4.485 |          4.617 |          4.471 |          1.609 |          4.167 |          0.067 |     -31.07%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          21 |          3.079 |          3.082 |          3.086 |          3.082 |          0.062 |          6.346 |          0.004 |
             strchr (LI-PaRAD) |          21 |          4.364 |          4.483 |          4.611 |          4.487 |          1.464 |          4.360 |          0.064 |     -31.31%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          22 |          3.079 |          3.082 |          3.085 |          3.082 |          0.058 |          6.648 |          0.004 |
             strchr (LI-PaRAD) |          22 |          4.365 |          4.468 |          4.611 |          4.476 |          1.454 |          4.578 |          0.067 |     -31.15%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          23 |          2.797 |          2.805 |          2.810 |          2.805 |          0.079 |          7.637 |          0.006 |
             strchr (LI-PaRAD) |          23 |          4.366 |          4.476 |          4.609 |          4.477 |          1.326 |          4.786 |          0.064 |     -37.35%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          24 |          2.782 |          2.805 |          2.811 |          2.805 |          0.123 |          7.969 |          0.010 |
             strchr (LI-PaRAD) |          24 |          4.364 |          4.459 |          4.609 |          4.466 |          1.322 |          5.006 |          0.066 |     -37.19%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          25 |          2.795 |          2.806 |          2.810 |          2.805 |          0.086 |          8.300 |          0.007 |
             strchr (LI-PaRAD) |          25 |          4.365 |          4.489 |          4.617 |          4.488 |          1.348 |          5.189 |          0.070 |     -37.49%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          26 |          2.795 |          2.804 |          2.810 |          2.804 |          0.101 |          8.636 |          0.009 |
             strchr (LI-PaRAD) |          26 |          4.365 |          4.477 |          4.611 |          4.480 |          1.198 |          5.405 |          0.065 |     -37.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          27 |          2.788 |          2.805 |          2.811 |          2.804 |          0.125 |          8.967 |          0.011 |
             strchr (LI-PaRAD) |          27 |          4.364 |          4.485 |          4.612 |          4.485 |          1.505 |          5.608 |          0.084 |     -37.47%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          28 |          2.792 |          2.805 |          2.811 |          2.805 |          0.102 |          9.298 |          0.010 |
             strchr (LI-PaRAD) |          28 |          4.366 |          4.478 |          4.616 |          4.481 |          1.288 |          5.820 |          0.075 |     -37.41%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          29 |          2.798 |          2.805 |          2.811 |          2.805 |          0.093 |          9.630 |          0.009 |
             strchr (LI-PaRAD) |          29 |          4.365 |          4.475 |          4.611 |          4.482 |          1.416 |          6.027 |          0.085 |     -37.43%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          30 |          2.790 |          2.805 |          2.810 |          2.804 |          0.118 |          9.963 |          0.012 |
             strchr (LI-PaRAD) |          30 |          4.364 |          4.478 |          4.614 |          4.484 |          1.511 |          6.233 |          0.094 |     -37.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          31 |          2.799 |          2.805 |          2.811 |          2.805 |          0.083 |         10.293 |          0.009 |
             strchr (LI-PaRAD) |          31 |          4.364 |          4.480 |          4.617 |          4.488 |          1.438 |          6.434 |          0.092 |     -37.50%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          32 |          3.849 |          3.852 |          3.859 |          3.852 |          0.033 |          7.736 |          0.003 |
             strchr (LI-PaRAD) |          32 |          7.123 |          7.127 |          7.131 |          7.127 |          0.025 |          4.182 |          0.001 |     -45.94%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          33 |          3.849 |          3.853 |          3.855 |          3.852 |          0.030 |          7.978 |          0.002 |
             strchr (LI-PaRAD) |          33 |          7.123 |          7.128 |          7.129 |          7.127 |          0.024 |          4.312 |          0.001 |     -45.95%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          34 |          3.849 |          3.852 |          3.855 |          3.852 |          0.032 |          8.220 |          0.003 |
             strchr (LI-PaRAD) |          34 |          7.123 |          7.128 |          7.130 |          7.127 |          0.024 |          4.443 |          0.001 |     -45.95%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          35 |          3.849 |          3.852 |          3.856 |          3.852 |          0.032 |          8.461 |          0.003 |
             strchr (LI-PaRAD) |          35 |          7.124 |          7.128 |          7.130 |          7.127 |          0.025 |          4.574 |          0.001 |     -45.95%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          36 |          3.849 |          3.853 |          3.859 |          3.853 |          0.039 |          8.703 |          0.003 |
