        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |           1 |          2.435 |          2.445 |          2.465 |          2.446 |          0.200 |          0.381 |          0.001 |
             strcmp (LI-PaRAD) |           1 |          3.785 |          4.199 |          4.627 |          4.231 |          5.959 |          0.221 |          0.013 |     -42.19%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |           2 |          2.695 |          2.696 |          2.702 |          2.697 |          0.065 |          0.691 |          0.000 |
             strcmp (LI-PaRAD) |           2 |          3.785 |          4.200 |          4.627 |          4.217 |          6.747 |          0.444 |          0.030 |     -36.06%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |           3 |          2.694 |          2.696 |          2.700 |          2.696 |          0.061 |          1.036 |          0.001 |
             strcmp (LI-PaRAD) |           3 |          3.785 |          3.788 |          3.798 |          3.788 |          0.046 |          0.738 |          0.000 |     -28.82%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |           4 |          2.695 |          2.696 |          2.703 |          2.697 |          0.065 |          1.381 |          0.001 |
             strcmp (LI-PaRAD) |           4 |          3.784 |          4.163 |          4.626 |          4.167 |          6.479 |          0.898 |          0.057 |     -35.29%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |           5 |          2.694 |          2.696 |          2.700 |          2.697 |          0.061 |          1.727 |          0.001 |
             strcmp (LI-PaRAD) |           5 |          3.784 |          3.788 |          3.791 |          3.788 |          0.030 |          1.229 |          0.000 |     -28.82%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |           6 |          2.695 |          2.696 |          2.700 |          2.697 |          0.063 |          2.072 |          0.001 |
             strcmp (LI-PaRAD) |           6 |          3.786 |          4.197 |          4.625 |          4.207 |          6.213 |          1.333 |          0.083 |     -35.91%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |           7 |          2.695 |          2.696 |          2.701 |          2.697 |          0.065 |          2.417 |          0.002 |
             strcmp (LI-PaRAD) |           7 |          3.784 |          3.788 |          3.819 |          3.788 |          0.088 |          1.721 |          0.002 |     -28.81%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |           8 |          3.127 |          3.139 |          3.173 |          3.140 |          0.203 |          2.373 |          0.005 |
             strcmp (LI-PaRAD) |           8 |          3.786 |          4.202 |          4.627 |          4.238 |          5.818 |          1.764 |          0.103 |     -25.92%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |           9 |          3.079 |          3.082 |          3.089 |          3.082 |          0.067 |          2.720 |          0.002 |
             strcmp (LI-PaRAD) |           9 |          3.784 |          3.788 |          3.796 |          3.788 |          0.042 |          2.213 |          0.001 |     -18.64%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |          10 |          3.124 |          3.139 |          3.187 |          3.140 |          0.261 |          2.966 |          0.008 |
             strcmp (LI-PaRAD) |          10 |          3.785 |          4.201 |          4.625 |          4.237 |          6.526 |          2.207 |          0.147 |     -25.90%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |          11 |          3.079 |          3.083 |          3.089 |          3.082 |          0.062 |          3.324 |          0.002 |
             strcmp (LI-PaRAD) |          11 |          3.784 |          3.789 |          3.791 |          3.788 |          0.032 |          2.704 |          0.001 |     -18.64%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |          12 |          3.116 |          3.139 |          3.189 |          3.139 |          0.226 |          3.560 |          0.008 |
             strcmp (LI-PaRAD) |          12 |          3.786 |          4.200 |          4.626 |          4.171 |          6.424 |          2.690 |          0.173 |     -24.75%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcmp (GNU libc 2.39) |          13 |          3.079 |          3.083 |          3.085 |          3.082 |          0.057 |          3.928 |          0.002 |
