        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           1 |          2.049 |          2.062 |          2.089 |          2.062 |          0.256 |          0.452 |          0.001 |
             strcpy (LI-PaRAD) |           1 |          2.310 |          2.310 |          2.318 |          2.311 |          0.056 |          0.403 |          0.000 |     -10.78%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           2 |          3.079 |          3.082 |          3.084 |          3.081 |          0.050 |          0.604 |          0.000 |
             strcpy (LI-PaRAD) |           2 |          2.310 |          2.311 |          2.315 |          2.311 |          0.051 |          0.806 |          0.000 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           3 |          3.079 |          3.082 |          3.087 |          3.081 |          0.057 |          0.907 |          0.001 |
             strcpy (LI-PaRAD) |           3 |          2.310 |          2.311 |          2.315 |          2.311 |          0.050 |          1.209 |          0.001 |     +33.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           4 |          3.079 |          3.082 |          3.093 |          3.081 |          0.061 |          1.209 |          0.001 |
             strcpy (LI-PaRAD) |           4 |          2.310 |          2.311 |          2.315 |          2.311 |          0.053 |          1.612 |          0.001 |     +33.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           5 |          3.079 |          3.082 |          3.087 |          3.081 |          0.054 |          1.511 |          0.001 |
             strcpy (LI-PaRAD) |           5 |          2.310 |          2.311 |          2.319 |          2.311 |          0.065 |          2.015 |          0.001 |     +33.32%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           6 |          3.079 |          3.082 |          3.085 |          3.081 |          0.053 |          1.813 |          0.001 |
             strcpy (LI-PaRAD) |           6 |          2.310 |          2.311 |          2.315 |          2.311 |          0.051 |          2.418 |          0.001 |     +33.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           7 |          3.079 |          3.082 |          3.084 |          3.081 |          0.050 |          2.116 |          0.001 |
             strcpy (LI-PaRAD) |           7 |          2.310 |          2.311 |          2.315 |          2.311 |          0.053 |          2.821 |          0.001 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           8 |          2.695 |          2.696 |          2.700 |          2.696 |          0.056 |          2.763 |          0.002 |
             strcpy (LI-PaRAD) |           8 |          2.310 |          2.311 |          2.315 |          2.311 |          0.054 |          3.224 |          0.002 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           9 |          2.694 |          2.696 |          2.723 |          2.697 |          0.114 |          3.108 |          0.004 |
             strcpy (LI-PaRAD) |           9 |          2.310 |          2.311 |          2.315 |          2.311 |          0.052 |          3.627 |          0.002 |     +16.68%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          10 |          2.694 |          2.696 |          2.704 |          2.696 |          0.060 |          3.454 |          0.002 |
             strcpy (LI-PaRAD) |          10 |          2.310 |          2.311 |          2.314 |          2.311 |          0.048 |          4.030 |          0.002 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          11 |          2.695 |          2.696 |          2.700 |          2.696 |          0.054 |          3.800 |          0.002 |
             strcpy (LI-PaRAD) |          11 |          2.310 |          2.311 |          2.317 |          2.311 |          0.062 |          4.432 |          0.003 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          12 |          2.694 |          2.695 |          2.700 |          2.696 |          0.061 |          4.145 |          0.003 |
             strcpy (LI-PaRAD) |          12 |          2.310 |          2.310 |          2.315 |          2.311 |          0.058 |          4.836 |          0.003 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          13 |          2.694 |          2.695 |          2.703 |          2.696 |          0.061 |          4.490 |          0.003 |
             strcpy (LI-PaRAD) |          13 |          2.310 |          2.311 |          2.314 |          2.311 |          0.051 |          5.239 |          0.003 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          14 |          2.694 |          2.696 |          2.700 |          2.696 |          0.057 |          4.836 |          0.003 |
             strcpy (LI-PaRAD) |          14 |          2.310 |          2.311 |          2.316 |          2.311 |          0.056 |          5.642 |          0.003 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          15 |          2.694 |          2.696 |          2.700 |          2.696 |          0.057 |          5.181 |          0.003 |
             strcpy (LI-PaRAD) |          15 |          2.310 |          2.311 |          2.314 |          2.311 |          0.049 |          6.045 |          0.003 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          16 |          2.694 |          2.695 |          2.702 |          2.696 |          0.057 |          5.527 |          0.003 |
             strcpy (LI-PaRAD) |          16 |          2.310 |          2.310 |          2.314 |          2.311 |          0.047 |          6.448 |          0.003 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          17 |          2.694 |          2.695 |          2.699 |          2.696 |          0.054 |          5.872 |          0.003 |
             strcpy (LI-PaRAD) |          17 |          2.310 |          2.311 |          2.316 |          2.311 |          0.053 |          6.851 |          0.004 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          18 |          2.694 |          2.696 |          2.702 |          2.696 |          0.059 |          6.217 |          0.004 |
             strcpy (LI-PaRAD) |          18 |          2.310 |          2.310 |          2.315 |          2.311 |          0.049 |          7.254 |          0.004 |     +16.68%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          19 |          2.695 |          2.696 |          2.699 |          2.696 |          0.053 |          6.563 |          0.004 |
             strcpy (LI-PaRAD) |          19 |          2.310 |          2.311 |          2.314 |          2.311 |          0.051 |          7.657 |          0.004 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          20 |          2.694 |          2.695 |          2.700 |          2.696 |          0.052 |          6.909 |          0.004 |
             strcpy (LI-PaRAD) |          20 |          2.310 |          2.311 |          2.315 |          2.311 |          0.057 |          8.060 |          0.005 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          21 |          2.694 |          2.695 |          2.701 |          2.696 |          0.059 |          7.254 |          0.004 |
             strcpy (LI-PaRAD) |          21 |          2.310 |          2.311 |          2.314 |          2.311 |          0.046 |          8.463 |          0.004 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          22 |          2.695 |          2.696 |          2.700 |          2.696 |          0.058 |          7.599 |          0.004 |
             strcpy (LI-PaRAD) |          22 |          2.310 |          2.311 |          2.315 |          2.311 |          0.052 |          8.866 |          0.005 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          23 |          2.695 |          2.696 |          2.700 |          2.696 |          0.053 |          7.945 |          0.004 |
             strcpy (LI-PaRAD) |          23 |          2.310 |          2.311 |          2.315 |          2.311 |          0.054 |          9.268 |          0.005 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          24 |          2.694 |          2.695 |          2.704 |          2.696 |          0.065 |          8.290 |          0.005 |
             strcpy (LI-PaRAD) |          24 |          2.310 |          2.310 |          2.315 |          2.311 |          0.056 |          9.672 |          0.005 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          25 |          2.694 |          2.696 |          2.720 |          2.697 |          0.105 |          8.634 |          0.009 |
             strcpy (LI-PaRAD) |          25 |          2.310 |          2.311 |          2.317 |          2.311 |          0.063 |         10.074 |          0.006 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          26 |          2.694 |          2.696 |          2.699 |          2.696 |          0.057 |          8.980 |          0.005 |
             strcpy (LI-PaRAD) |          26 |          2.310 |          2.311 |          2.315 |          2.311 |          0.055 |         10.477 |          0.006 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          27 |          2.695 |          2.696 |          2.700 |          2.696 |          0.053 |          9.326 |          0.005 |
             strcpy (LI-PaRAD) |          27 |          2.310 |          2.310 |          2.316 |          2.311 |          0.057 |         10.881 |          0.006 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          28 |          2.694 |          2.696 |          2.700 |          2.696 |          0.058 |          9.672 |          0.006 |
             strcpy (LI-PaRAD) |          28 |          2.310 |          2.310 |          2.314 |          2.311 |          0.052 |         11.284 |          0.006 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          29 |          2.694 |          2.696 |          2.702 |          2.696 |          0.062 |         10.017 |          0.006 |
             strcpy (LI-PaRAD) |          29 |          2.310 |          2.311 |          2.315 |          2.311 |          0.059 |         11.686 |          0.007 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          30 |          2.694 |          2.696 |          2.700 |          2.696 |          0.057 |         10.363 |          0.006 |
             strcpy (LI-PaRAD) |          30 |          2.310 |          2.310 |          2.316 |          2.311 |          0.057 |         12.090 |          0.007 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          31 |          2.695 |          2.696 |          2.699 |          2.696 |          0.051 |         10.708 |          0.005 |
             strcpy (LI-PaRAD) |          31 |          2.310 |          2.311 |          2.315 |          2.311 |          0.048 |         12.493 |          0.006 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          32 |          3.464 |          3.467 |          3.471 |          3.467 |          0.046 |          8.597 |          0.004 |
             strcpy (LI-PaRAD) |          32 |          2.870 |          3.466 |          3.470 |          3.385 |          5.254 |          8.831 |          0.522 |      +2.41%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          33 |          3.464 |          3.467 |          3.472 |          3.467 |          0.044 |          8.866 |          0.004 |
             strcpy (LI-PaRAD) |          33 |          2.948 |          3.467 |          3.469 |          3.446 |          2.439 |          8.925 |          0.244 |      +0.60%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          34 |          3.464 |          3.467 |          3.469 |          3.467 |          0.040 |          9.134 |          0.004 |
             strcpy (LI-PaRAD) |          34 |          2.782 |          3.466 |          3.471 |          3.384 |          5.295 |          9.387 |          0.558 |      +2.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          35 |          3.464 |          3.467 |          3.469 |          3.467 |          0.042 |          9.403 |          0.004 |
             strcpy (LI-PaRAD) |          35 |          2.922 |          3.466 |          3.469 |          3.405 |          4.579 |          9.596 |          0.494 |      +1.82%
