        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           1 |          2.179 |          2.205 |          2.232 |          2.203 |          0.391 |          0.423 |          0.002 |
             strlen (LI-PaRAD) |           1 |          2.310 |          2.311 |          2.315 |          2.311 |          0.053 |          0.403 |          0.000 |      -4.70%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           2 |          2.695 |          2.696 |          2.700 |          2.697 |          0.060 |          0.691 |          0.000 |
             strlen (LI-PaRAD) |           2 |          2.310 |          2.311 |          2.316 |          2.311 |          0.058 |          0.806 |          0.000 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           3 |          2.695 |          2.696 |          2.701 |          2.697 |          0.069 |          1.036 |          0.001 |
             strlen (LI-PaRAD) |           3 |          2.310 |          2.311 |          2.316 |          2.311 |          0.058 |          1.209 |          0.001 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           4 |          2.695 |          2.696 |          2.708 |          2.697 |          0.078 |          1.381 |          0.001 |
             strlen (LI-PaRAD) |           4 |          2.310 |          2.311 |          2.315 |          2.311 |          0.058 |          1.612 |          0.001 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           5 |          2.695 |          2.696 |          2.701 |          2.697 |          0.065 |          1.727 |          0.001 |
             strlen (LI-PaRAD) |           5 |          2.310 |          2.311 |          2.315 |          2.311 |          0.057 |          2.015 |          0.001 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           6 |          2.695 |          2.696 |          2.703 |          2.697 |          0.064 |          2.072 |          0.001 |
             strlen (LI-PaRAD) |           6 |          2.310 |          2.311 |          2.316 |          2.311 |          0.060 |          2.418 |          0.001 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           7 |          2.695 |          2.696 |          2.700 |          2.696 |          0.065 |          2.418 |          0.002 |
             strlen (LI-PaRAD) |           7 |          2.310 |          2.311 |          2.316 |          2.311 |          0.058 |          2.821 |          0.002 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           8 |          2.695 |          2.696 |          2.702 |          2.696 |          0.068 |          2.763 |          0.002 |
             strlen (LI-PaRAD) |           8 |          2.310 |          2.311 |          2.316 |          2.311 |          0.059 |          3.223 |          0.002 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           9 |          2.695 |          2.696 |          2.702 |          2.697 |          0.064 |          3.108 |          0.002 |
             strlen (LI-PaRAD) |           9 |          2.310 |          2.311 |          2.340 |          2.312 |          0.135 |          3.626 |          0.005 |     +16.65%
