        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           1 |          3.338 |          3.345 |          3.364 |          3.346 |          0.141 |          0.278 |          0.000 |
            strncmp (LI-PaRAD) |           1 |          4.236 |          4.237 |          4.243 |          4.237 |          0.030 |          0.220 |          0.000 |     -21.04%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           2 |          3.309 |          3.337 |          3.364 |          3.337 |          0.215 |          0.558 |          0.001 |
            strncmp (LI-PaRAD) |           2 |          4.236 |          4.237 |          4.243 |          4.237 |          0.035 |          0.440 |          0.000 |     -21.25%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           3 |          3.312 |          3.327 |          3.342 |          3.328 |          0.201 |          0.840 |          0.002 |
            strncmp (LI-PaRAD) |           3 |          4.236 |          4.368 |          4.444 |          4.342 |          1.732 |          0.644 |          0.011 |     -23.35%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           4 |          3.309 |          3.338 |          3.356 |          3.336 |          0.219 |          1.117 |          0.002 |
            strncmp (LI-PaRAD) |           4 |          4.236 |          4.237 |          4.243 |          4.237 |          0.034 |          0.879 |          0.000 |     -21.27%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           5 |          3.312 |          3.327 |          3.340 |          3.327 |          0.174 |          1.399 |          0.002 |
            strncmp (LI-PaRAD) |           5 |          4.236 |          4.330 |          4.573 |          4.334 |          2.095 |          1.075 |          0.022 |     -23.22%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           6 |          3.308 |          3.338 |          3.356 |          3.336 |          0.255 |          1.675 |          0.004 |
            strncmp (LI-PaRAD) |           6 |          4.236 |          4.237 |          4.261 |          4.238 |          0.066 |          1.319 |          0.001 |     -21.27%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           7 |          3.315 |          3.328 |          3.341 |          3.328 |          0.181 |          1.959 |          0.004 |
