        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           1 |          4.486 |          4.505 |          4.539 |          4.505 |          0.285 |          0.207 |          0.001 |
            strncpy (LI-PaRAD) |           1 |          2.310 |          2.311 |          2.316 |          2.312 |          0.064 |          0.403 |          0.000 |     +94.89%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           2 |          4.628 |          4.641 |          4.654 |          4.640 |          0.139 |          0.401 |          0.001 |
            strncpy (LI-PaRAD) |           2 |          2.310 |          2.311 |          2.316 |          2.311 |          0.060 |          0.806 |          0.000 |    +100.78%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           3 |          4.627 |          4.643 |          4.661 |          4.642 |          0.175 |          0.602 |          0.001 |
            strncpy (LI-PaRAD) |           3 |          2.310 |          2.311 |          2.316 |          2.312 |          0.064 |          1.209 |          0.001 |    +100.84%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           4 |          4.621 |          4.623 |          4.633 |          4.623 |          0.040 |          0.806 |          0.000 |
            strncpy (LI-PaRAD) |           4 |          1.923 |          1.926 |          2.319 |          2.006 |          7.842 |          1.867 |          0.132 |    +130.41%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           5 |          4.620 |          4.623 |          4.627 |          4.623 |          0.037 |          1.007 |          0.000 |
            strncpy (LI-PaRAD) |           5 |          2.310 |          2.311 |          2.315 |          2.312 |          0.059 |          2.015 |          0.001 |    +100.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           6 |          4.621 |          4.623 |          4.628 |          4.623 |          0.038 |          1.209 |          0.000 |
            strncpy (LI-PaRAD) |           6 |          2.310 |          2.311 |          2.317 |          2.312 |          0.066 |          2.417 |          0.002 |    +100.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           7 |          4.621 |          4.623 |          4.651 |          4.623 |          0.071 |          1.410 |          0.001 |
            strncpy (LI-PaRAD) |           7 |          2.310 |          2.311 |          2.316 |          2.311 |          0.062 |          2.820 |          0.002 |    +100.02%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           8 |          4.238 |          4.239 |          4.244 |          4.240 |          0.034 |          1.757 |          0.001 |
            strncpy (LI-PaRAD) |           8 |          2.310 |          2.311 |          2.317 |          2.312 |          0.067 |          3.223 |          0.002 |     +83.41%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           9 |          4.237 |          4.239 |          4.245 |          4.239 |          0.036 |          1.977 |          0.001 |
            strncpy (LI-PaRAD) |           9 |          2.310 |          2.311 |          2.315 |          2.311 |          0.055 |          3.626 |          0.002 |     +83.41%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          10 |          4.238 |          4.239 |          4.243 |          4.239 |          0.032 |          2.197 |          0.001 |
            strncpy (LI-PaRAD) |          10 |          2.310 |          2.311 |          2.315 |          2.311 |          0.055 |          4.029 |          0.002 |     +83.41%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          11 |          4.238 |          4.239 |          4.244 |          4.240 |          0.034 |          2.416 |          0.001 |
            strncpy (LI-PaRAD) |          11 |          2.310 |          2.311 |          2.316 |          2.312 |          0.065 |          4.432 |          0.003 |     +83.41%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          12 |          4.238 |          4.239 |          4.244 |          4.240 |          0.034 |          2.636 |          0.001 |
            strncpy (LI-PaRAD) |          12 |          2.310 |          2.311 |          2.315 |          2.311 |          0.062 |          4.835 |          0.003 |     +83.41%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
