        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |           1 |          2.385 |          2.389 |          2.418 |          2.390 |          0.149 |          0.390 |          0.001 |
            strrchr (LI-PaRAD) |           1 |          5.057 |          5.390 |          5.413 |          5.338 |          1.477 |          0.175 |          0.003 |     -55.24%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |           2 |          3.079 |          3.082 |          3.087 |          3.082 |          0.056 |          0.604 |          0.000 |
            strrchr (LI-PaRAD) |           2 |          5.058 |          5.383 |          5.412 |          5.323 |          1.705 |          0.350 |          0.006 |     -42.10%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |           3 |          3.079 |          3.082 |          3.084 |          3.082 |          0.056 |          0.907 |          0.001 |
            strrchr (LI-PaRAD) |           3 |          5.090 |          5.390 |          5.413 |          5.328 |          1.660 |          0.525 |          0.009 |     -42.16%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |           4 |          3.079 |          3.082 |          3.089 |          3.082 |          0.065 |          1.209 |          0.001 |
            strrchr (LI-PaRAD) |           4 |          5.099 |          5.390 |          5.414 |          5.328 |          1.615 |          0.699 |          0.011 |     -42.15%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |           5 |          3.079 |          3.082 |          3.086 |          3.082 |          0.056 |          1.511 |          0.001 |
            strrchr (LI-PaRAD) |           5 |          5.029 |          5.390 |          5.413 |          5.334 |          1.692 |          0.873 |          0.015 |     -42.22%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |           6 |          3.079 |          3.082 |          3.111 |          3.082 |          0.108 |          1.813 |          0.002 |
            strrchr (LI-PaRAD) |           6 |          5.090 |          5.391 |          5.413 |          5.341 |          1.518 |          1.047 |          0.016 |     -42.29%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |           7 |          3.079 |          3.082 |          3.086 |          3.082 |          0.057 |          2.115 |          0.001 |
            strrchr (LI-PaRAD) |           7 |          5.086 |          5.390 |          5.414 |          5.339 |          1.519 |          1.221 |          0.019 |     -42.28%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |           8 |          3.079 |          3.082 |          3.087 |          3.082 |          0.057 |          2.418 |          0.001 |
            strrchr (LI-PaRAD) |           8 |          5.086 |          5.390 |          5.423 |          5.329 |          1.627 |          1.398 |          0.023 |     -42.17%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |           9 |          3.079 |          3.082 |          3.086 |          3.082 |          0.058 |          2.720 |          0.002 |
            strrchr (LI-PaRAD) |           9 |          5.052 |          5.390 |          5.422 |          5.350 |          1.357 |          1.567 |          0.022 |     -42.39%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |          10 |          3.079 |          3.082 |          3.085 |          3.082 |          0.054 |          3.022 |          0.002 |
            strrchr (LI-PaRAD) |          10 |          5.056 |          5.390 |          5.413 |          5.335 |          1.643 |          1.746 |          0.029 |     -42.24%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |          11 |          3.079 |          3.082 |          3.085 |          3.082 |          0.056 |          3.324 |          0.002 |
