        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |           1 |          2.310 |          2.311 |          2.340 |          2.312 |          0.149 |          0.403 |          0.001 |
             memcmp (LI-PaRAD) |           1 |          3.207 |          3.316 |          3.471 |          3.320 |          2.689 |          0.281 |          0.007 |     -30.37%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |           2 |          2.310 |          2.311 |          2.332 |          2.312 |          0.108 |          0.806 |          0.001 |
             memcmp (LI-PaRAD) |           2 |          3.208 |          3.332 |          3.483 |          3.335 |          2.664 |          0.559 |          0.015 |     -30.68%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |           3 |          3.464 |          3.467 |          3.473 |          3.467 |          0.052 |          0.806 |          0.000 |
             memcmp (LI-PaRAD) |           3 |          3.208 |          3.343 |          3.469 |          3.346 |          2.678 |          0.836 |          0.022 |      +3.63%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |           4 |          3.079 |          3.082 |          3.093 |          3.082 |          0.076 |          1.209 |          0.001 |
             memcmp (LI-PaRAD) |           4 |          3.122 |          3.324 |          3.469 |          3.323 |          2.672 |          1.122 |          0.030 |      -7.26%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |           5 |          3.079 |          3.083 |          3.088 |          3.082 |          0.062 |          1.511 |          0.001 |
             memcmp (LI-PaRAD) |           5 |          3.207 |          3.313 |          3.472 |          3.307 |          2.611 |          1.409 |          0.036 |      -6.80%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |           6 |          3.079 |          3.082 |          3.085 |          3.082 |          0.061 |          1.813 |          0.001 |
             memcmp (LI-PaRAD) |           6 |          3.208 |          3.316 |          3.469 |          3.325 |          2.579 |          1.682 |          0.043 |      -7.30%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |           7 |          3.079 |          3.083 |          3.104 |          3.082 |          0.099 |          2.115 |          0.002 |
             memcmp (LI-PaRAD) |           7 |          3.125 |          3.314 |          3.471 |          3.313 |          2.813 |          1.969 |          0.055 |      -6.97%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |           8 |          2.695 |          2.697 |          2.706 |          2.697 |          0.074 |          2.763 |          0.002 |
             memcmp (LI-PaRAD) |           8 |          3.125 |          3.316 |          3.471 |          3.318 |          2.853 |          2.247 |          0.064 |     -18.72%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |           9 |          2.695 |          2.697 |          2.713 |          2.697 |          0.089 |          3.108 |          0.003 |
             memcmp (LI-PaRAD) |           9 |          3.208 |          3.316 |          3.469 |          3.329 |          2.645 |          2.520 |          0.066 |     -18.98%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |          10 |          2.695 |          2.696 |          2.723 |          2.697 |          0.120 |          3.453 |          0.004 |
             memcmp (LI-PaRAD) |          10 |          3.133 |          3.317 |          3.480 |          3.321 |          2.831 |          2.806 |          0.079 |     -18.79%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |          11 |          2.695 |          2.697 |          2.700 |          2.697 |          0.067 |          3.799 |          0.003 |
             memcmp (LI-PaRAD) |          11 |          3.208 |          3.315 |          3.469 |          3.328 |          2.775 |          3.080 |          0.085 |     -18.97%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |          12 |          2.695 |          2.697 |          2.709 |          2.697 |          0.090 |          4.144 |          0.004 |
             memcmp (LI-PaRAD) |          12 |          3.208 |          3.316 |          3.469 |          3.322 |          2.612 |          3.367 |          0.087 |     -18.81%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |          13 |          2.695 |          2.696 |          2.700 |          2.697 |          0.069 |          4.489 |          0.003 |
             memcmp (LI-PaRAD) |          13 |          3.126 |          3.315 |          3.471 |          3.314 |          2.625 |          3.656 |          0.096 |     -18.62%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |          14 |          2.695 |          2.696 |          2.711 |          2.697 |          0.086 |          4.835 |          0.004 |
             memcmp (LI-PaRAD) |          14 |          3.126 |          3.316 |          3.470 |          3.325 |          2.877 |          3.924 |          0.112 |     -18.89%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcmp (GNU libc 2.39) |          15 |          2.695 |          2.697 |          2.713 |          2.697 |          0.088 |          5.180 |          0.005 |
