        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           1 |          1.923 |          1.926 |          1.958 |          1.927 |          0.186 |          0.483 |          0.001 |
             memcpy (LI-PaRAD) |           1 |          2.310 |          2.311 |          2.316 |          2.311 |          0.059 |          0.403 |          0.000 |     -16.64%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           2 |          3.079 |          3.082 |          3.085 |          3.082 |          0.055 |          0.604 |          0.000 |
             memcpy (LI-PaRAD) |           2 |          2.310 |          2.311 |          2.315 |          2.311 |          0.060 |          0.806 |          0.000 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           3 |          3.079 |          3.083 |          3.089 |          3.082 |          0.062 |          0.907 |          0.001 |
             memcpy (LI-PaRAD) |           3 |          2.310 |          2.311 |          2.318 |          2.312 |          0.068 |          1.209 |          0.001 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           4 |          3.079 |          3.082 |          3.091 |          3.082 |          0.063 |          1.209 |          0.001 |
             memcpy (LI-PaRAD) |           4 |          2.310 |          2.311 |          2.320 |          2.311 |          0.071 |          1.612 |          0.001 |     +33.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           5 |          3.079 |          3.082 |          3.085 |          3.082 |          0.057 |          1.511 |          0.001 |
             memcpy (LI-PaRAD) |           5 |          2.310 |          2.311 |          2.315 |          2.311 |          0.059 |          2.015 |          0.001 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           6 |          3.079 |          3.082 |          3.087 |          3.082 |          0.058 |          1.813 |          0.001 |
             memcpy (LI-PaRAD) |           6 |          2.310 |          2.311 |          2.317 |          2.311 |          0.059 |          2.418 |          0.001 |     +33.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           7 |          3.079 |          3.082 |          3.085 |          3.082 |          0.059 |          2.115 |          0.001 |
             memcpy (LI-PaRAD) |           7 |          2.310 |          2.311 |          2.315 |          2.311 |          0.055 |          2.821 |          0.002 |     +33.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           8 |          2.695 |          2.697 |          2.704 |          2.697 |          0.076 |          2.763 |          0.002 |
             memcpy (LI-PaRAD) |           8 |          2.310 |          2.311 |          2.317 |          2.312 |          0.060 |          3.223 |          0.002 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           9 |          1.346 |          2.695 |          2.701 |          2.064 |         32.607 |          4.562 |          1.553 |
             memcpy (LI-PaRAD) |           9 |          2.310 |          2.311 |          2.315 |          2.312 |          0.059 |          3.626 |          0.002 |     -10.70%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |          10 |          2.310 |          2.311 |          2.320 |          2.312 |          0.067 |          4.029 |          0.003 |
             memcpy (LI-PaRAD) |          10 |          2.310 |          2.311 |          2.317 |          2.312 |          0.066 |          4.029 |          0.003 |      -0.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |          11 |          2.310 |          2.311 |          2.316 |          2.312 |          0.063 |          4.432 |          0.003 |
             memcpy (LI-PaRAD) |          11 |          2.310 |          2.311 |          2.316 |          2.311 |          0.060 |          4.432 |          0.003 |      +0.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |          12 |          2.310 |          2.311 |          2.322 |          2.312 |          0.074 |          4.834 |          0.004 |
             memcpy (LI-PaRAD) |          12 |          2.310 |          2.311 |          2.316 |          2.311 |          0.060 |          4.835 |          0.003 |      +0.01%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |          13 |          2.310 |          2.311 |          2.316 |          2.312 |          0.065 |          5.238 |          0.003 |
             memcpy (LI-PaRAD) |          13 |          2.310 |          2.311 |          2.315 |          2.311 |          0.058 |          5.238 |          0.003 |      +0.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |          14 |          2.310 |          2.311 |          2.316 |          2.311 |          0.059 |          5.641 |          0.003 |
             memcpy (LI-PaRAD) |          14 |          2.310 |          2.311 |          2.316 |          2.311 |          0.059 |          5.641 |          0.003 |      -0.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |          15 |          2.310 |          2.311 |          2.329 |          2.312 |          0.098 |          6.043 |          0.006 |
             memcpy (LI-PaRAD) |          15 |          2.310 |          2.311 |          2.316 |          2.312 |          0.065 |          6.043 |          0.004 |      +0.01%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |          16 |          2.310 |          2.311 |          2.321 |          2.312 |          0.069 |          6.446 |          0.004 |
