        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           1 |          2.163 |          2.205 |          2.232 |          2.203 |          0.436 |          0.423 |          0.002 |
             strlen (LI-PaRAD) |           1 |          2.310 |          2.311 |          2.316 |          2.311 |          0.056 |          0.403 |          0.000 |      -4.70%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           2 |          2.695 |          2.697 |          2.700 |          2.697 |          0.062 |          0.691 |          0.000 |
             strlen (LI-PaRAD) |           2 |          2.310 |          2.311 |          2.316 |          2.311 |          0.061 |          0.806 |          0.000 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           3 |          2.695 |          2.696 |          2.701 |          2.697 |          0.064 |          1.036 |          0.001 |
             strlen (LI-PaRAD) |           3 |          2.310 |          2.311 |          2.315 |          2.311 |          0.055 |          1.209 |          0.001 |     +16.68%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           4 |          2.695 |          2.696 |          2.702 |          2.697 |          0.067 |          1.381 |          0.001 |
             strlen (LI-PaRAD) |           4 |          2.310 |          2.311 |          2.316 |          2.311 |          0.066 |          1.612 |          0.001 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           5 |          2.695 |          2.696 |          2.700 |          2.697 |          0.060 |          1.727 |          0.001 |
             strlen (LI-PaRAD) |           5 |          2.310 |          2.311 |          2.316 |          2.311 |          0.059 |          2.015 |          0.001 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           6 |          2.695 |          2.697 |          2.703 |          2.697 |          0.063 |          2.072 |          0.001 |
             strlen (LI-PaRAD) |           6 |          2.310 |          2.311 |          2.315 |          2.311 |          0.056 |          2.418 |          0.001 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           7 |          2.695 |          2.696 |          2.700 |          2.697 |          0.064 |          2.418 |          0.002 |
