        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           1 |          3.317 |          3.329 |          3.346 |          3.329 |          0.117 |          0.280 |          0.000 |
            strncmp (LI-PaRAD) |           1 |          4.236 |          4.237 |          4.573 |          4.261 |          1.452 |          0.219 |          0.003 |     -21.87%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           2 |          3.294 |          3.326 |          3.339 |          3.326 |          0.217 |          0.560 |          0.001 |
            strncmp (LI-PaRAD) |           2 |          4.236 |          4.237 |          4.432 |          4.252 |          1.131 |          0.438 |          0.005 |     -21.78%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           3 |          3.312 |          3.328 |          3.540 |          3.331 |          0.658 |          0.839 |          0.005 |
            strncmp (LI-PaRAD) |           3 |          4.235 |          4.237 |          4.431 |          4.264 |          1.409 |          0.655 |          0.009 |     -21.89%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           4 |          3.314 |          3.328 |          3.340 |          3.327 |          0.210 |          1.120 |          0.002 |
            strncmp (LI-PaRAD) |           4 |          4.236 |          4.237 |          4.441 |          4.250 |          1.043 |          0.877 |          0.009 |     -21.71%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           5 |          3.312 |          3.326 |          3.340 |          3.327 |          0.176 |          1.400 |          0.002 |
            strncmp (LI-PaRAD) |           5 |          4.236 |          4.237 |          4.573 |          4.252 |          1.254 |          1.095 |          0.013 |     -21.75%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           6 |          3.313 |          3.328 |          3.341 |          3.328 |          0.192 |          1.679 |          0.003 |
            strncmp (LI-PaRAD) |           6 |          4.235 |          4.237 |          4.425 |          4.252 |          1.078 |          1.314 |          0.014 |     -21.73%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           7 |          3.312 |          3.326 |          3.531 |          3.329 |          0.643 |          1.958 |          0.012 |
            strncmp (LI-PaRAD) |           7 |          4.235 |          4.238 |          4.520 |          4.259 |          1.360 |          1.531 |          0.020 |     -21.84%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           8 |          3.315 |          3.327 |          3.341 |          3.327 |          0.188 |          2.240 |          0.004 |
