        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           1 |          4.473 |          4.493 |          4.513 |          4.492 |          0.213 |          0.207 |          0.000 |
            strncpy (LI-PaRAD) |           1 |          2.310 |          2.311 |          2.315 |          2.311 |          0.058 |          0.403 |          0.000 |     +94.35%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           2 |          5.006 |          5.009 |          5.014 |          5.009 |          0.041 |          0.372 |          0.000 |
            strncpy (LI-PaRAD) |           2 |          2.310 |          2.311 |          2.315 |          2.311 |          0.057 |          0.806 |          0.000 |    +116.69%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           3 |          5.006 |          5.009 |          5.022 |          5.009 |          0.046 |          0.558 |          0.000 |
            strncpy (LI-PaRAD) |           3 |          2.310 |          2.311 |          2.315 |          2.311 |          0.061 |          1.209 |          0.001 |    +116.69%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           4 |          4.621 |          4.623 |          4.630 |          4.623 |          0.040 |          0.806 |          0.000 |
            strncpy (LI-PaRAD) |           4 |          2.310 |          2.311 |          2.316 |          2.312 |          0.061 |          1.612 |          0.001 |    +100.01%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           5 |          4.621 |          4.623 |          4.630 |          4.623 |          0.040 |          1.007 |          0.000 |
            strncpy (LI-PaRAD) |           5 |          2.310 |          2.311 |          2.316 |          2.311 |          0.061 |          2.015 |          0.001 |    +100.01%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           6 |          4.621 |          4.623 |          4.627 |          4.623 |          0.036 |          1.209 |          0.000 |
            strncpy (LI-PaRAD) |           6 |          2.310 |          2.311 |          2.316 |          2.312 |          0.064 |          2.417 |          0.002 |     +99.99%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           7 |          4.620 |          4.623 |          4.655 |          4.623 |          0.080 |          1.410 |          0.001 |
            strncpy (LI-PaRAD) |           7 |          2.310 |          2.311 |          2.316 |          2.312 |          0.061 |          2.820 |          0.002 |    +100.02%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           8 |          4.237 |          4.239 |          4.244 |          4.239 |          0.033 |          1.758 |          0.001 |
            strncpy (LI-PaRAD) |           8 |          2.310 |          2.311 |          2.316 |          2.312 |          0.061 |          3.223 |          0.002 |     +83.39%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           9 |          4.238 |          4.239 |          4.245 |          4.240 |          0.035 |          1.977 |          0.001 |
            strncpy (LI-PaRAD) |           9 |          2.310 |          2.311 |          2.316 |          2.311 |          0.060 |          3.626 |          0.002 |     +83.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          10 |          4.238 |          4.239 |          4.247 |          4.239 |          0.035 |          2.197 |          0.001 |
            strncpy (LI-PaRAD) |          10 |          2.310 |          2.311 |          2.315 |          2.312 |          0.062 |          4.029 |          0.002 |     +83.39%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          11 |          4.238 |          4.240 |          4.245 |          4.240 |          0.034 |          2.416 |          0.001 |
            strncpy (LI-PaRAD) |          11 |          2.310 |          2.311 |          2.316 |          2.311 |          0.059 |          4.432 |          0.003 |     +83.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          12 |          4.238 |          4.239 |          4.244 |          4.239 |          0.031 |          2.636 |          0.001 |
            strncpy (LI-PaRAD) |          12 |          2.310 |          2.311 |          2.315 |          2.311 |          0.056 |          4.835 |          0.003 |     +83.40%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          13 |          4.238 |          4.240 |          4.245 |          4.240 |          0.034 |          2.856 |          0.001 |
            strncpy (LI-PaRAD) |          13 |          2.310 |          2.311 |          2.316 |          2.311 |          0.061 |          5.238 |          0.003 |     +83.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          14 |          4.237 |          4.239 |          4.243 |          4.239 |          0.032 |          3.076 |          0.001 |
            strncpy (LI-PaRAD) |          14 |          2.310 |          2.311 |          2.315 |          2.312 |          0.058 |          5.641 |          0.003 |     +83.40%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          15 |          4.238 |          4.239 |          4.244 |          4.239 |          0.031 |          3.295 |          0.001 |
            strncpy (LI-PaRAD) |          15 |          2.310 |          2.311 |          2.317 |          2.312 |          0.065 |          6.043 |          0.004 |     +83.40%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          16 |          3.849 |          3.852 |          3.855 |          3.852 |          0.028 |          3.868 |          0.001 |
            strncpy (LI-PaRAD) |          16 |          2.310 |          2.311 |          2.315 |          2.311 |          0.062 |          6.447 |          0.004 |     +66.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          17 |          5.058 |          5.072 |          5.082 |          5.071 |          0.136 |          3.122 |          0.004 |
            strncpy (LI-PaRAD) |          17 |          2.310 |          2.311 |          2.316 |          2.311 |          0.057 |          6.850 |          0.004 |    +119.38%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          18 |          5.048 |          5.063 |          5.075 |          5.062 |          0.134 |          3.312 |          0.004 |
            strncpy (LI-PaRAD) |          18 |          2.310 |          2.311 |          2.338 |          2.312 |          0.131 |          7.252 |          0.009 |    +118.96%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          19 |          5.059 |          5.072 |          5.085 |          5.072 |          0.137 |          3.489 |          0.005 |
            strncpy (LI-PaRAD) |          19 |          2.310 |          2.311 |          2.316 |          2.312 |          0.063 |          7.655 |          0.005 |    +119.39%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          20 |          4.936 |          4.967 |          4.981 |          4.967 |          0.130 |          3.750 |          0.005 |
            strncpy (LI-PaRAD) |          20 |          2.310 |          2.311 |          2.316 |          2.312 |          0.062 |          8.058 |          0.005 |    +114.89%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          21 |          5.058 |          5.072 |          5.083 |          5.071 |          0.131 |          3.857 |          0.005 |
            strncpy (LI-PaRAD) |          21 |          2.310 |          2.311 |          2.318 |          2.312 |          0.063 |          8.461 |          0.005 |    +119.37%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          22 |          5.047 |          5.063 |          5.074 |          5.062 |          0.129 |          4.048 |          0.005 |
            strncpy (LI-PaRAD) |          22 |          2.310 |          2.311 |          2.315 |          2.311 |          0.060 |          8.864 |          0.005 |    +119.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          23 |          5.058 |          5.071 |          5.082 |          5.071 |          0.131 |          4.224 |          0.006 |
            strncpy (LI-PaRAD) |          23 |          2.310 |          2.311 |          2.316 |          2.312 |          0.067 |          9.267 |          0.006 |    +119.37%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
